bar_time_server,timestamp_utc,split,row_index,stage38_decision_signal,candidate_id,candidate_label,enabled_surfaces,tier_label,routing_source,entry_decision
2025.10.01 17:30:00,2025-10-01T17:30:00Z,oos,0,1,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,long
2025.10.01 17:55:00,2025-10-01T17:55:00Z,oos,1,1,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,long
2025.10.01 18:10:00,2025-10-01T18:10:00Z,oos,2,1,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,long
2025.10.01 19:30:00,2025-10-01T19:30:00Z,oos,3,1,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,long
2025.10.01 20:05:00,2025-10-01T20:05:00Z,oos,4,0,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,flat
2025.10.01 20:25:00,2025-10-01T20:25:00Z,oos,5,0,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,flat
2025.10.01 20:35:00,2025-10-01T20:35:00Z,oos,6,1,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,long
2025.10.01 20:40:00,2025-10-01T20:40:00Z,oos,7,1,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,long
2025.10.01 21:10:00,2025-10-01T21:10:00Z,oos,8,0,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,flat
2025.10.02 18:20:00,2025-10-02T18:20:00Z,oos,9,0,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,flat
2025.10.02 18:50:00,2025-10-02T18:50:00Z,oos,10,0,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,flat
2025.10.02 19:05:00,2025-10-02T19:05:00Z,oos,11,0,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,flat
2025.10.02 19:15:00,2025-10-02T19:15:00Z,oos,12,0,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,flat
2025.10.02 19:20:00,2025-10-02T19:20:00Z,oos,13,0,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,flat
2025.10.02 19:30:00,2025-10-02T19:30:00Z,oos,14,1,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,long
2025.10.02 20:15:00,2025-10-02T20:15:00Z,oos,15,0,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,flat
2025.10.02 20:25:00,2025-10-02T20:25:00Z,oos,16,0,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,flat
2025.10.02 20:40:00,2025-10-02T20:40:00Z,oos,17,1,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,long
2025.10.02 20:50:00,2025-10-02T20:50:00Z,oos,18,0,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,flat
2025.10.02 20:55:00,2025-10-02T20:55:00Z,oos,19,1,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,long
2025.10.02 21:25:00,2025-10-02T21:25:00Z,oos,20,0,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,flat
2025.10.02 21:55:00,2025-10-02T21:55:00Z,oos,21,1,c03_abstention_only,abstention only,abstention,Tier B,tier_b_fallback,long
