label_name,surface_family,side,entry_mode,fill_order,hold_bars,tp_price_units,sl_price_units,tp_broker_points,sl_broker_points,label_mode,utility_quantile,train_valid_rows,train_positive_rows,train_positive_rate,validation_valid_rows,oos_valid_rows
breakout_cost_dd_long_same_bar_open_h10_tp12_sl7_pessimistic_cost_dd_normalized_q62,breakout_cost_dd,long,same_bar_open,pessimistic,10,12.0,7.0,1200.0,700.0,cost_dd_normalized,0.62,29222,7760,0.265553350215591,9844,7584
breakout_cost_dd_short_same_bar_open_h10_tp12_sl7_pessimistic_cost_dd_normalized_q62,breakout_cost_dd,short,same_bar_open,pessimistic,10,12.0,7.0,1200.0,700.0,cost_dd_normalized,0.62,29222,7570,0.25905139963041546,9844,7584
order_intent_swing_long_same_bar_open_h18_tp22_sl11_close_direction_order_intent_asymmetry_q64,order_intent_swing,long,same_bar_open,close_direction,18,22.0,11.0,2200.0,1100.0,order_intent_asymmetry,0.64,29222,7539,0.25799055506125523,9844,7584
order_intent_swing_short_same_bar_open_h18_tp22_sl11_close_direction_order_intent_asymmetry_q64,order_intent_swing,short,same_bar_open,close_direction,18,22.0,11.0,2200.0,1100.0,order_intent_asymmetry,0.64,29222,7158,0.24495243309835055,9844,7584
density_survival_long_next_bar_open_control_h12_tp11_sl8_pessimistic_density_survival_q57,density_survival,long,next_bar_open_control,pessimistic,12,11.0,8.0,1100.0,800.0,density_survival,0.58,29222,7588,0.25966737389637945,9844,7584
density_survival_short_next_bar_open_control_h12_tp11_sl8_pessimistic_density_survival_q57,density_survival,short,next_bar_open_control,pessimistic,12,11.0,8.0,1100.0,800.0,density_survival,0.58,29222,7761,0.26558757100814456,9844,7584
tail_guard_extreme_long_same_bar_open_h6_tp8_sl5_pessimistic_tail_guard_q70,tail_guard_extreme,long,same_bar_open,pessimistic,6,8.0,5.0,800.0,500.0,tail_guard,0.7,29222,6218,0.21278488809800836,9844,7584
tail_guard_extreme_short_same_bar_open_h6_tp8_sl5_pessimistic_tail_guard_q70,tail_guard_extreme,short,same_bar_open,pessimistic,6,8.0,5.0,800.0,500.0,tail_guard,0.7,29222,6075,0.20789131476284992,9844,7584
regime_exit_value_long_same_bar_open_h24_tp30_sl14_close_direction_regime_exit_value_q66,regime_exit_value,long,same_bar_open,close_direction,24,30.0,14.0,3000.0,1400.0,regime_exit_value,0.66,29222,8837,0.30240914379577033,9844,7584
regime_exit_value_short_same_bar_open_h24_tp30_sl14_close_direction_regime_exit_value_q66,regime_exit_value,short,same_bar_open,close_direction,24,30.0,14.0,3000.0,1400.0,regime_exit_value,0.66,29222,8135,0.2783861474231743,9844,7584
