axis,value,candidate_rows,scout_clue_count,materialization_candidate_count,meaningful_signal_count,best_candidate,best_rank_score,best_val_net_pf_dd_tpd,best_oos_net_pf_dd_tpd
surface_family,breakout_cost_dd,10080,1,0,0,f80b_06213,168622.8226768622,5.464515040437545/1.2347560975609762/1.224193304513608/0.22878228782287824,6.848385732496396/1.4886075949367088/0.8729030519140452/0.211340206185567
surface_family,density_survival,10080,0,0,0,f80b_23782,63126.427683716385,0.8693546655241542/999.0/0.0/0.0036900369003690036,0.8693546655241542/999.0/0.0/0.005154639175257732
surface_family,order_intent_swing,10080,1850,440,21,f80b_11473,2011995.1042785125,120.8358630248701/1.354611129189717/4.057224998205379/2.084870848708487,128.87029690818866/1.4006895505509505/3.3248380473311503/2.814432989690722
surface_family,regime_exit_value,10080,521,79,0,f80b_49453,808979.2694388066,113.39844515165113/1.2077249076189582/6.307966485315523/2.4464944649446494,79.12014552867272/1.2031107669885226/3.8606443922052223/2.463917525773196
surface_family,tail_guard_extreme,10080,0,0,0,f80b_36184,63121.105104131544,0.6032256862820662/999.0/0.0/0.0036900369003690036,0.6564514821304838/999.0/0.0/0.005154639175257732
label_mode,cost_dd_normalized,10080,1,0,0,f80b_06213,168622.8226768622,5.464515040437545/1.2347560975609762/1.224193304513608/0.22878228782287824,6.848385732496396/1.4886075949367088/0.8729030519140452/0.211340206185567
label_mode,density_survival,10080,0,0,0,f80b_23782,63126.427683716385,0.8693546655241542/999.0/0.0/0.0036900369003690036,0.8693546655241542/999.0/0.0/0.005154639175257732
label_mode,order_intent_asymmetry,10080,1850,440,21,f80b_11473,2011995.1042785125,120.8358630248701/1.354611129189717/4.057224998205379/2.084870848708487,128.87029690818866/1.4006895505509505/3.3248380473311503/2.814432989690722
label_mode,regime_exit_value,10080,521,79,0,f80b_49453,808979.2694388066,113.39844515165113/1.2077249076189582/6.307966485315523/2.4464944649446494,79.12014552867272/1.2031107669885226/3.8606443922052223/2.463917525773196
label_mode,tail_guard,10080,0,0,0,f80b_36184,63121.105104131544,0.6032256862820662/999.0/0.0/0.0036900369003690036,0.6564514821304838/999.0/0.0/0.005154639175257732
entry_mode,next_bar_open_control,10080,0,0,0,f80b_23782,63126.427683716385,0.8693546655241542/999.0/0.0/0.0036900369003690036,0.8693546655241542/999.0/0.0/0.005154639175257732
entry_mode,same_bar_open,40320,2372,519,21,f80b_11473,2011995.1042785125,120.8358630248701/1.354611129189717/4.057224998205379/2.084870848708487,128.87029690818866/1.4006895505509505/3.3248380473311503/2.814432989690722
fill_order,close_direction,20160,2371,519,21,f80b_11473,2011995.1042785125,120.8358630248701/1.354611129189717/4.057224998205379/2.084870848708487,128.87029690818866/1.4006895505509505/3.3248380473311503/2.814432989690722
fill_order,pessimistic,30240,1,0,0,f80b_06213,168622.8226768622,5.464515040437545/1.2347560975609762/1.224193304513608/0.22878228782287824,6.848385732496396/1.4886075949367088/0.8729030519140452/0.211340206185567
side,long,25200,907,254,20,f80b_11473,2011995.1042785125,120.8358630248701/1.354611129189717/4.057224998205379/2.084870848708487,128.87029690818866/1.4006895505509505/3.3248380473311503/2.814432989690722
side,short,25200,1465,265,1,f80b_15823,1995796.135879437,84.51369284131243/1.4039979984564368/2.4838704729261507/1.3062730627306274,59.20482691538984/1.4109605911330048/3.2751606378726255/1.268041237113402
hold_bars,10,10080,1,0,0,f80b_06213,168622.8226768622,5.464515040437545/1.2347560975609762/1.224193304513608/0.22878228782287824,6.848385732496396/1.4886075949367088/0.8729030519140452/0.211340206185567
hold_bars,12,10080,0,0,0,f80b_23782,63126.427683716385,0.8693546655241542/999.0/0.0/0.0036900369003690036,0.8693546655241542/999.0/0.0/0.005154639175257732
hold_bars,18,10080,1850,440,21,f80b_11473,2011995.1042785125,120.8358630248701/1.354611129189717/4.057224998205379/2.084870848708487,128.87029690818866/1.4006895505509505/3.3248380473311503/2.814432989690722
hold_bars,24,10080,521,79,0,f80b_49453,808979.2694388066,113.39844515165113/1.2077249076189582/6.307966485315523/2.4464944649446494,79.12014552867272/1.2031107669885226/3.8606443922052223/2.463917525773196
