candidate_id,surface_family,label_name,side,entry_mode,fill_order,hold_bars,tp_price_units,sl_price_units,tp_broker_points,sl_broker_points,label_mode,utility_quantile,feature_set,feature_count,model,prob_quantile,prob_threshold,regime,risk_filter,cooldown_bars,contract_pnl_scale,initial_balance,raw_signal_total_diagnostic_only,lifecycle_trade_total,overall_signal_to_trade_ratio_diagnostic_only,scout_clue,materialization_candidate,meaningful_signal,final_like_reference,dual_positive,rank_score,signal_count_claim_boundary,validation_raw_signal_count,validation_lifecycle_trade_count,validation_signal_to_trade_ratio,oos_raw_signal_count,oos_lifecycle_trade_count,oos_signal_to_trade_ratio,val_net,val_gross_profit,val_gross_loss,val_pf,val_dd_pct,val_trade_count,val_calendar_days,val_calendar_trades_day,val_active_days,val_active_trades_day,val_win_rate,val_avg_win,val_avg_loss,val_payoff,val_expectancy,val_recovery,val_avg_hold_bars,val_avg_mae_contract,val_avg_spread_cost_contract,val_max_consecutive_loss,val_time_under_water_trades,val_smooth_equity_proxy,oos_net,oos_gross_profit,oos_gross_loss,oos_pf,oos_dd_pct,oos_trade_count,oos_calendar_days,oos_calendar_trades_day,oos_active_days,oos_active_trades_day,oos_win_rate,oos_avg_win,oos_avg_loss,oos_payoff,oos_expectancy,oos_recovery,oos_avg_hold_bars,oos_avg_mae_contract,oos_avg_spread_cost_contract,oos_max_consecutive_loss,oos_time_under_water_trades,oos_smooth_equity_proxy
f80b_11473,order_intent_swing,order_intent_swing_long_same_bar_open_h18_tp22_sl11_close_direction_order_intent_asymmetry_q64,long,same_bar_open,close_direction,18,22.0,11.0,2200.0,1100.0,order_intent_asymmetry,0.64,runtime_fill_context,27,histgbm_shallow,0.86,0.2803784093144682,high_vol,order_intent_guard,0,0.08870965974736267,500.0,1151,1111,0.9652476107732406,1,1,1,0,1,2011995.1042785125,diagnostic_only_not_economics,584,565,0.9674657534246576,567,546,0.9629629629629629,120.8358630248701,461.59184352942697,-340.7559805045569,1.354611129189717,4.057224998205379,565,271,2.084870848708487,71,7.957746478873239,0.4424778761061947,1.8463673741177078,-1.0817650174747837,1.7068100227790433,0.21386878411481433,5.956576875983909,1.0778761061946902,15.44534876438645,0.1056429992230318,12,99,0,128.87029690818866,450.4916038052394,-321.6213068970508,1.4006895505509505,3.3248380473311503,546,194,2.814432989690722,77,7.090909090909091,0.43956043956043955,1.8770483491884975,-1.0510500225393815,1.7858791769524622,0.23602618481353235,7.751974386339386,1.054945054945055,8.589268937624226,0.07494504001513451,9,83,0
f80b_15073,order_intent_swing,order_intent_swing_long_same_bar_open_h18_tp22_sl11_close_direction_order_intent_asymmetry_q64,long,same_bar_open,close_direction,18,22.0,11.0,2200.0,1100.0,order_intent_asymmetry,0.64,compact_exportable_28,28,histgbm_shallow,0.86,0.2803784093144682,high_vol,order_intent_guard,0,0.08870965974736267,500.0,1151,1111,0.9652476107732406,1,1,1,0,1,2011995.1042785125,diagnostic_only_not_economics,584,565,0.9674657534246576,567,546,0.9629629629629629,120.8358630248701,461.59184352942697,-340.7559805045569,1.354611129189717,4.057224998205379,565,271,2.084870848708487,71,7.957746478873239,0.4424778761061947,1.8463673741177078,-1.0817650174747837,1.7068100227790433,0.21386878411481433,5.956576875983909,1.0778761061946902,15.44534876438645,0.1056429992230318,12,99,0,128.87029690818866,450.4916038052394,-321.6213068970508,1.4006895505509505,3.3248380473311503,546,194,2.814432989690722,77,7.090909090909091,0.43956043956043955,1.8770483491884975,-1.0510500225393815,1.7858791769524622,0.23602618481353235,7.751974386339386,1.054945054945055,8.589268937624226,0.07494504001513451,9,83,0
f80b_11410,order_intent_swing,order_intent_swing_long_same_bar_open_h18_tp22_sl11_close_direction_order_intent_asymmetry_q64,long,same_bar_open,close_direction,18,22.0,11.0,2200.0,1100.0,order_intent_asymmetry,0.64,runtime_fill_context,27,histgbm_shallow,0.86,0.2803784093144682,all,liquidity_release,0,0.08870965974736267,500.0,1052,1027,0.9762357414448669,1,1,1,0,1,2003250.851827822,diagnostic_only_not_economics,536,529,0.9869402985074627,516,498,0.9651162790697675,127.59553909761912,441.2950733792304,-313.69953428161125,1.4067444326617182,4.057224998205379,529,271,1.952029520295203,56,9.446428571428571,0.45179584120982985,1.8464229011683282,-1.0817225320055561,1.7069283910958086,0.24120139715996053,6.289793598040931,1.0359168241965973,16.051300235531162,0.10558797213596766,12,99,0,114.8630416340801,409.1617733289431,-294.298731694863,1.3902940422902441,3.3248380473311503,498,194,2.5670103092783507,69,7.217391304347826,0.43775100401606426,1.8768888684813905,-1.051066898910225,1.7856987699140754,0.23064867798008054,6.909391675560303,1.0542168674698795,8.72739883142304,0.07502557126986788,10,72,0
f80b_11470,order_intent_swing,order_intent_swing_long_same_bar_open_h18_tp22_sl11_close_direction_order_intent_asymmetry_q64,long,same_bar_open,close_direction,18,22.0,11.0,2200.0,1100.0,order_intent_asymmetry,0.64,runtime_fill_context,27,histgbm_shallow,0.86,0.2803784093144682,high_vol,liquidity_release,0,0.08870965974736267,500.0,1052,1027,0.9762357414448669,1,1,1,0,1,2003250.851827822,diagnostic_only_not_economics,536,529,0.9869402985074627,516,498,0.9651162790697675,127.59553909761912,441.2950733792304,-313.69953428161125,1.4067444326617182,4.057224998205379,529,271,1.952029520295203,56,9.446428571428571,0.45179584120982985,1.8464229011683282,-1.0817225320055561,1.7069283910958086,0.24120139715996053,6.289793598040931,1.0359168241965973,16.051300235531162,0.10558797213596766,12,99,0,114.8630416340801,409.1617733289431,-294.298731694863,1.3902940422902441,3.3248380473311503,498,194,2.5670103092783507,69,7.217391304347826,0.43775100401606426,1.8768888684813905,-1.051066898910225,1.7856987699140754,0.23064867798008054,6.909391675560303,1.0542168674698795,8.72739883142304,0.07502557126986788,10,72,0
f80b_15010,order_intent_swing,order_intent_swing_long_same_bar_open_h18_tp22_sl11_close_direction_order_intent_asymmetry_q64,long,same_bar_open,close_direction,18,22.0,11.0,2200.0,1100.0,order_intent_asymmetry,0.64,compact_exportable_28,28,histgbm_shallow,0.86,0.2803784093144682,all,liquidity_release,0,0.08870965974736267,500.0,1052,1027,0.9762357414448669,1,1,1,0,1,2003250.851827822,diagnostic_only_not_economics,536,529,0.9869402985074627,516,498,0.9651162790697675,127.59553909761912,441.2950733792304,-313.69953428161125,1.4067444326617182,4.057224998205379,529,271,1.952029520295203,56,9.446428571428571,0.45179584120982985,1.8464229011683282,-1.0817225320055561,1.7069283910958086,0.24120139715996053,6.289793598040931,1.0359168241965973,16.051300235531162,0.10558797213596766,12,99,0,114.8630416340801,409.1617733289431,-294.298731694863,1.3902940422902441,3.3248380473311503,498,194,2.5670103092783507,69,7.217391304347826,0.43775100401606426,1.8768888684813905,-1.051066898910225,1.7856987699140754,0.23064867798008054,6.909391675560303,1.0542168674698795,8.72739883142304,0.07502557126986788,10,72,0
f80b_15070,order_intent_swing,order_intent_swing_long_same_bar_open_h18_tp22_sl11_close_direction_order_intent_asymmetry_q64,long,same_bar_open,close_direction,18,22.0,11.0,2200.0,1100.0,order_intent_asymmetry,0.64,compact_exportable_28,28,histgbm_shallow,0.86,0.2803784093144682,high_vol,liquidity_release,0,0.08870965974736267,500.0,1052,1027,0.9762357414448669,1,1,1,0,1,2003250.851827822,diagnostic_only_not_economics,536,529,0.9869402985074627,516,498,0.9651162790697675,127.59553909761912,441.2950733792304,-313.69953428161125,1.4067444326617182,4.057224998205379,529,271,1.952029520295203,56,9.446428571428571,0.45179584120982985,1.8464229011683282,-1.0817225320055561,1.7069283910958086,0.24120139715996053,6.289793598040931,1.0359168241965973,16.051300235531162,0.10558797213596766,12,99,0,114.8630416340801,409.1617733289431,-294.298731694863,1.3902940422902441,3.3248380473311503,498,194,2.5670103092783507,69,7.217391304347826,0.43775100401606426,1.8768888684813905,-1.051066898910225,1.7856987699140754,0.23064867798008054,6.909391675560303,1.0542168674698795,8.72739883142304,0.07502557126986788,10,72,0
f80b_12193,order_intent_swing,order_intent_swing_long_same_bar_open_h18_tp22_sl11_close_direction_order_intent_asymmetry_q64,long,same_bar_open,close_direction,18,22.0,11.0,2200.0,1100.0,order_intent_asymmetry,0.64,price_vol_session,25,histgbm_shallow,0.86,0.272871105959311,high_vol,order_intent_guard,0,0.08870965974736267,500.0,864,852,0.9861111111111112,1,1,1,0,1,1999813.216733903,diagnostic_only_not_economics,479,473,0.9874739039665971,385,379,0.9844155844155844,120.7276372399783,398.8013721670487,-278.0737349270704,1.4341569234204776,3.0941929319880046,473,271,1.7453874538745386,45,10.511111111111111,0.45665961945031713,1.846302648921522,-1.0819989685878226,1.7063811542549203,0.25523813369974274,7.803497706422034,1.0591966173361522,16.255771330304135,0.10578955131859376,13,49,0,83.64433817578822,308.6652610909484,-225.02092291516016,1.3717180477804933,3.2467735467534564,379,194,1.9536082474226804,47,8.063829787234043,0.43271767810026385,1.8821052505545632,-1.0466089437914425,1.798288904102476,0.22069746220524597,5.152459016393467,1.0343007915567282,8.745508513985376,0.07024213427489058,9,53,0
f80b_11395,order_intent_swing,order_intent_swing_long_same_bar_open_h18_tp22_sl11_close_direction_order_intent_asymmetry_q64,long,same_bar_open,close_direction,18,22.0,11.0,2200.0,1100.0,order_intent_asymmetry,0.64,runtime_fill_context,27,histgbm_shallow,0.7,0.26190819755007694,chop,liquidity_release,0,0.08870965974736267,500.0,618,609,0.9854368932038835,1,1,1,0,1,1996069.2097633374,diagnostic_only_not_economics,355,353,0.9943661971830986,263,256,0.973384030418251,92.48780415600287,299.05534365051665,-206.56753949451377,1.4477363887004098,2.203547948124515,353,271,1.3025830258302582,37,9.54054054054054,0.45892351274787535,1.846020639818004,-1.0815054423796533,1.7068990755665325,0.26200511092352086,8.394444444444348,1.0169971671388103,15.431997748210788,0.10564993783112955,6,47,1,66.7806318578146,215.72415057363654,-148.9435187158219,1.4483621203097083,4.140966917006892,256,194,1.3195876288659794,39,6.564102564102564,0.44921875,1.8758621789011873,-1.0563370121689497,1.7758179040319033,0.26086184319458827,3.225364181662379,1.0390625,7.746709646281794,0.0783833009173962,10,90,0
f80b_11398,order_intent_swing,order_intent_swing_long_same_bar_open_h18_tp22_sl11_close_direction_order_intent_asymmetry_q64,long,same_bar_open,close_direction,18,22.0,11.0,2200.0,1100.0,order_intent_asymmetry,0.64,runtime_fill_context,27,histgbm_shallow,0.7,0.26190819755007694,chop,order_intent_guard,0,0.08870965974736267,500.0,618,609,0.9854368932038835,1,1,1,0,1,1996069.2097633374,diagnostic_only_not_economics,355,353,0.9943661971830986,263,256,0.973384030418251,92.48780415600287,299.05534365051665,-206.56753949451377,1.4477363887004098,2.203547948124515,353,271,1.3025830258302582,37,9.54054054054054,0.45892351274787535,1.846020639818004,-1.0815054423796533,1.7068990755665325,0.26200511092352086,8.394444444444348,1.0169971671388103,15.431997748210788,0.10564993783112955,6,47,1,66.7806318578146,215.72415057363654,-148.9435187158219,1.4483621203097083,4.140966917006892,256,194,1.3195876288659794,39,6.564102564102564,0.44921875,1.8758621789011873,-1.0563370121689497,1.7758179040319033,0.26086184319458827,3.225364181662379,1.0390625,7.746709646281794,0.0783833009173962,10,90,0
f80b_14995,order_intent_swing,order_intent_swing_long_same_bar_open_h18_tp22_sl11_close_direction_order_intent_asymmetry_q64,long,same_bar_open,close_direction,18,22.0,11.0,2200.0,1100.0,order_intent_asymmetry,0.64,compact_exportable_28,28,histgbm_shallow,0.7,0.26190819755007694,chop,liquidity_release,0,0.08870965974736267,500.0,618,609,0.9854368932038835,1,1,1,0,1,1996069.2097633374,diagnostic_only_not_economics,355,353,0.9943661971830986,263,256,0.973384030418251,92.48780415600287,299.05534365051665,-206.56753949451377,1.4477363887004098,2.203547948124515,353,271,1.3025830258302582,37,9.54054054054054,0.45892351274787535,1.846020639818004,-1.0815054423796533,1.7068990755665325,0.26200511092352086,8.394444444444348,1.0169971671388103,15.431997748210788,0.10564993783112955,6,47,1,66.7806318578146,215.72415057363654,-148.9435187158219,1.4483621203097083,4.140966917006892,256,194,1.3195876288659794,39,6.564102564102564,0.44921875,1.8758621789011873,-1.0563370121689497,1.7758179040319033,0.26086184319458827,3.225364181662379,1.0390625,7.746709646281794,0.0783833009173962,10,90,0
