variant_id,cluster_id,train_share,long_edge,short_edge,best_edge,pressure_mean,transition_entropy_mean,volatility_expansion_mean,pressure_flip_mean,state_class,action
k5_pca3_seed9502,0,0.415584,-0.00010676,-0.00033137,-0.00010676,0.39295615,0.58243958,0.89833656,0.26654955,chop_cost_drag,0
k5_pca3_seed9502,1,0.117773,-9.533e-05,-0.00049426,-9.533e-05,0.82525567,0.57756729,1.08247365,0.25847313,chop_cost_drag,0
k5_pca3_seed9502,2,0.069203,-0.00041332,-0.0004322,-0.00041332,-0.78736285,0.58683081,1.23994326,0.27022927,chop_cost_drag,0
k5_pca3_seed9502,3,0.134557,-0.00030069,-0.0003989,-0.00030069,0.19478498,0.58526575,1.16553584,0.2708294,chop_cost_drag,0
k5_pca3_seed9502,4,0.262882,-0.00031464,-0.00020839,-0.00020839,-0.69750996,0.5878537,0.99345573,0.27213606,chop_cost_drag,0
k5_pca5_seed9502,0,0.499921,-0.00011916,-0.00032177,-0.00011916,0.26135233,0.58385398,0.90302062,0.267791,chop_cost_drag,0
k5_pca5_seed9502,1,0.164877,-0.00039676,-0.00016082,-0.00016082,-0.81229157,0.58180763,1.06291199,0.26244066,chop_cost_drag,0
k5_pca5_seed9502,2,0.121727,-0.00023909,-0.00045129,-0.00023909,0.62873736,0.58510523,1.14521053,0.27449164,chop_cost_drag,0
k5_pca5_seed9502,3,0.094182,1.307e-05,-0.0006499,1.307e-05,0.70086183,0.58129109,1.09065398,0.26129829,continuation_pressure,1
k5_pca5_seed9502,4,0.119292,-0.00045695,-0.00025794,-0.00025794,-0.75790167,0.58842828,1.13845986,0.27436719,chop_cost_drag,0
k7_pca3_seed9502,0,0.188155,-0.00015699,-0.00036554,-0.00015699,0.70233788,0.58539214,0.98187268,0.27062915,chop_cost_drag,0
k7_pca3_seed9502,1,0.100937,-0.0001186,-0.00046829,-0.0001186,0.77846952,0.57895299,1.08077448,0.25776703,chop_cost_drag,0
k7_pca3_seed9502,2,0.170926,-0.0003273,-0.00022703,-0.00022703,-0.74004289,0.58919012,1.00303424,0.27465902,chop_cost_drag,0
k7_pca3_seed9502,3,0.11183,-0.00045535,-0.0001169,-0.0001169,-0.80215406,0.58134828,1.1266497,0.26081695,chop_cost_drag,0
