variant_id,model_family,embedding_dim,n_clusters,view,split,state_class_count,max_state_class_share,high_cost_trade_share,rows,days,trade_count,trades_per_day,net_proxy,gross_profit,gross_loss,proxy_pf,win_rate,avg_win,avg_loss,payoff_ratio,expectancy,max_drawdown,recovery_factor,time_under_water_bars,max_consecutive_loss,long_count,short_count,side_min_share,avg_cost_penalty,regime_coverage_count,cost_high_trade_share,random_net_proxy_mean,random_proxy_pf_mean,random_max_drawdown_mean
k5_pca3_seed9502,pca_kmeans_transition_state,3,5,tier_a_separate,train,1,1.0,0.0,29222,573,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k5_pca3_seed9502,pca_kmeans_transition_state,3,5,tier_a_separate,validation,1,1.0,0.0,9844,183,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k5_pca3_seed9502,pca_kmeans_transition_state,3,5,tier_a_separate,oos,1,1.0,0.0,7584,131,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k5_pca3_seed9502,pca_kmeans_transition_state,3,5,tier_b_separate,train,1,1.0,0.0,8970,555,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k5_pca3_seed9502,pca_kmeans_transition_state,3,5,tier_b_separate,validation,1,1.0,0.0,2366,148,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k5_pca3_seed9502,pca_kmeans_transition_state,3,5,tier_b_separate,oos,1,1.0,0.0,1062,121,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k5_pca3_seed9502,pca_kmeans_transition_state,3,5,tier_ab_combined,train,1,1.0,0.0,38192,579,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k5_pca3_seed9502,pca_kmeans_transition_state,3,5,tier_ab_combined,validation,1,1.0,0.0,12210,185,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k5_pca3_seed9502,pca_kmeans_transition_state,3,5,tier_ab_combined,oos,1,1.0,0.0,8646,131,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k5_pca5_seed9502,pca_kmeans_transition_state,5,5,tier_a_separate,train,2,0.887106,0.658381,29222,573,3299,5.757417,0.00867856,6.37841747,6.3697389,1.001362,0.510155,0.00378991,-0.00394167,0.961498,2.63e-06,0.54184705,0.016017,3251,22,3299,0,0.0,0.00032138,42,0.658381,-0.78373333,0.480877,0.80843846
