variant_id,view,split,control_id,random_net_proxy_mean,random_proxy_pf_mean,random_max_drawdown_mean
k5_pca3_seed9502,tier_a_separate,train,random_abstain_rate_match_mean,0.0,,0.0
k5_pca3_seed9502,tier_a_separate,validation,random_abstain_rate_match_mean,0.0,,0.0
k5_pca3_seed9502,tier_a_separate,oos,random_abstain_rate_match_mean,0.0,,0.0
k5_pca3_seed9502,tier_b_separate,train,random_abstain_rate_match_mean,0.0,,0.0
k5_pca3_seed9502,tier_b_separate,validation,random_abstain_rate_match_mean,0.0,,0.0
k5_pca3_seed9502,tier_b_separate,oos,random_abstain_rate_match_mean,0.0,,0.0
k5_pca3_seed9502,tier_ab_combined,train,random_abstain_rate_match_mean,0.0,,0.0
k5_pca3_seed9502,tier_ab_combined,validation,random_abstain_rate_match_mean,0.0,,0.0
k5_pca3_seed9502,tier_ab_combined,oos,random_abstain_rate_match_mean,0.0,,0.0
k5_pca5_seed9502,tier_a_separate,train,random_abstain_rate_match_mean,-0.78373333,0.480877,0.80843846
k5_pca5_seed9502,tier_a_separate,validation,random_abstain_rate_match_mean,-0.28297497,0.644904,0.31595178
k5_pca5_seed9502,tier_a_separate,oos,random_abstain_rate_match_mean,-0.22293175,0.432312,0.2256564
k5_pca5_seed9502,tier_b_separate,train,random_abstain_rate_match_mean,-0.06185332,0.242641,0.06715008
k5_pca5_seed9502,tier_b_separate,validation,random_abstain_rate_match_mean,-0.0049477,0.023388,0.0049477
k5_pca5_seed9502,tier_b_separate,oos,random_abstain_rate_match_mean,-0.00130045,0.0,0.00130045
k5_pca5_seed9502,tier_ab_combined,train,random_abstain_rate_match_mean,-0.84589596,0.433554,0.86041666
k5_pca5_seed9502,tier_ab_combined,validation,random_abstain_rate_match_mean,-0.31189311,0.557533,0.31754552
k5_pca5_seed9502,tier_ab_combined,oos,random_abstain_rate_match_mean,-0.23404262,0.370834,0.23481327
k7_pca3_seed9502,tier_a_separate,train,random_abstain_rate_match_mean,0.0,,0.0
k7_pca3_seed9502,tier_a_separate,validation,random_abstain_rate_match_mean,0.0,,0.0
k7_pca3_seed9502,tier_a_separate,oos,random_abstain_rate_match_mean,0.0,,0.0
k7_pca3_seed9502,tier_b_separate,train,random_abstain_rate_match_mean,0.0,,0.0
k7_pca3_seed9502,tier_b_separate,validation,random_abstain_rate_match_mean,0.0,,0.0
k7_pca3_seed9502,tier_b_separate,oos,random_abstain_rate_match_mean,0.0,,0.0
k7_pca3_seed9502,tier_ab_combined,train,random_abstain_rate_match_mean,0.0,,0.0
k7_pca3_seed9502,tier_ab_combined,validation,random_abstain_rate_match_mean,0.0,,0.0
k7_pca3_seed9502,tier_ab_combined,oos,random_abstain_rate_match_mean,0.0,,0.0
k7_pca5_seed9502,tier_a_separate,train,random_abstain_rate_match_mean,0.0,,0.0
k7_pca5_seed9502,tier_a_separate,validation,random_abstain_rate_match_mean,0.0,,0.0
k7_pca5_seed9502,tier_a_separate,oos,random_abstain_rate_match_mean,0.0,,0.0
k7_pca5_seed9502,tier_b_separate,train,random_abstain_rate_match_mean,0.0,,0.0
k7_pca5_seed9502,tier_b_separate,validation,random_abstain_rate_match_mean,0.0,,0.0
k7_pca5_seed9502,tier_b_separate,oos,random_abstain_rate_match_mean,0.0,,0.0
k7_pca5_seed9502,tier_ab_combined,train,random_abstain_rate_match_mean,0.0,,0.0
k7_pca5_seed9502,tier_ab_combined,validation,random_abstain_rate_match_mean,0.0,,0.0
k7_pca5_seed9502,tier_ab_combined,oos,random_abstain_rate_match_mean,0.0,,0.0
k9_pca3_seed9502,tier_a_separate,train,random_abstain_rate_match_mean,-0.22754379,0.252707,0.23256408
k9_pca3_seed9502,tier_a_separate,validation,random_abstain_rate_match_mean,-0.12952717,0.379792,0.13610807
k9_pca3_seed9502,tier_a_separate,oos,random_abstain_rate_match_mean,-0.0576213,0.219382,0.05899369
k9_pca3_seed9502,tier_b_separate,train,random_abstain_rate_match_mean,-0.01769405,0.179112,0.01993123
k9_pca3_seed9502,tier_b_separate,validation,random_abstain_rate_match_mean,-0.0010177,0.0,0.0010177
k9_pca3_seed9502,tier_b_separate,oos,random_abstain_rate_match_mean,0.0,,0.0
k9_pca3_seed9502,tier_ab_combined,train,random_abstain_rate_match_mean,-0.23915249,0.239498,0.24761367
k9_pca3_seed9502,tier_ab_combined,validation,random_abstain_rate_match_mean,-0.12955479,0.304912,0.13164261
k9_pca3_seed9502,tier_ab_combined,oos,random_abstain_rate_match_mean,-0.04728153,0.287261,0.04954741
k9_pca5_seed9502,tier_a_separate,train,random_abstain_rate_match_mean,-0.26491511,0.353304,0.27916946
k9_pca5_seed9502,tier_a_separate,validation,random_abstain_rate_match_mean,-0.1380752,0.466752,0.14938708
k9_pca5_seed9502,tier_a_separate,oos,random_abstain_rate_match_mean,-0.06513895,0.234793,0.06718256
k9_pca5_seed9502,tier_b_separate,train,random_abstain_rate_match_mean,-0.01516727,0.107034,0.01666393
k9_pca5_seed9502,tier_b_separate,validation,random_abstain_rate_match_mean,-0.00082739,0.0,0.00082739
k9_pca5_seed9502,tier_b_separate,oos,random_abstain_rate_match_mean,0.0,,0.0
k9_pca5_seed9502,tier_ab_combined,train,random_abstain_rate_match_mean,-0.28884601,0.310182,0.3065029
k9_pca5_seed9502,tier_ab_combined,validation,random_abstain_rate_match_mean,-0.1293786,0.470948,0.15087254
k9_pca5_seed9502,tier_ab_combined,oos,random_abstain_rate_match_mean,-0.06492539,0.191642,0.06492539
