attempt_name,variant_id,queue_id,candidate_alias,target_period,source_model_file,source_model_sha256,runtime_model_file,runtime_model_sha256,common_model_path,common_model_sha256,appended_feature,model_strength,appended_model_rows,model_rows,claim_boundary
run267ca_01_s264_aih_2025h2_ddshape_guard,run267ca_01_s264_aih_2025h2_ddshape_guard_variant,run267bz_q01_s264_aih_2025h2_late_session_dd_shape_guard,s264_aih,2025H2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BW/aggressive_impulse_dd_shape_cross_period_materialization/variants/s264_aih/run267bw_06_s264_aih_2025h2_impulse_repl_variant/models/run267bw_06_s264_aih_2025h2_impulse_repl_variant_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CA/aggressive_impulse_dd_shape_followup_materialization/variants/s264_aih/run267ca_01_s264_aih_2025h2_ddshape_guard_variant/models/run267ca_01_s264_aih_2025h2_ddshape_guard_variant_model.csv,64d54ab910890f6509b96f86a7f4846d874020e83478efd8a25eddae34369d4e,OPV2/s267ca/run267CA_dd_shape_followup/s264_aih/2025h2/run267ca_01_s264_aih_2025h2_ddshape_guard/models/run267ca_01_s264_aih_2025h2_ddshape_guard_variant_model.csv,64d54ab910890f6509b96f86a7f4846d874020e83478efd8a25eddae34369d4e,stage267ca_late_session_dd_shape_guard_score,moderate_flat_bias,8,39,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ca_02_s258_stc_2025h2_stress_ddcap,run267ca_02_s258_stc_2025h2_stress_ddcap_variant,run267bz_q02_s258_stc_2025h2_stress_dd_cap,s258_stc,2025H2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BW/aggressive_impulse_dd_shape_cross_period_materialization/variants/s258_stc/run267bw_03_s258_stc_2025h2_impulse_repl_variant/models/run267bw_03_s258_stc_2025h2_impulse_repl_variant_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CA/aggressive_impulse_dd_shape_followup_materialization/variants/s258_stc/run267ca_02_s258_stc_2025h2_stress_ddcap_variant/models/run267ca_02_s258_stc_2025h2_stress_ddcap_variant_model.csv,f32212bdb95934f9fae080b6b6600bc669cc35e94ff214a8980c5a40fd549a4d,OPV2/s267ca/run267CA_dd_shape_followup/s258_stc/2025h2/run267ca_02_s258_stc_2025h2_stress_ddcap/models/run267ca_02_s258_stc_2025h2_stress_ddcap_variant_model.csv,f32212bdb95934f9fae080b6b6600bc669cc35e94ff214a8980c5a40fd549a4d,stage267ca_stress_dd_cap_score,strong_flat_bias,8,39,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
