queue_id,attempt_name,candidate_alias,target_period,source_variant_id,source_attempt_name,source_feature_file,source_model_file,source_set_path,source_ini_path,reuse_boundary
run267bz_q01_s264_aih_2025h2_late_session_dd_shape_guard,run267ca_01_s264_aih_2025h2_ddshape_guard,s264_aih,2025H2,run267bw_06_s264_aih_2025h2_impulse_repl_variant,run267bw_06_s264_aih_2025h2_impulse_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BW/aggressive_impulse_dd_shape_cross_period_materialization/features/s264_aih/adjacent_2025_h2_oos_followthrough/run267bw_06_s264_aih_2025h2_impulse_repl_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BW/aggressive_impulse_dd_shape_cross_period_materialization/variants/s264_aih/run267bw_06_s264_aih_2025h2_impulse_repl_variant/models/run267bw_06_s264_aih_2025h2_impulse_repl_variant_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BW/aggressive_impulse_dd_shape_cross_period_materialization/mt5/run267bw_06_s264_aih_2025h2_impulse_repl.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BW/aggressive_impulse_dd_shape_cross_period_materialization/mt5/run267bw_06_s264_aih_2025h2_impulse_repl.ini,source copied then augmented with one state-shaped guard feature and score-table term(원천 복제 후 상태형 방어 피처와 점수표 항 1개 추가)
run267bz_q02_s258_stc_2025h2_stress_dd_cap,run267ca_02_s258_stc_2025h2_stress_ddcap,s258_stc,2025H2,run267bw_03_s258_stc_2025h2_impulse_repl_variant,run267bw_03_s258_stc_2025h2_impulse_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BW/aggressive_impulse_dd_shape_cross_period_materialization/features/s258_stc/adjacent_2025_h2_oos_followthrough/run267bw_03_s258_stc_2025h2_impulse_repl_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BW/aggressive_impulse_dd_shape_cross_period_materialization/variants/s258_stc/run267bw_03_s258_stc_2025h2_impulse_repl_variant/models/run267bw_03_s258_stc_2025h2_impulse_repl_variant_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BW/aggressive_impulse_dd_shape_cross_period_materialization/mt5/run267bw_03_s258_stc_2025h2_impulse_repl.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BW/aggressive_impulse_dd_shape_cross_period_materialization/mt5/run267bw_03_s258_stc_2025h2_impulse_repl.ini,source copied then augmented with one state-shaped guard feature and score-table term(원천 복제 후 상태형 방어 피처와 점수표 항 1개 추가)
