month,source_timestamp,source_rule,bootstrap_month,weight_method,msft_xnas_close,msft_xnas_weight,nvda_xnas_close,nvda_xnas_weight,aapl_xnas_close,aapl_xnas_weight,weight_sum
2022-08,2022-08-01T16:40:00+00:00,first_common_closed_bar_in_month_bootstrap,True,mt5_price_proxy_close_share,278.26,0.606442332839334,18.13,0.039512684160055794,162.45,0.3540449830006102,1.0
2022-09,2022-08-31T22:55:00+00:00,last_common_closed_bar_before_month_start,False,mt5_price_proxy_close_share,262.4,0.6028857641760867,15.2,0.034923260729712344,157.64,0.3621909750942009,1.0
2022-10,2022-09-30T22:55:00+00:00,last_common_closed_bar_before_month_start,False,mt5_price_proxy_close_share,233.64,0.607725321888412,12.18,0.03168162309793211,138.63,0.36059305501365585,1.0
2022-11,2022-10-31T22:55:00+00:00,last_common_closed_bar_before_month_start,False,mt5_price_proxy_close_share,231.81,0.5821154135904776,13.51,0.03392597056903219,152.9,0.3839586158404902,1.0
2022-12,2022-11-30T22:55:00+00:00,last_common_closed_bar_before_month_start,False,mt5_price_proxy_close_share,254.4,0.6076529881049062,16.8,0.04012802751636173,147.46,0.35221898437873217,1.0
2023-01,2022-12-30T22:55:00+00:00,last_common_closed_bar_before_month_start,False,mt5_price_proxy_close_share,239.29,0.6237845728734913,14.58,0.03800735121607883,129.74,0.3382080759104299,1.0
2023-02,2023-01-31T22:55:00+00:00,last_common_closed_bar_before_month_start,False,mt5_price_proxy_close_share,247.05,0.6017390880748247,19.51,0.04752045985970382,144.0,0.35074045206547155,1.0
2023-03,2023-02-28T22:55:00+00:00,last_common_closed_bar_before_month_start,False,mt5_price_proxy_close_share,249.92,0.5935919055649241,23.32,0.05538797710376933,147.79,0.35102011733130656,1.0
2023-04,2023-03-31T22:55:00+00:00,last_common_closed_bar_before_month_start,False,mt5_price_proxy_close_share,288.15,0.5997127872127872,27.7,0.057650682650682655,164.63,0.34263653013653017,1.0
2023-05,2023-04-28T22:55:00+00:00,last_common_closed_bar_before_month_start,False,mt5_price_proxy_close_share,306.55,0.6087897684394487,27.66,0.05493108789768439,169.33,0.3362791436628669,1.0
