run_id,queue_id,axis_id,queue_type,queue_rank,seed_variant_id,variant_id,short_probability_threshold,long_threshold,min_margin,entry_margin_floor,long_block_feature,long_block_min,max_hold_m5,bridge_expression,bridge_policy,bridge_policy_value,trade_splitting_status,proxy_boundary(프록시 경계),claim_boundary(주장 경계),validation_trade_count,validation_trade_per_business_day,validation_net_profit,validation_profit_factor,validation_expectancy,validation_max_drawdown,validation_recovery_factor,validation_long_count,validation_short_count,validation_long_short_balance,validation_business_days,oos_trade_count,oos_trade_per_business_day,oos_net_profit,oos_profit_factor,oos_expectancy,oos_max_drawdown,oos_recovery_factor,oos_long_count,oos_short_count,oos_long_short_balance,oos_business_days,combined_trade_count,combined_trade_per_business_day,combined_net_profit,combined_profit_factor,combined_expectancy,combined_max_drawdown,combined_recovery_factor,combined_long_count,combined_short_count,combined_long_short_balance,combined_business_days,net_delta_vs_run364AD_selected,pf_delta_vs_run364AD_selected,dd_delta_vs_run364AD_selected,density_delta_vs_run364AD_selected,candidate_status,selection_score
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,selected_density_safe_control,control(대조),control(대조),1,stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,selected_density_safe_control__ps0_45__floor0_0__hold8,0.45,0.0,-0.000562137088,0.0,adx_14,40.0,8,short_threshold=0.45; restore non_hour16 abs_margin>=0.10,restore_march_non_hour16_margin,0.10,not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,516,2.6597938144,339.043,1.2146673268,0.6570600775,-142.323,2.382208076,452,64,0.1415929204,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,1001,3.006006006,840.055,1.2739357721,0.8392157842,-142.323,5.9024542765,882,119,0.1349206349,333,0.0,0.0,0.0,0.0,watch_pf_below_target(PF 목표 미만 관찰),858.0676332645
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,selected_short0455_restore_margin010,short_quality_plus_density_restore(숏 품질 + 밀도 복원),candidate(후보),3,stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,selected_short0455_restore_margin010__ps0_455__floor0_0__hold8,0.455,0.0,-0.000562137088,0.0,adx_14,40.0,8,short_threshold=0.455; restore non_hour16 abs_margin>=0.10,restore_march_non_hour16_margin,0.10,not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,506,2.6082474227,326.765,1.2116116523,0.6457806324,-133.361,2.4502290775,452,54,0.1194690265,194,481,3.4604316547,473.158,1.3183989276,0.9836964657,-89.08,5.3116075438,430,51,0.1186046512,139,987,2.963963964,799.923,1.2639812133,0.8104589666,-133.361,5.9981778781,882,105,0.119047619,333,-40.132,-0.0099545588,8.962,-0.042042042,fail_density_floor(밀도 하한 실패),770.39052003
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,selected_short0460_restore_margin010,short_quality_plus_density_restore(숏 품질 + 밀도 복원),candidate(후보),4,stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,selected_short0460_restore_margin010__ps0_46__floor0_0__hold8,0.46,0.0,-0.000562137088,0.0,adx_14,40.0,8,short_threshold=0.46; restore non_hour16 abs_margin>=0.10,restore_march_non_hour16_margin,0.10,not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,494,2.5463917526,328.043,1.2152571034,0.6640546559,-133.361,2.459812089,452,42,0.092920354,194,472,3.3956834532,446.373,1.3065820218,0.9457055085,-94.845,4.7063419263,429,43,0.1002331002,139,966,2.9009009009,774.416,1.2598776815,0.8016728778,-133.361,5.8069150651,881,85,0.0964812713,333,-65.639,-0.0140580906,8.962,-0.1051051051,fail_density_floor(밀도 하한 실패),659.3669527215
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,selected_short0465_restore_margin008,short_quality_plus_density_restore(숏 품질 + 밀도 복원),candidate(후보),5,stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,selected_short0465_restore_margin008__ps0_465__floor0_0__hold8,0.465,0.0,-0.000562137088,0.0,adx_14,40.0,8,short_threshold=0.465; restore non_hour16 abs_margin>=0.08,restore_march_non_hour16_margin,0.08,not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,488,2.5154639175,272.505,1.1798386432,0.5584118852,-125.956,2.1634936009,452,36,0.0796460177,194,468,3.3669064748,399.723,1.2746523584,0.8541089744,-94.845,4.2144867942,430,38,0.088372093,139,956,2.8708708709,672.228,1.2262896407,0.703167364,-125.956,5.3370065737,882,74,0.0839002268,333,-167.827,-0.0476461314,16.367,-0.1351351351,fail_density_floor(밀도 하한 실패),507.038339414
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,pfpass_short050_restore_short0475,pf_pass_density_restore(PF 통과 밀도 복원),candidate(후보),11,stress4_short050_pf_lift,pfpass_short050_restore_short0475__ps0_5__floor0_0__hold8,0.5,0.0,-0.000562137088,0.0,adx_14,40.0,8,short_threshold=0.50; block March long; restore side=short p_short>=0.475,block_march_long_restore_short_p,0.475,not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,459,2.3659793814,364.584,1.2734167418,0.7943006536,-120.303,3.0305478666,452,7,0.0154867257,194,436,3.1366906475,429.985,1.3317299161,0.9862041284,-88.47,4.8602351079,430,6,0.0139534884,139,895,2.6876876877,794.569,1.3021603444,0.8877865922,-120.303,6.6047313866,882,13,0.014739229,333,-45.486,0.0282245723,22.02,-0.3183183183,fail_density_floor(밀도 하한 실패),431.485879878
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,pf_pass_density_fail_control,control(대조),control(대조),2,stress4_short050_pf_lift,pf_pass_density_fail_control__ps0_5__floor0_0__hold8,0.5,0.0,-0.000562137088,0.0,adx_14,40.0,8,short_threshold=0.50; entry_month=2025-03 block side=long,block_march_long,,not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,454,2.3402061856,369.958,1.2818487108,0.8148854626,-120.303,3.0752184069,452,2,0.0044247788,194,436,3.1366906475,429.985,1.3317299161,0.9862041284,-88.47,4.8602351079,430,6,0.0139534884,139,890,2.6726726727,799.943,1.3066323163,0.8988123596,-120.303,6.6494019268,882,8,0.0090702948,333,-40.112,0.0326965442,22.02,-0.3333333333,fail_density_floor(밀도 하한 실패),420.948814176
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,pfpass_short050_restore_margin008,pf_pass_density_restore(PF 통과 밀도 복원),candidate(후보),9,stress4_short050_pf_lift,pfpass_short050_restore_margin008__ps0_5__floor0_0__hold8,0.5,0.0,-0.000562137088,0.0,adx_14,40.0,8,short_threshold=0.50; block March long; restore non_hour16 abs_margin>=0.08,block_march_long_restore_non_hour16_margin,0.08,not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,454,2.3402061856,369.958,1.2818487108,0.8148854626,-120.303,3.0752184069,452,2,0.0044247788,194,436,3.1366906475,429.985,1.3317299161,0.9862041284,-88.47,4.8602351079,430,6,0.0139534884,139,890,2.6726726727,799.943,1.3066323163,0.8988123596,-120.303,6.6494019268,882,8,0.0090702948,333,-40.112,0.0326965442,22.02,-0.3333333333,fail_density_floor(밀도 하한 실패),420.948814176
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,pfpass_short049_restore_margin010,pf_pass_density_restore(PF 통과 밀도 복원),candidate(후보),10,stress4_short050_pf_lift,pfpass_short049_restore_margin010__ps0_49__floor0_0__hold8,0.49,0.0,-0.000562137088,0.0,adx_14,40.0,8,short_threshold=0.49; block March long; restore non_hour16 abs_margin>=0.10,block_march_long_restore_non_hour16_margin,0.10,not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,460,2.3711340206,327.033,1.2400947067,0.7109413043,-120.303,2.7184110122,452,8,0.017699115,194,442,3.1798561151,427.648,1.3243836946,0.9675294118,-88.47,4.8338193738,430,12,0.0279069767,139,902,2.7087087087,754.681,1.2815511632,0.8366751663,-120.303,6.2731685827,882,20,0.022675737,333,-85.374,0.0076153911,22.02,-0.2972972973,fail_density_floor(밀도 하한 실패),404.506076536
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,mixed_long041_adx35_short0475,mixed_density_restore(혼합 밀도 복원),candidate(후보),12,stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,mixed_long041_adx35_short0475__ps0_475__floor0_0__hold8,0.475,0.0,-0.000562137088,0.0,adx_14,40.0,8,restore March long p_long>=0.41 adx_14>=35 or short p_short>=0.475,restore_march_long_p_adx_and_short_p,p_long=0.41;adx_14=35;p_short=0.475,not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,478,2.4639175258,247.559,1.1682185518,0.5179058577,-122.656,2.0183195278,456,22,0.048245614,194,458,3.2949640288,372.562,1.2569343489,0.8134541485,-95.645,3.895258508,430,28,0.0651162791,139,936,2.8108108108,620.121,1.2122481628,0.6625224359,-122.656,5.0557738716,886,50,0.0564334086,333,-219.934,-0.0616876093,19.667,-0.1951951952,fail_density_floor(밀도 하한 실패),370.016924233
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,selected_short0475_restore_short0475,short_quality_plus_density_restore(숏 품질 + 밀도 복원),candidate(후보),6,stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,selected_short0475_restore_short0475__ps0_475__floor0_0__hold8,0.475,0.0,-0.000562137088,0.0,adx_14,40.0,8,short_threshold=0.475; restore side=short p_short>=0.475,restore_march_short_p,0.475,not_used(거래 쪼개기 없음),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,474,2.4432989691,256.434,1.1760616711,0.541,-122.656,2.0906763632,452,22,0.0486725664,194,458,3.2949640288,372.562,1.2569343489,0.8134541485,-95.645,3.895258508,430,28,0.0651162791,139,932,2.7987987988,628.996,1.216407956,0.674888412,-122.656,5.128130707,882,50,0.0566893424,333,-211.059,-0.0575278161,19.667,-0.2072072072,fail_density_floor(밀도 하한 실패),365.762892532
