run_id,reference_run_id,selected_variant_id,metric_id,reference_value,selected_value,delta_selected_minus_reference,claim_boundary(주장 경계)
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,run364AD_selected_proxy,selected_density_safe_control__ps0_45__floor0_0__hold8,combined_net_profit,840.055,840.055,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,run364AD_selected_proxy,selected_density_safe_control__ps0_45__floor0_0__hold8,combined_profit_factor,1.2739357721,1.2739357721,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,run364AD_selected_proxy,selected_density_safe_control__ps0_45__floor0_0__hold8,combined_trade_count,1001,1001,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,run364AD_selected_proxy,selected_density_safe_control__ps0_45__floor0_0__hold8,combined_trade_per_business_day,3.006006006,3.006006006,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,run364AD_selected_proxy,selected_density_safe_control__ps0_45__floor0_0__hold8,combined_expectancy,,0.8392157842,0.8392157842,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,run364AD_selected_proxy,selected_density_safe_control__ps0_45__floor0_0__hold8,combined_max_drawdown,-142.323,-142.323,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,run364AD_selected_proxy,selected_density_safe_control__ps0_45__floor0_0__hold8,combined_recovery_factor,5.9024542765,5.9024542765,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,run364AD_selected_proxy,selected_density_safe_control__ps0_45__floor0_0__hold8,combined_long_count,882,882,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,run364AD_selected_proxy,selected_density_safe_control__ps0_45__floor0_0__hold8,combined_short_count,119,119,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,run364AD_selected_proxy,selected_density_safe_control__ps0_45__floor0_0__hold8,combined_long_short_balance,0.1349206349,0.1349206349,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
