run_id,queue_id,variant_id,source_signal_count,march_source_signal_count,march_block_count,march_restore_count,entry_margin_floor_filtered_count,final_signal_count,trade_count,claim_boundary(주장 경계)
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,selected_density_safe_control,selected_density_safe_control__ps0_45__floor0_0__hold8,5071,435,423,12,0,4648,1001,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,pf_pass_density_fail_control,pf_pass_density_fail_control__ps0_5__floor0_0__hold8,4802,399,399,0,0,4403,890,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,selected_short0455_restore_margin010,selected_short0455_restore_margin010__ps0_455__floor0_0__hold8,5020,426,416,10,0,4604,987,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,selected_short0460_restore_margin010,selected_short0460_restore_margin010__ps0_46__floor0_0__hold8,4970,420,412,8,0,4558,966,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,selected_short0465_restore_margin008,selected_short0465_restore_margin008__ps0_465__floor0_0__hold8,4927,411,401,10,0,4526,956,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,selected_short0475_restore_short0475,selected_short0475_restore_short0475__ps0_475__floor0_0__hold8,4872,405,399,6,0,4473,932,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,selected_margin_floor002_restore_margin008,selected_margin_floor002_restore_margin008__ps0_45__floor0_02__hold8,5071,435,410,25,3002,1659,477,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,selected_margin_floor003_restore_margin010,selected_margin_floor003_restore_margin010__ps0_45__floor0_03__hold8,5071,435,423,12,3630,1018,332,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,pfpass_short050_restore_margin008,pfpass_short050_restore_margin008__ps0_5__floor0_0__hold8,4802,399,399,0,0,4403,890,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,pfpass_short049_restore_margin010,pfpass_short049_restore_margin010__ps0_49__floor0_0__hold8,4821,401,399,1,0,4422,902,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,pfpass_short050_restore_short0475,pfpass_short050_restore_short0475__ps0_5__floor0_0__hold8,4802,399,399,6,0,4409,895,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,mixed_long041_adx35_short0475,mixed_long041_adx35_short0475__ps0_475__floor0_0__hold8,4872,405,398,11,0,4478,936,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
