run_id,session_bucket_id,session_bucket_label,record_view,split,wfo_split_role,tier_scope,route_role,net_profit,profit_factor,trade_count,status
run03P_et_mega_cap_divergence_probe_v1,aligned,aligned_low_divergence,mt5_aligned_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,-21.53,0.23,2,completed
run03P_et_mega_cap_divergence_probe_v1,aligned,aligned_low_divergence,mt5_aligned_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,-7.32,0.3,2,completed
run03P_et_mega_cap_divergence_probe_v1,aligned,aligned_low_divergence,mt5_aligned_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,-10.41,0.48,4,completed
run03P_et_mega_cap_divergence_probe_v1,moderate,moderate_mega_cap_divergence,mt5_moderate_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,-44.9,0.77,13,completed
run03P_et_mega_cap_divergence_probe_v1,moderate,moderate_mega_cap_divergence,mt5_moderate_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,31.46,3.36,5,completed
run03P_et_mega_cap_divergence_probe_v1,moderate,moderate_mega_cap_divergence,mt5_moderate_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,-36.97,0.82,18,completed
run03P_et_mega_cap_divergence_probe_v1,wide,wide_or_dispersed_mega_cap_divergence,mt5_wide_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,-86.04,0.86,82,completed
run03P_et_mega_cap_divergence_probe_v1,wide,wide_or_dispersed_mega_cap_divergence,mt5_wide_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,129.53,2.51,12,completed
run03P_et_mega_cap_divergence_probe_v1,wide,wide_or_dispersed_mega_cap_divergence,mt5_wide_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,-48.16,0.92,91,completed
run03P_et_mega_cap_divergence_probe_v1,aligned,aligned_low_divergence,mt5_aligned_tier_a_only_oos,oos,test,Tier A,tier_only_total,0,0,0,completed
run03P_et_mega_cap_divergence_probe_v1,aligned,aligned_low_divergence,mt5_aligned_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,0,0,0,completed
run03P_et_mega_cap_divergence_probe_v1,aligned,aligned_low_divergence,mt5_aligned_routed_total_oos,oos,test,Tier A+B,routed_total,0,0,0,completed
run03P_et_mega_cap_divergence_probe_v1,moderate,moderate_mega_cap_divergence,mt5_moderate_tier_a_only_oos,oos,test,Tier A,tier_only_total,-34.67,0.51,4,completed
run03P_et_mega_cap_divergence_probe_v1,moderate,moderate_mega_cap_divergence,mt5_moderate_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-46.13,0,1,completed
run03P_et_mega_cap_divergence_probe_v1,moderate,moderate_mega_cap_divergence,mt5_moderate_routed_total_oos,oos,test,Tier A+B,routed_total,-38.84,0.49,5,completed
run03P_et_mega_cap_divergence_probe_v1,wide,wide_or_dispersed_mega_cap_divergence,mt5_wide_tier_a_only_oos,oos,test,Tier A,tier_only_total,-17.97,0.78,22,completed
run03P_et_mega_cap_divergence_probe_v1,wide,wide_or_dispersed_mega_cap_divergence,mt5_wide_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-78.72,0.03,7,completed
run03P_et_mega_cap_divergence_probe_v1,wide,wide_or_dispersed_mega_cap_divergence,mt5_wide_routed_total_oos,oos,test,Tier A+B,routed_total,-10.72,0.89,26,completed
