run_id,adapter_id,split,view,atr_enabled,bracket_bucket,atr_stop_multiplier,atr_take_profit_multiplier,avg_atr_points,avg_open_sl_points,avg_open_tp_points,net_profit,profit_factor,max_drawdown_amount,mfe_capture_ratio,cost_stressed_expectancy,status
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_no_atr_fixed_lot025_sd5,validation_is,tier_a_only,False,no_atr,0,0,0,0,0,1009.93,1.2,362.47,,,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_no_atr_fixed_lot025_sd5,validation_is,actual_routed_total,False,no_atr,0,0,0,0,0,1009.93,1.2,362.47,0.6117451654,0.2436892489,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_no_atr_fixed_lot025_sd5,oos,tier_a_only,False,no_atr,0,0,0,0,0,1048.98,1.3,319.23,,,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_no_atr_fixed_lot025_sd5,oos,actual_routed_total,False,no_atr,0,0,0,0,0,1048.98,1.3,319.23,0.6167315875,0.5344970414,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_atr_fixed_lot025_sd5,validation_is,tier_a_only,True,atr_1.5_2,1.5,2,3634.39774,5451.596611,7268.795481,525.75,1.1,341.75,,,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_atr_fixed_lot025_sd5,validation_is,actual_routed_total,True,atr_1.5_2,1.5,2,3634.39774,5451.596611,7268.795481,525.75,1.1,341.75,0.6284314186,-0.1513594164,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_atr_fixed_lot025_sd5,oos,tier_a_only,True,atr_1.5_2,1.5,2,3903.364499,5855.046748,7806.728997,934.39,1.26,281.05,,,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_atr_fixed_lot025_sd5,oos,actual_routed_total,True,atr_1.5_2,1.5,2,3903.364499,5855.046748,7806.728997,934.39,1.26,281.05,0.6400381754,0.3342767857,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_atr_modelrisk5_sd5,validation_is,tier_a_only,True,atr_1.5_2,1.5,2,3634.39774,5451.596611,7268.795481,-431.26,0.93,622.68,,,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_atr_modelrisk5_sd5,validation_is,actual_routed_total,True,atr_1.5_2,1.5,2,3634.39774,5451.596611,7268.795481,-431.26,0.93,622.68,0.6292255827,-0.7859814324,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_atr_modelrisk5_sd5,oos,tier_a_only,True,atr_1.5_2,1.5,2,3903.364499,5855.046748,7806.728997,2076.39,1.18,986.81,,,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_atr_modelrisk5_sd5,oos,actual_routed_total,True,atr_1.5_2,1.5,2,3903.364499,5855.046748,7806.728997,2076.39,1.18,986.81,0.6398615013,1.353919643,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_wideatr_modelrisk5_sd5,validation_is,tier_a_only,True,wide_atr,2.5,3.5,3634.39774,9085.994351,12720.39209,194.3,1.02,686.8,,,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_wideatr_modelrisk5_sd5,validation_is,actual_routed_total,True,wide_atr,2.5,3.5,3634.39774,9085.994351,12720.39209,194.3,1.02,686.8,0.62021212,-0.364410328,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_wideatr_modelrisk5_sd5,oos,tier_a_only,True,wide_atr,2.5,3.5,3903.364499,9758.411246,13661.77574,882.49,1.13,424.78,,,completed
run52A_stage58_adapter_repair_before_risk_atr_v1,s58_wideatr_modelrisk5_sd5,oos,actual_routed_total,True,wide_atr,2.5,3.5,3903.364499,9758.411246,13661.77574,882.49,1.13,424.78,0.6296208647,0.3364834123,completed
