ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run45A_q2_loss_firewall_broad_mt5_wfo_v1_mt5_tier_a_c08_fw00_adx_reference_w01_2025q2_Tier A,51_risk_filter__q2_short_late_di_loss_firewall,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw00_adx_reference_w01_2025q2,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw00_adx_reference_w01_2025q2,Tier A,stage51_q2_loss_firewall_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_positive_q2_loss_firewall_runtime_probe_only,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/51_risk_filter__q2_short_late_di_loss_firewall/02_runs/run45A/mt5/reports/Project_Obsidian_Prime_v2_run45A_q2_loss_firewall_broad_mt5_wfo_v1_tier_a_c08_fw00_adx_reference_w01_2025q2.htm,split=w01_2025q2;route_role=tier_only_total;net_profit=-28.05;profit_factor=0.88;trade_count=83,Tier A separate;Tier B separate;actual routed total;no_baseline_no_promotion_no_runtime_authority,completed,stage51_q2_loss_firewall_runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run45A_q2_loss_firewall_broad_mt5_wfo_v1_mt5_tier_a_c08_fw00_adx_reference_w02_2025q3_Tier A,51_risk_filter__q2_short_late_di_loss_firewall,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw00_adx_reference_w02_2025q3,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw00_adx_reference_w02_2025q3,Tier A,stage51_q2_loss_firewall_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_positive_q2_loss_firewall_runtime_probe_only,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/51_risk_filter__q2_short_late_di_loss_firewall/02_runs/run45A/mt5/reports/Project_Obsidian_Prime_v2_run45A_q2_loss_firewall_broad_mt5_wfo_v1_tier_a_c08_fw00_adx_reference_w02_2025q3.htm,split=w02_2025q3;route_role=tier_only_total;net_profit=166.3;profit_factor=1.55;trade_count=162,Tier A separate;Tier B separate;actual routed total;no_baseline_no_promotion_no_runtime_authority,completed,stage51_q2_loss_firewall_runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run45A_q2_loss_firewall_broad_mt5_wfo_v1_mt5_tier_a_c08_fw00_adx_reference_w03_2025q4_Tier A,51_risk_filter__q2_short_late_di_loss_firewall,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw00_adx_reference_w03_2025q4,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw00_adx_reference_w03_2025q4,Tier A,stage51_q2_loss_firewall_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_positive_q2_loss_firewall_runtime_probe_only,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/51_risk_filter__q2_short_late_di_loss_firewall/02_runs/run45A/mt5/reports/Project_Obsidian_Prime_v2_run45A_q2_loss_firewall_broad_mt5_wfo_v1_tier_a_c08_fw00_adx_reference_w03_2025q4.htm,split=w03_2025q4;route_role=tier_only_total;net_profit=121.88;profit_factor=1.38;trade_count=138,Tier A separate;Tier B separate;actual routed total;no_baseline_no_promotion_no_runtime_authority,completed,stage51_q2_loss_firewall_runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run45A_q2_loss_firewall_broad_mt5_wfo_v1_mt5_tier_a_c08_fw00_adx_reference_w04_2026q1_Tier A,51_risk_filter__q2_short_late_di_loss_firewall,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw00_adx_reference_w04_2026q1,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw00_adx_reference_w04_2026q1,Tier A,stage51_q2_loss_firewall_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_positive_q2_loss_firewall_runtime_probe_only,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/51_risk_filter__q2_short_late_di_loss_firewall/02_runs/run45A/mt5/reports/Project_Obsidian_Prime_v2_run45A_q2_loss_firewall_broad_mt5_wfo_v1_tier_a_c08_fw00_adx_reference_w04_2026q1.htm,split=w04_2026q1;route_role=tier_only_total;net_profit=154.62;profit_factor=1.63;trade_count=86,Tier A separate;Tier B separate;actual routed total;no_baseline_no_promotion_no_runtime_authority,completed,stage51_q2_loss_firewall_runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run45A_q2_loss_firewall_broad_mt5_wfo_v1_mt5_tier_a_c08_fw01_block_late_short_w01_2025q2_Tier A,51_risk_filter__q2_short_late_di_loss_firewall,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw01_block_late_short_w01_2025q2,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw01_block_late_short_w01_2025q2,Tier A,stage51_q2_loss_firewall_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_positive_q2_loss_firewall_runtime_probe_only,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/51_risk_filter__q2_short_late_di_loss_firewall/02_runs/run45A/mt5/reports/Project_Obsidian_Prime_v2_run45A_q2_loss_firewall_broad_mt5_wfo_v1_tier_a_c08_fw01_block_late_short_w01_2025q2.htm,split=w01_2025q2;route_role=tier_only_total;net_profit=7.11;profit_factor=1.04;trade_count=70,Tier A separate;Tier B separate;actual routed total;no_baseline_no_promotion_no_runtime_authority,completed,stage51_q2_loss_firewall_runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run45A_q2_loss_firewall_broad_mt5_wfo_v1_mt5_tier_a_c08_fw01_block_late_short_w02_2025q3_Tier A,51_risk_filter__q2_short_late_di_loss_firewall,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw01_block_late_short_w02_2025q3,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw01_block_late_short_w02_2025q3,Tier A,stage51_q2_loss_firewall_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_positive_q2_loss_firewall_runtime_probe_only,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/51_risk_filter__q2_short_late_di_loss_firewall/02_runs/run45A/mt5/reports/Project_Obsidian_Prime_v2_run45A_q2_loss_firewall_broad_mt5_wfo_v1_tier_a_c08_fw01_block_late_short_w02_2025q3.htm,split=w02_2025q3;route_role=tier_only_total;net_profit=176.07;profit_factor=1.68;trade_count=146,Tier A separate;Tier B separate;actual routed total;no_baseline_no_promotion_no_runtime_authority,completed,stage51_q2_loss_firewall_runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run45A_q2_loss_firewall_broad_mt5_wfo_v1_mt5_tier_a_c08_fw01_block_late_short_w03_2025q4_Tier A,51_risk_filter__q2_short_late_di_loss_firewall,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw01_block_late_short_w03_2025q4,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw01_block_late_short_w03_2025q4,Tier A,stage51_q2_loss_firewall_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_positive_q2_loss_firewall_runtime_probe_only,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/51_risk_filter__q2_short_late_di_loss_firewall/02_runs/run45A/mt5/reports/Project_Obsidian_Prime_v2_run45A_q2_loss_firewall_broad_mt5_wfo_v1_tier_a_c08_fw01_block_late_short_w03_2025q4.htm,split=w03_2025q4;route_role=tier_only_total;net_profit=-30.5;profit_factor=0.92;trade_count=117,Tier A separate;Tier B separate;actual routed total;no_baseline_no_promotion_no_runtime_authority,completed,stage51_q2_loss_firewall_runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run45A_q2_loss_firewall_broad_mt5_wfo_v1_mt5_tier_a_c08_fw01_block_late_short_w04_2026q1_Tier A,51_risk_filter__q2_short_late_di_loss_firewall,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw01_block_late_short_w04_2026q1,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw01_block_late_short_w04_2026q1,Tier A,stage51_q2_loss_firewall_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_positive_q2_loss_firewall_runtime_probe_only,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/51_risk_filter__q2_short_late_di_loss_firewall/02_runs/run45A/mt5/reports/Project_Obsidian_Prime_v2_run45A_q2_loss_firewall_broad_mt5_wfo_v1_tier_a_c08_fw01_block_late_short_w04_2026q1.htm,split=w04_2026q1;route_role=tier_only_total;net_profit=53.71;profit_factor=1.22;trade_count=75,Tier A separate;Tier B separate;actual routed total;no_baseline_no_promotion_no_runtime_authority,completed,stage51_q2_loss_firewall_runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run45A_q2_loss_firewall_broad_mt5_wfo_v1_mt5_tier_a_c08_fw02_block_di_short_mild_w01_2025q2_Tier A,51_risk_filter__q2_short_late_di_loss_firewall,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw02_block_di_short_mild_w01_2025q2,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw02_block_di_short_mild_w01_2025q2,Tier A,stage51_q2_loss_firewall_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_positive_q2_loss_firewall_runtime_probe_only,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/51_risk_filter__q2_short_late_di_loss_firewall/02_runs/run45A/mt5/reports/Project_Obsidian_Prime_v2_run45A_q2_loss_firewall_broad_mt5_wfo_v1_tier_a_c08_fw02_block_di_short_mild_w01_2025q2.htm,split=w01_2025q2;route_role=tier_only_total;net_profit=56.07;profit_factor=1.36;trade_count=69,Tier A separate;Tier B separate;actual routed total;no_baseline_no_promotion_no_runtime_authority,completed,stage51_q2_loss_firewall_runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run45A_q2_loss_firewall_broad_mt5_wfo_v1_mt5_tier_a_c08_fw02_block_di_short_mild_w02_2025q3_Tier A,51_risk_filter__q2_short_late_di_loss_firewall,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw02_block_di_short_mild_w02_2025q3,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw02_block_di_short_mild_w02_2025q3,Tier A,stage51_q2_loss_firewall_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_positive_q2_loss_firewall_runtime_probe_only,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/51_risk_filter__q2_short_late_di_loss_firewall/02_runs/run45A/mt5/reports/Project_Obsidian_Prime_v2_run45A_q2_loss_firewall_broad_mt5_wfo_v1_tier_a_c08_fw02_block_di_short_mild_w02_2025q3.htm,split=w02_2025q3;route_role=tier_only_total;net_profit=144.87;profit_factor=1.51;trade_count=148,Tier A separate;Tier B separate;actual routed total;no_baseline_no_promotion_no_runtime_authority,completed,stage51_q2_loss_firewall_runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
run45A_q2_loss_firewall_broad_mt5_wfo_v1_mt5_tier_a_c08_fw02_block_di_short_mild_w03_2025q4_Tier A,51_risk_filter__q2_short_late_di_loss_firewall,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw02_block_di_short_mild_w03_2025q4,run45A_q2_loss_firewall_broad_mt5_wfo_v1,mt5_tier_a_c08_fw02_block_di_short_mild_w03_2025q4,Tier A,stage51_q2_loss_firewall_mt5_runtime_probe,runtime_probe,completed,reviewed_completed_positive_q2_loss_firewall_runtime_probe_only,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/51_risk_filter__q2_short_late_di_loss_firewall/02_runs/run45A/mt5/reports/Project_Obsidian_Prime_v2_run45A_q2_loss_firewall_broad_mt5_wfo_v1_tier_a_c08_fw02_block_di_short_mild_w03_2025q4.htm,split=w03_2025q4;route_role=tier_only_total;net_profit=66.43;profit_factor=1.23;trade_count=112,Tier A separate;Tier B separate;actual routed total;no_baseline_no_promotion_no_runtime_authority,completed,stage51_q2_loss_firewall_runtime_probe_only_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_operating_reference
