rule_id,rule_family,classification,validation_kept_trades,validation_kept_net_profit,validation_kept_profit_factor,validation_net_delta_vs_base,validation_pf_delta_vs_base,validation_short_hold_loss_delta,validation_long_hold_win_delta,oos_kept_trades,oos_kept_net_profit,oos_kept_profit_factor,oos_net_delta_vs_base,oos_pf_delta_vs_base,oos_short_hold_loss_delta,oos_long_hold_win_delta,validation_sample_status,oos_sample_status,stress_question
exclude_vol_high_or_adx_20_25,risk_filter_combo,entry_proxy_candidate_modest,59,211.31,2.081755,3.3,0.31029,0.027735,0.01827,32,78.42,1.541089,15.77,0.316875,-0.086397,-0.001225,ok,ok,exclude high volatility or ADX 20-25(고변동 또는 ADX 20-25 제거)
keep_late_or_vol_mid,session_volatility_combo,entry_proxy_candidate_thin_sample,40,178.76,2.224467,-29.25,0.453002,-0.015909,0.062338,26,152.73,2.132004,90.08,0.90779,-0.040724,0.109352,sample_ok_but_thin_margin,sample_ok_but_thin_margin,keep late session or mid volatility(후반 세션 또는 중간 변동성 유지)
exclude_adx_20_25,adx_regime,pf_survivor_with_net_or_label_cost,64,245.95,2.259087,37.94,0.487622,0.018466,0.021713,37,49.16,1.280866,-13.49,0.056652,-0.009539,-0.043455,ok,ok,exclude ADX 20-25 bucket(ADX 20-25 버킷 제거)
keep_late_or_adx_gt25,session_adx_combo,pf_survivor_with_net_or_label_cost,49,131.84,1.814883,-76.17,0.043418,0.03154,0.009277,33,112.39,1.767534,49.74,0.54332,0.003565,0.049911,ok,ok,keep late session or ADX > 25(후반 세션 또는 ADX 25 초과 유지)
keep_late_session_only,session_time,sample_thin_diagnostic_only,23,62.26,1.642385,-145.75,-0.12908,-0.047431,0.184077,16,98.08,1.955666,35.43,0.731452,0.007353,0.248775,sample_thin,sample_thin,keep late session only(후반 세션만 유지)
keep_vol_mid_or_late_not_adx_20_25,aggressive_combo,sample_thin_diagnostic_only,31,224.68,3.828298,16.67,2.056833,0.005865,0.113951,16,128.54,3.534806,65.89,2.310592,-0.055147,0.123775,sample_thin,sample_thin,"keep mid volatility or late session while excluding ADX 20-25(중간 변동성 또는 후반 세션 유지, ADX 20-25 제거)"
exclude_mid_session,session_time,split_conflict_oos_help_validation_cost,45,90.07,1.483027,-117.94,-0.288438,-0.00202,0.017894,29,124.61,1.916722,61.96,0.692508,0.020284,0.065585,sample_ok_but_thin_margin,sample_ok_but_thin_margin,exclude mid session(중간 세션 제거)
keep_downtrend,trend_regime,split_conflict_oos_help_validation_cost,48,111.46,1.770124,-96.55,-0.001341,0.013258,-0.045995,32,44.79,1.302247,-17.86,0.078033,0.007353,-0.001225,ok,ok,keep downtrend regime(하락 추세 구간 유지)
exclude_vol_high,volatility_regime,rejected_or_unstable,72,173.37,1.642992,-34.64,-0.128473,0.006313,-0.004329,44,96.34,1.403637,33.69,0.179423,-0.049465,0.027184,ok,ok,exclude high volatility regime(고변동 구간 제거)
baseline_all_trades,reference,reference_only,77,208.01,1.771465,0.0,0.0,0.0,0.0,51,62.65,1.224214,0.0,0.0,0.0,0.0,ok,ok,original Tier A trade set(원래 티어 A 거래 묶음)
