rule_id,rule_family,split,base_trade_count,base_net_profit,base_profit_factor,base_short_hold_loss_rate,base_long_hold_win_rate,kept_trade_count,kept_trade_share,kept_net_profit,kept_profit_factor,kept_expectancy,kept_win_rate_percent,kept_avg_hold_bars,kept_short_hold_loss_rate,kept_long_hold_win_rate,short_hold_loss_delta_vs_base,long_hold_win_delta_vs_base,removed_trade_count,removed_net_profit,removed_profit_factor,net_delta_vs_base,pf_delta_vs_base,sample_status,stress_question
baseline_all_trades,reference,oos,51,62.65,1.224214,0.117647,0.313725,51,1.0,62.65,1.224214,1.228431,54.901961,273.72549,0.117647,0.313725,0.0,0.0,0,0.0,,0.0,0.0,ok,original Tier A trade set(원래 티어 A 거래 묶음)
baseline_all_trades,reference,validation,77,208.01,1.771465,0.090909,0.337662,77,1.0,208.01,1.771465,2.701429,57.142857,270.0,0.090909,0.337662,0.0,0.0,0,0.0,,0.0,0.0,ok,original Tier A trade set(원래 티어 A 거래 묶음)
exclude_adx_20_25,adx_regime,oos,51,62.65,1.224214,0.117647,0.313725,37,0.72549,49.16,1.280866,1.328649,54.054054,309.405405,0.108108,0.27027,-0.009539,-0.043455,14,13.49,1.129227,-13.49,0.056652,ok,exclude ADX 20-25 bucket(ADX 20-25 버킷 제거)
exclude_adx_20_25,adx_regime,validation,77,208.01,1.771465,0.090909,0.337662,64,0.831169,245.95,2.259087,3.842969,60.9375,258.0,0.109375,0.359375,0.018466,0.021713,13,-37.94,0.489299,37.94,0.487622,ok,exclude ADX 20-25 bucket(ADX 20-25 버킷 제거)
exclude_mid_session,session_time,oos,51,62.65,1.224214,0.117647,0.313725,29,0.568627,124.61,1.916722,4.296897,58.62069,312.241379,0.137931,0.37931,0.020284,0.065585,22,-61.96,0.568193,61.96,0.692508,sample_ok_but_thin_margin,exclude mid session(중간 세션 제거)
exclude_mid_session,session_time,validation,77,208.01,1.771465,0.090909,0.337662,45,0.584416,90.07,1.483027,2.001556,55.555556,275.688889,0.088889,0.355556,-0.00202,0.017894,32,117.94,2.41823,-117.94,-0.288438,sample_ok_but_thin_margin,exclude mid session(중간 세션 제거)
exclude_vol_high,volatility_regime,oos,51,62.65,1.224214,0.117647,0.313725,44,0.862745,96.34,1.403637,2.189545,59.090909,307.795455,0.068182,0.340909,-0.049465,0.027184,7,-33.69,0.173049,33.69,0.179423,ok,exclude high volatility regime(고변동 구간 제거)
exclude_vol_high,volatility_regime,validation,77,208.01,1.771465,0.090909,0.337662,72,0.935065,173.37,1.642992,2.407917,54.166667,280.763889,0.097222,0.333333,0.006313,-0.004329,5,34.64,,-34.64,-0.128473,ok,exclude high volatility regime(고변동 구간 제거)
exclude_vol_high_or_adx_20_25,risk_filter_combo,oos,51,62.65,1.224214,0.117647,0.313725,32,0.627451,78.42,1.541089,2.450625,59.375,355.0625,0.03125,0.3125,-0.086397,-0.001225,19,-15.77,0.882742,15.77,0.316875,ok,exclude high volatility or ADX 20-25(고변동 또는 ADX 20-25 제거)
exclude_vol_high_or_adx_20_25,risk_filter_combo,validation,77,208.01,1.771465,0.090909,0.337662,59,0.766234,211.31,2.081755,3.581525,57.627119,270.118644,0.118644,0.355932,0.027735,0.01827,18,-3.3,0.955579,3.3,0.31029,ok,exclude high volatility or ADX 20-25(고변동 또는 ADX 20-25 제거)
