split,dimension,segment,trade_count,net_profit,profit_factor,short_hold_loss_rate,short_hold_any_rate,long_hold_win_rate,long_hold_any_rate
oos,adx_bucket,adx_20_25,14,13.49,1.129227,0.142857,0.142857,0.428571,0.642857
oos,adx_bucket,adx_gt25,18,31.3,1.714612,0.111111,0.166667,0.222222,0.333333
oos,adx_bucket,adx_lt20,19,17.86,1.136097,0.105263,0.157895,0.315789,0.631579
validation,adx_bucket,adx_20_25,13,-37.94,0.489299,0.0,0.076923,0.230769,0.384615
validation,adx_bucket,adx_gt25,35,149.4,3.120954,0.142857,0.342857,0.314286,0.457143
validation,adx_bucket,adx_lt20,29,96.55,1.773018,0.068966,0.137931,0.413793,0.689655
oos,confidence_band,confidence_ge_0.97,51,62.65,1.224214,0.117647,0.156863,0.313725,0.529412
validation,confidence_band,confidence_0.90_0.97,1,-1.9,0.0,0.0,0.0,0.0,1.0
validation,confidence_band,confidence_ge_0.97,76,209.91,1.784036,0.092105,0.223684,0.342105,0.526316
oos,entropy_inv_band,entropy_inv_ge_0.80,51,62.65,1.224214,0.117647,0.156863,0.313725,0.529412
validation,entropy_inv_band,entropy_inv_ge_0.80,77,208.01,1.771465,0.090909,0.220779,0.337662,0.532468
oos,hour_bucket,hour_16_19,36,26.3,1.154325,0.111111,0.166667,0.25,0.416667
oos,hour_bucket,hour_20_23,15,36.35,1.333486,0.133333,0.133333,0.466667,0.8
validation,hour_bucket,hour_16_19,50,120.85,1.690138,0.12,0.28,0.26,0.38
validation,hour_bucket,hour_20_23,27,87.16,1.922133,0.037037,0.111111,0.481481,0.814815
oos,p_long_band,p_long_0.90_0.95,51,62.65,1.224214,0.117647,0.156863,0.313725,0.529412
validation,p_long_band,p_long_0.90_0.95,77,208.01,1.771465,0.090909,0.220779,0.337662,0.532468
oos,session_slice,early,13,26.53,1.796697,0.153846,0.230769,0.153846,0.153846
oos,session_slice,late,16,98.08,1.955666,0.125,0.125,0.5625,0.8125
oos,session_slice,mid,22,-61.96,0.568193,0.090909,0.136364,0.227273,0.545455
validation,session_slice,early,22,27.81,1.310553,0.136364,0.363636,0.181818,0.318182
validation,session_slice,late,23,62.26,1.642385,0.043478,0.086957,0.521739,0.913043
validation,session_slice,mid,32,117.94,2.41823,0.09375,0.21875,0.3125,0.40625
oos,state_score_band,state_score_high_positive,51,62.65,1.224214,0.117647,0.156863,0.313725,0.529412
validation,state_score_band,state_score_high_positive,77,208.01,1.771465,0.090909,0.220779,0.337662,0.532468
oos,trend_regime,downtrend,32,44.79,1.302247,0.125,0.15625,0.3125,0.46875
oos,trend_regime,range_or_weak_trend,19,17.86,1.136097,0.105263,0.157895,0.315789,0.631579
validation,trend_regime,downtrend,48,111.46,1.770124,0.104167,0.270833,0.291667,0.4375
validation,trend_regime,range_or_weak_trend,29,96.55,1.773018,0.068966,0.137931,0.413793,0.689655
oos,volatility_regime,vol_high,7,-33.69,0.173049,0.428571,0.571429,0.142857,0.142857
oos,volatility_regime,vol_low,31,18.35,1.096078,0.096774,0.096774,0.354839,0.612903
oos,volatility_regime,vol_mid,13,77.99,2.635353,0.0,0.076923,0.307692,0.538462
validation,volatility_regime,vol_high,5,34.64,,0.0,0.4,0.4,0.4
validation,volatility_regime,vol_low,51,30.48,1.140273,0.078431,0.196078,0.352941,0.607843
validation,volatility_regime,vol_mid,21,142.89,3.730034,0.142857,0.238095,0.285714,0.380952
