adapter_id,split,segment,profit_factor,net_profit,trade_count,drawdown_amount,mfe_capture_ratio,pf_below_34d,late_or_single_segment_concentration,stage147_read
s146_control_bothgate_ease_h3_cd5_sht53_lng51_risk035,oos,early,1.6384701600,227.8700000000,60.0000000000,96.6700000000,0.2335425620,False,False,segment_watch
s146_control_bothgate_ease_h3_cd5_sht53_lng51_risk035,oos,mid,1.9851691000,426.4600000000,60.0000000000,88.7200000000,0.2926469085,False,False,segment_watch
s146_control_bothgate_ease_h3_cd5_sht53_lng51_risk035,oos,late,1.7593171470,531.9700000000,60.0000000000,123.3300000000,0.2468096202,False,False,segment_watch
s146_control_bothgate_hold4_h4_cd5_sht54_lng52_risk035,oos,early,1.4227229450,173.1600000000,60.0000000000,111.2700000000,0.1723497665,True,False,segment_watch
s146_control_bothgate_hold4_h4_cd5_sht54_lng52_risk035,oos,mid,1.7461348720,338.7900000000,59.0000000000,82.1900000000,0.2436754360,False,False,segment_watch
s146_control_bothgate_hold4_h4_cd5_sht54_lng52_risk035,oos,late,2.1388676590,745.0700000000,59.0000000000,132.6800000000,0.3281302057,False,True,segment_watch
s146_control_bothgate_replay_h3_cd5_sht54_lng52_risk035,oos,early,1.6384701600,227.8700000000,60.0000000000,96.6700000000,0.2335425620,False,False,segment_watch
s146_control_bothgate_replay_h3_cd5_sht54_lng52_risk035,oos,mid,1.9851691000,426.4600000000,60.0000000000,88.7200000000,0.2926469085,False,False,segment_watch
s146_control_bothgate_replay_h3_cd5_sht54_lng52_risk035,oos,late,1.7593171470,531.9700000000,60.0000000000,123.3300000000,0.2468096202,False,False,segment_watch
s146_control_bothgate_softsession_h3_cd5_sht54_lng52_risk035,oos,early,1.8379742560,346.9800000000,72.0000000000,99.9200000000,0.2808754786,False,False,segment_watch
s146_control_bothgate_softsession_h3_cd5_sht54_lng52_risk035,oos,mid,1.4084660630,247.2200000000,72.0000000000,87.7500000000,0.1553673603,True,False,mid_quality_repair_needed
s146_control_bothgate_softsession_h3_cd5_sht54_lng52_risk035,oos,late,1.6515862360,548.5900000000,71.0000000000,133.9000000000,0.2277133342,False,True,segment_watch
