thesis_id,source_artifact,feature_family,bar_time_server,timestamp_utc,row_index,joined_us100_minus_mega8_equal_return_1
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 03:05:00,2026-04-14T03:05:00Z,0,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 03:10:00,2026-04-14T03:10:00Z,1,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 03:15:00,2026-04-14T03:15:00Z,2,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 03:25:00,2026-04-14T03:25:00Z,3,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 03:35:00,2026-04-14T03:35:00Z,4,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 03:45:00,2026-04-14T03:45:00Z,5,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 03:50:00,2026-04-14T03:50:00Z,6,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 04:15:00,2026-04-14T04:15:00Z,7,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 04:40:00,2026-04-14T04:40:00Z,8,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 04:45:00,2026-04-14T04:45:00Z,9,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 04:55:00,2026-04-14T04:55:00Z,10,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 05:10:00,2026-04-14T05:10:00Z,11,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 05:15:00,2026-04-14T05:15:00Z,12,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 05:45:00,2026-04-14T05:45:00Z,13,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 06:35:00,2026-04-14T06:35:00Z,14,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 06:55:00,2026-04-14T06:55:00Z,15,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 07:00:00,2026-04-14T07:00:00Z,16,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 07:05:00,2026-04-14T07:05:00Z,17,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 07:20:00,2026-04-14T07:20:00Z,18,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 08:35:00,2026-04-14T08:35:00Z,19,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 08:40:00,2026-04-14T08:40:00Z,20,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 09:05:00,2026-04-14T09:05:00Z,21,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 09:15:00,2026-04-14T09:15:00Z,22,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 09:20:00,2026-04-14T09:20:00Z,23,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 09:25:00,2026-04-14T09:25:00Z,24,
pv_m48_breadth_reintroduction_control,m48_plain,bounded_breadth_divergence_control,2026.04.14 09:40:00,2026-04-14T09:40:00Z,25,
