branch_name,branch_id,attempt_name,axis,bucket,direction,trade_count,repair_applied_trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,longest_underwater_trades,slice_use,claim_boundary
cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,c56_bal_rf,direction,short,short,33,0,-85.55,0.606014552823,-2.59242424242,0.393939393939,94.61,33,diagnostic_attribution_only_after_same_bar_repair_no_regime_filter,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,c56_bal_rf,direction,long,long,42,0,87,1.69986324511,2.07142857143,0.619047619048,55.87,14,diagnostic_attribution_only_after_same_bar_repair_no_regime_filter,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,c56_bal_rf,session,session_13_20,short,25,0,-79.03,0.55180627233,-3.1612,0.36,95.36,25,diagnostic_attribution_only_after_same_bar_repair_no_regime_filter,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,c56_bal_rf,session,session_13_20,long,38,0,85.74,1.7495410438,2.25631578947,0.631578947368,55.87,13,diagnostic_attribution_only_after_same_bar_repair_no_regime_filter,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,c56_bal_rf,session,session_21_23,short,8,0,-6.52,0.840235236462,-0.815,0.5,26.01,3,diagnostic_attribution_only_after_same_bar_repair_no_regime_filter,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,c56_bal_rf,session,session_21_23,long,4,0,1.26,1.12701612903,0.315,0.5,9.92,3,diagnostic_attribution_only_after_same_bar_repair_no_regime_filter,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,c56_bal_rf,open_hour,16,short,9,0,-45.64,0.379216539717,-5.07111111111,0.222222222222,60.23,9,diagnostic_attribution_only_after_same_bar_repair_no_regime_filter,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,c56_bal_rf,open_hour,16,long,17,0,-4.23,0.948345341312,-0.248823529412,0.588235294118,29.76,7,diagnostic_attribution_only_after_same_bar_repair_no_regime_filter,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,c56_bal_rf,open_hour,18,short,7,0,0.89,1.05708787684,0.127142857143,0.428571428571,15.26,5,diagnostic_attribution_only_after_same_bar_repair_no_regime_filter,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,c56_bal_rf,open_hour,18,long,5,0,-4.3,0.205175600739,-0.86,0.4,5.41,3,diagnostic_attribution_only_after_same_bar_repair_no_regime_filter,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
