run_id,queue_rank,queue_id,axis_id,queue_type,variant_id,review_status,candidate_status,combined_net_profit,combined_profit_factor,combined_trade_count,combined_trade_per_business_day,combined_expectancy,combined_max_drawdown,combined_recovery_factor,combined_long_count,combined_short_count,validation_net_profit,validation_profit_factor,oos_net_profit,oos_profit_factor,net_delta_vs_run364AJ_selected,pf_delta_vs_run364AJ_selected,dd_delta_vs_run364AJ_selected,density_delta_vs_run364AJ_selected,selection_score,claim_boundary
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,7.0,density_anchor_hold6_pf_probe(밀도 기준 보유6 PF 탐침),hold_shape(보유 형태),candidate(후보),density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,"density_safe_pf_dd_fail(밀도 안전, PF/DD 실패)",watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),858.662,1.2724135667,1168.0,3.5075075075,0.7351558219,-168.999,5.080870301,1041.0,127.0,428.254,1.2625630575,430.408,1.2829768028,18.607,-0.0015222054,-26.676,0.5015015015,992.841178715,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,2.0,pfpass_core_short_restore_budget_010(PF통과 핵심 숏 0.10 복원),short_restore(숏 복원),candidate(후보),pfpass_core_short_restore_budget_010_PF통과_핵심_숏_0_10_복원__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,"pf_pass_density_fail_seed(PF 통과, 밀도 실패 씨앗)",fail_density_floor(밀도 하한 실패),845.554,1.3287468527,887.0,2.6636636637,0.9532739572,-120.303,7.0285362792,881.0,6.0,362.958,1.2765158326,482.596,1.383183002,5.499,0.0548110806,22.02,-0.3423423423,410.418022536,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,12.0,pfpass_guardrail_no_trade_split(PF통과 거래쪼개기 금지 가드),guardrail(가드레일),control(대조),pfpass_guardrail_no_trade_split_PF통과_거래쪼개기_금지_가드__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,"pf_pass_density_fail_seed(PF 통과, 밀도 실패 씨앗)",fail_density_floor(밀도 하한 실패),845.554,1.3287468527,887.0,2.6636636637,0.9532739572,-120.303,7.0285362792,881.0,6.0,362.958,1.2765158326,482.596,1.383183002,5.499,0.0548110806,22.02,-0.3423423423,410.418022536,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,4.0,pfpass_late_long_density_patch(PF통과 후반 롱 밀도 패치),late_long_restore(후반 롱 복원),candidate(후보),pfpass_late_long_density_patch_PF통과_후반_롱_밀도_패치__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,"pf_pass_density_fail_seed(PF 통과, 밀도 실패 씨앗)",fail_density_floor(밀도 하한 실패),810.666,1.310783255,889.0,2.6696696697,0.9118852643,-120.303,6.7385351986,883.0,6.0,328.07,1.2431911735,482.596,1.383183002,-29.389,0.0368474829,22.02,-0.3363363363,358.312178894,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,10.0,pfpass_month_pocket_observation(PF통과 월 포켓 관찰),market_behavior(시장 현상),observation(관찰),pfpass_month_pocket_observation_PF통과_월_포켓_관찰__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,"pf_pass_density_fail_seed(PF 통과, 밀도 실패 씨앗)",fail_density_floor(밀도 하한 실패),799.943,1.3066323163,890.0,2.6726726727,0.8988123596,-120.303,6.6494019268,882.0,8.0,369.958,1.2818487108,429.985,1.3317299161,-40.112,0.0326965442,22.02,-0.3333333333,96.533312892,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,11.0,density_anchor_short0455_edge(밀도 기준 숏0.455 경계),threshold_edge(임계값 경계),candidate(후보),density_anchor_short0455_edge_밀도_기준_숏0_455_경계__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_455__floor0_00__hold8,"near_density_dd_improved_seed(밀도 근접, 낙폭 개선 씨앗)",fail_density_floor(밀도 하한 실패),789.589,1.2670836468,967.0,2.9039039039,0.8165346432,-133.361,5.920688957,881.0,86.0,293.518,1.1900935903,496.071,1.3512591475,-50.466,-0.0068521253,8.962,-0.1021021021,652.27072627,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,1.0,control_replay_density_anchor(대조 재생 밀도 기준점),control_anchor(대조 기준),control(대조),control_replay_density_anchor_대조_재생_밀도_기준점__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold8,"density_safe_pf_fail(밀도 안전, PF 실패)",watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),840.055,1.2739357721,1001.0,3.006006006,0.8392157842,-142.323,5.9024542765,882.0,119.0,339.043,1.2146673268,501.012,1.3368770697,0.0,0.0,0.0,0.0,852.863251865,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,8.0,dd_seed_density_restore_core_late(낙폭 씨앗 핵심후반 밀도 복원),dd_restore(낙폭 복원),candidate(후보),dd_seed_density_restore_core_late_낙폭_씨앗_핵심후반_밀도_복원__seed_pfpass_core_plus_premarket_long_restore_PF_통과_핵심_프리마켓_롱_복원_ps0_5_floor0_0_hold8__ps0_45__floor0_00__hold8,reject_or_watch(거절 또는 관찰),fail_density_floor(밀도 하한 실패),688.499,1.2534558955,926.0,2.7807807808,0.7435194384,-128.108,5.374363818,817.0,109.0,247.422,1.1648720489,441.077,1.3628011917,-151.556,-0.0204798766,14.215,-0.2252252252,367.327753275,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,9.0,pfpass_validation_balance_patch(PF통과 검증 균형 패치),split_balance(분할 균형),candidate(후보),pfpass_validation_balance_patch_PF통과_검증_균형_패치__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_01__hold8,reject_or_watch(거절 또는 관찰),fail_density_floor(밀도 하한 실패),390.702,1.2128851815,569.0,1.7087087087,0.6866467487,-164.69,2.3723480478,561.0,8.0,285.237,1.3233272084,105.465,1.11065726,-449.353,-0.0610505906,-22.367,-1.2972972973,-1600.859568975,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,5.0,pfpass_non_drag_session_restore(PF통과 비끌림 세션 복원),session_restore(세션 복원),candidate(후보),pfpass_non_drag_session_restore_PF통과_비끌림_세션_복원__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_01__hold8,reject_or_watch(거절 또는 관찰),fail_density_floor(밀도 하한 실패),343.724,1.1795958461,584.0,1.7537537538,0.5885684932,-164.69,2.0870969701,578.0,6.0,223.972,1.2296950827,119.752,1.1275598083,-496.331,-0.094339926,-22.367,-1.2522522522,-1602.408069335,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
