queue_id,thesis_id,guard_family,source_artifact,scoring_mode,trade_count,max_underwater_trade_count,max_underwater_start,max_underwater_end,max_drawdown,claim_boundary
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,76,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,71,11,2026-05-15T17:35:00+00:00,2026-05-19T17:35:00+00:00,39.085,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,75,8,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,28.775,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,76,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,control_no_veto,76,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,hard_veto,73,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,76,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,soft_veto,76,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,control_no_veto,299,114,2026-04-27T15:45:00+00:00,2026-05-12T21:30:00+00:00,99.275,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_breadth_reintroduction_control__hard_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,hard_veto,59,24,2026-04-20T18:00:00+00:00,2026-05-11T19:15:00+00:00,36.725,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
