queue_id,thesis_id,guard_family,source_artifact,scoring_mode,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,max_underwater_trade_count,max_underwater_start,max_underwater_end,max_drawdown,chunk_type,chunk_id,start_time,end_time,claim_boundary
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,26,20.375,94.535,74.16,1.2747437972,0.7836538462,0.5384615385,6.7525,-6.18,1.0926375405,7,2026-04-27T18:00:00+00:00,2026-04-30T19:50:00+00:00,33.075,thirds,thirds_1,2026-04-14T16:55:00+00:00,2026-05-01T17:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,26,87.81,134.62,46.81,2.875881222,3.3773076923,0.7307692308,7.0852631579,-6.6871428571,1.059535187,4,2026-05-15T17:35:00+00:00,2026-05-15T21:00:00+00:00,39.085,thirds,thirds_2,2026-05-04T16:35:00+00:00,2026-05-15T21:00:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,24,100.475,141.44,40.965,3.4527035274,4.1864583333,0.625,9.4293333333,-4.5516666667,2.0716221164,8,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,13.275,thirds,thirds_3,2026-05-15T21:20:00+00:00,2026-05-22T17:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,16,14.075,51.535,37.46,1.3757341164,0.8796875,0.5625,5.7261111111,-5.3514285714,1.0700154239,13,2026-04-20T17:35:00+00:00,2026-04-24T18:40:00+00:00,18.51,fifths,fifths_1,2026-04-14T16:55:00+00:00,2026-04-24T18:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,16,25.245,65.17,39.925,1.6323105823,1.5778125,0.625,6.517,-6.6541666667,0.9793863494,7,2026-04-27T18:00:00+00:00,2026-04-30T19:50:00+00:00,33.075,fifths,fifths_2,2026-04-24T18:45:00+00:00,2026-05-06T18:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,16,107.95,112.45,4.5,24.9888888889,6.746875,0.875,8.0321428571,-2.25,3.5698412698,1,2026-05-07T21:45:00+00:00,2026-05-07T21:45:00+00:00,2.825,fifths,fifths_3,2026-05-07T16:45:00+00:00,2026-05-14T18:50:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,16,40.425,93.6,53.175,1.76022567,2.5265625,0.4375,13.3714285714,-5.9083333333,2.2631472899,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,fifths,fifths_4,2026-05-15T16:35:00+00:00,2026-05-19T21:10:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,12,20.965,47.84,26.875,1.7800930233,1.7470833333,0.6666666667,5.98,-6.71875,0.8900465116,8,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,13.275,fifths,fifths_5,2026-05-19T21:25:00+00:00,2026-05-22T17:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,20,-25.5,45.035,70.535,0.6384773517,-1.275,0.45,5.0038888889,-6.4122727273,0.7803612076,4,2026-04-27T18:00:00+00:00,2026-04-29T17:35:00+00:00,33.075,rolling_worst_net,rolling_20_start_2,2026-04-15T16:35:00+00:00,2026-04-29T17:35:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,40,88.045,169.93,81.885,2.0752274531,2.201125,0.625,6.7972,-5.459,1.2451364719,7,2026-04-27T18:00:00+00:00,2026-04-30T19:50:00+00:00,33.075,rolling_worst_net,rolling_40_start_2,2026-04-15T16:35:00+00:00,2026-05-12T20:25:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
