queue_id,thesis_id,source_artifact,scoring_mode,direction,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,max_underwater_trade_count,max_underwater_start,max_underwater_end,max_drawdown
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,long,56,197.72,270.47,72.75,3.7178006873,3.5307142857,0.6785714286,7.1176315789,-4.0416666667,1.7610634835,7,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,16.49
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,short,20,10.94,100.125,89.185,1.1226663677,0.547,0.5,10.0125,-8.9185,1.1226663677,16,2026-04-21T17:35:00+00:00,2026-05-18T22:05:00+00:00,46.935
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,long,55,181.69,264.425,82.735,3.1960476219,3.3034545455,0.7090909091,6.7801282051,-5.1709375,1.3111990244,7,2026-05-20T19:45:00+00:00,2026-05-22T17:50:00+00:00,21.575
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,short,18,14.03,91.425,77.395,1.1812778603,0.7794444444,0.5,10.1583333333,-8.5994444444,1.1812778603,14,2026-04-21T23:55:00+00:00,2026-05-18T22:20:00+00:00,42.195
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,long,56,197.72,270.47,72.75,3.7178006873,3.5307142857,0.6785714286,7.1176315789,-4.0416666667,1.7610634835,7,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,16.49
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,short,20,10.94,100.125,89.185,1.1226663677,0.547,0.5,10.0125,-8.9185,1.1226663677,16,2026-04-21T17:35:00+00:00,2026-05-18T22:05:00+00:00,46.935
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,long,56,197.72,270.47,72.75,3.7178006873,3.5307142857,0.6785714286,7.1176315789,-4.0416666667,1.7610634835,7,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,16.49
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,short,20,10.94,100.125,89.185,1.1226663677,0.547,0.5,10.0125,-8.9185,1.1226663677,16,2026-04-21T17:35:00+00:00,2026-05-18T22:05:00+00:00,46.935
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,c56_plain,control_no_veto,long,56,197.72,270.47,72.75,3.7178006873,3.5307142857,0.6785714286,7.1176315789,-4.0416666667,1.7610634835,7,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,16.49
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,c56_plain,control_no_veto,short,20,10.94,100.125,89.185,1.1226663677,0.547,0.5,10.0125,-8.9185,1.1226663677,16,2026-04-21T17:35:00+00:00,2026-05-18T22:05:00+00:00,46.935
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,c56_plain,hard_veto,long,54,198.585,268.71,70.125,3.8318716578,3.6775,0.6851851852,7.2624324324,-4.125,1.7605896806,7,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,16.125
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,c56_plain,hard_veto,short,17,3.815,81.55,77.735,1.0490769923,0.2244117647,0.4705882353,10.19375,-8.6372222222,1.1802116164,14,2026-04-21T17:35:00+00:00,2026-05-18T22:05:00+00:00,35.485
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,c56_plain,soft_veto,long,56,197.72,270.47,72.75,3.7178006873,3.5307142857,0.6785714286,7.1176315789,-4.0416666667,1.7610634835,7,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,16.49
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,c56_plain,soft_veto,short,20,10.94,100.125,89.185,1.1226663677,0.547,0.5,10.0125,-8.9185,1.1226663677,16,2026-04-21T17:35:00+00:00,2026-05-18T22:05:00+00:00,46.935
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,c56_plain,negative_control,long,55,208.01,270.085,62.075,4.3509464358,3.782,0.7090909091,6.9252564103,-3.8796875,1.785003666,7,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,11.825
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,c56_plain,negative_control,short,20,28.075,98.075,70.0,1.4010714286,1.40375,0.55,8.9159090909,-7.7777777778,1.1463311688,16,2026-04-21T17:35:00+00:00,2026-05-18T22:20:00+00:00,42.6
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,m48_plain,control_no_veto,long,274,150.04,694.48,544.44,1.2755859232,0.5475912409,0.5583941606,4.5390849673,-4.4995041322,1.0087967105,97,2026-04-27T15:45:00+00:00,2026-05-11T17:40:00+00:00,79.9
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,m48_plain,control_no_veto,short,25,-26.63,70.185,96.815,0.7249393173,-1.0652,0.48,5.84875,-7.4473076923,0.785350927,25,2026-04-21T17:35:00+00:00,2026-05-21T22:50:00+00:00,45.025
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,m48_plain,hard_veto,long,275,169.735,690.065,520.33,1.3262064459,0.6172181818,0.5527272727,4.5399013158,-4.2303252033,1.0731802161,64,2026-04-27T15:45:00+00:00,2026-05-06T12:35:00+00:00,56.9
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,m48_plain,hard_veto,short,20,5.07,67.075,62.005,1.0817675994,0.2535,0.55,6.0977272727,-6.8894444444,0.8850825813,7,2026-04-21T17:35:00+00:00,2026-05-12T19:20:00+00:00,22.625
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,m48_plain,soft_veto,long,274,150.04,694.48,544.44,1.2755859232,0.5475912409,0.5583941606,4.5390849673,-4.4995041322,1.0087967105,97,2026-04-27T15:45:00+00:00,2026-05-11T17:40:00+00:00,79.9
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,m48_plain,soft_veto,short,25,-26.63,70.185,96.815,0.7249393173,-1.0652,0.48,5.84875,-7.4473076923,0.785350927,25,2026-04-21T17:35:00+00:00,2026-05-21T22:50:00+00:00,45.025
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,m48_plain,negative_control,long,274,148.575,693.015,544.44,1.2728950849,0.5422445255,0.5583941606,4.5295098039,-4.4995041322,1.0066686619,97,2026-04-27T15:45:00+00:00,2026-05-11T17:40:00+00:00,79.9
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,m48_plain,negative_control,short,25,-26.63,70.185,96.815,0.7249393173,-1.0652,0.48,5.84875,-7.4473076923,0.785350927,25,2026-04-21T17:35:00+00:00,2026-05-21T22:50:00+00:00,45.025
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,m48_plain,control_no_veto,long,274,150.04,694.48,544.44,1.2755859232,0.5475912409,0.5583941606,4.5390849673,-4.4995041322,1.0087967105,97,2026-04-27T15:45:00+00:00,2026-05-11T17:40:00+00:00,79.9
