queue_id,thesis_id,guard_family,source_artifact,scoring_mode,extra_cost_per_round_trip_account_ccy,trade_count,net_profit_after_cost,profit_factor_after_cost,expectancy_after_cost,max_drawdown_after_cost,survives_pf_ge_1,stress_boundary
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,soft_veto,3.0,76,-19.34,0.9247031341,-0.2544736842,88.4,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,soft_veto,5.0,76,-171.34,0.4975219215,-2.2544736842,175.905,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,0.0,76,208.66,2.2885416988,2.7455263158,39.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,0.25,76,189.66,2.1216843599,2.4955263158,40.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,0.5,76,170.66,1.9678169393,2.2455263158,41.35,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,1.0,76,132.66,1.6947914212,1.7455263158,50.4,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,2.0,76,56.66,1.254909459,0.7455263158,69.4,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,3.0,76,-19.34,0.9247031341,-0.2544736842,88.4,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,5.0,76,-171.34,0.4975219215,-2.2544736842,175.905,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,0.0,76,208.66,2.2885416988,2.7455263158,39.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,0.25,76,189.66,2.1216843599,2.4955263158,40.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,0.5,76,170.66,1.9678169393,2.2455263158,41.35,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,1.0,76,132.66,1.6947914212,1.7455263158,50.4,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,2.0,76,56.66,1.254909459,0.7455263158,69.4,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,3.0,76,-19.34,0.9247031341,-0.2544736842,88.4,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,5.0,76,-171.34,0.4975219215,-2.2544736842,175.905,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,0.0,71,202.4,2.3688624374,2.8507042254,39.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,0.25,71,184.65,2.1950682804,2.6007042254,40.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,0.5,71,166.9,2.0349745752,2.3507042254,41.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,1.0,71,131.4,1.7514583095,1.8507042254,43.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,2.0,71,60.4,1.2961364974,0.8507042254,55.71,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,3.0,71,-10.6,0.9549960728,-0.1492957746,72.71,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,5.0,71,-152.6,0.5135092054,-2.1492957746,156.9,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,0.0,76,208.66,2.2885416988,2.7455263158,39.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,0.25,76,189.66,2.1216843599,2.4955263158,40.085,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,0.5,76,170.66,1.9678169393,2.2455263158,41.35,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,1.0,76,132.66,1.6947914212,1.7455263158,50.4,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,2.0,76,56.66,1.254909459,0.7455263158,69.4,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,3.0,76,-19.34,0.9247031341,-0.2544736842,88.4,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,5.0,76,-171.34,0.4975219215,-2.2544736842,175.905,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,0.0,75,236.085,2.7875070982,3.1478,28.775,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,0.25,75,217.335,2.5690924843,2.8978,32.55,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,0.5,75,198.585,2.3671003717,2.6478,37.05,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,1.0,75,161.085,2.0140060431,2.1478,46.1,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,2.0,75,86.085,1.4574123273,1.1478,65.1,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,3.0,75,11.085,1.0500734049,0.1478,84.1,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,5.0,75,-138.915,0.542500988,-1.8522,153.955,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,control_no_veto,0.0,299,123.41,1.1924507411,0.4127424749,99.275,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,control_no_veto,0.25,299,48.66,1.0719913007,0.1627424749,121.875,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,control_no_veto,0.5,299,-26.09,0.963383227,-0.0872575251,153.075,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,control_no_veto,1.0,299,-175.59,0.7779337557,-0.5872575251,235.67,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,control_no_veto,2.0,299,-474.59,0.5079546927,-1.5872575251,498.39,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,control_no_veto,3.0,299,-773.59,0.3353181252,-2.5872575251,787.865,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,control_no_veto,5.0,299,-1371.59,0.1520309119,-4.5872575251,1378.565,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,hard_veto,0.0,295,174.805,1.30017945,0.592559322,67.075,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,hard_veto,0.25,295,101.055,1.1639545071,0.342559322,72.825,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,hard_veto,0.5,295,27.305,1.0418701649,0.092559322,90.275,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,hard_veto,1.0,295,-120.195,0.8352093559,-0.407440678,156.995,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,hard_veto,2.0,295,-415.195,0.5413248933,-1.407440678,438.995,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,hard_veto,3.0,295,-710.195,0.3574233417,-2.407440678,724.47,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,hard_veto,5.0,295,-1300.195,0.1637434235,-4.407440678,1307.17,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,soft_veto,0.0,299,123.41,1.1924507411,0.4127424749,99.275,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,soft_veto,0.25,299,48.66,1.0719913007,0.1627424749,121.875,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,soft_veto,0.5,299,-26.09,0.963383227,-0.0872575251,153.075,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,soft_veto,1.0,299,-175.59,0.7779337557,-0.5872575251,235.67,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
