queue_id,thesis_id,guard_family,source_artifact,scoring_mode,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,max_underwater_trade_count,max_underwater_start,max_underwater_end,max_drawdown,first_trade_time,last_trade_time,days,proxy_trades_per_day,signal_rows,signal_to_proxy_trade_compression,recovery_factor,rolling20_min_net,rolling20_start,rolling20_end,rolling40_min_net,rolling40_start,rolling40_end,fixed_lot,hold_bars_policy,claim_boundary
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,control_no_veto,76,208.66,370.595,161.935,2.2885416988,2.7455263158,0.6315789474,7.7207291667,-5.7833928571,1.3349826577,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,2026-04-14T16:55:00+00:00,2026-05-22T17:40:00+00:00,38.03125,1.9983566146,486,6.3947368421,5.3386209543,-25.5,2026-04-15 16:35:00+00:00,2026-04-29 17:35:00+00:00,88.045,2026-04-15 16:35:00+00:00,2026-05-12 20:25:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,hard_veto,73,195.72,355.85,160.13,2.2222569163,2.6810958904,0.6575342466,7.4135416667,-6.4052,1.1574254772,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,2026-04-14T16:55:00+00:00,2026-05-22T17:50:00+00:00,38.0381944444,1.9191236878,434,5.9452054795,5.0075476526,-13.695,2026-04-16 16:35:00+00:00,2026-04-30 20:10:00+00:00,89.1,2026-04-28 16:40:00+00:00,2026-05-18 23:50:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,soft_veto,76,208.66,370.595,161.935,2.2885416988,2.7455263158,0.6315789474,7.7207291667,-5.7833928571,1.3349826577,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,2026-04-14T16:55:00+00:00,2026-05-22T17:40:00+00:00,38.03125,1.9983566146,486,6.3947368421,5.3386209543,-25.5,2026-04-15 16:35:00+00:00,2026-04-29 17:35:00+00:00,88.045,2026-04-15 16:35:00+00:00,2026-05-12 20:25:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,76,208.66,370.595,161.935,2.2885416988,2.7455263158,0.6315789474,7.7207291667,-5.7833928571,1.3349826577,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,2026-04-14T16:55:00+00:00,2026-05-22T17:40:00+00:00,38.03125,1.9983566146,484,6.3684210526,5.3386209543,-25.5,2026-04-15 16:35:00+00:00,2026-04-29 17:35:00+00:00,88.045,2026-04-15 16:35:00+00:00,2026-05-12 20:25:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,76,208.66,370.595,161.935,2.2885416988,2.7455263158,0.6315789474,7.7207291667,-5.7833928571,1.3349826577,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,2026-04-14T16:55:00+00:00,2026-05-22T17:40:00+00:00,38.03125,1.9983566146,486,6.3947368421,5.3386209543,-25.5,2026-04-15 16:35:00+00:00,2026-04-29 17:35:00+00:00,88.045,2026-04-15 16:35:00+00:00,2026-05-12 20:25:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,71,202.4,350.26,147.86,2.3688624374,2.8507042254,0.6338028169,7.7835555556,-5.6869230769,1.368676075,11,2026-05-15T17:35:00+00:00,2026-05-19T17:35:00+00:00,39.085,2026-04-14T16:55:00+00:00,2026-05-22T17:40:00+00:00,38.03125,1.8668857847,468,6.5915492958,5.1784572086,-4.41,2026-04-16 16:35:00+00:00,2026-04-30 19:50:00+00:00,98.035,2026-04-23 20:20:00+00:00,2026-05-15 21:00:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,76,208.66,370.595,161.935,2.2885416988,2.7455263158,0.6315789474,7.7207291667,-5.7833928571,1.3349826577,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,2026-04-14T16:55:00+00:00,2026-05-22T17:40:00+00:00,38.03125,1.9983566146,486,6.3947368421,5.3386209543,-25.5,2026-04-15 16:35:00+00:00,2026-04-29 17:35:00+00:00,88.045,2026-04-15 16:35:00+00:00,2026-05-12 20:25:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,75,236.085,368.16,132.075,2.7875070982,3.1478,0.6666666667,7.3632,-5.283,1.3937535491,8,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,28.775,2026-04-14T16:55:00+00:00,2026-05-22T17:40:00+00:00,38.03125,1.9720624486,418,5.5733333333,8.2045178106,-21.2,2026-04-15 16:35:00+00:00,2026-04-29 17:35:00+00:00,83.27,2026-04-15 16:35:00+00:00,2026-05-12 20:25:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,control_no_veto,299,123.41,764.665,641.255,1.1924507411,0.4127424749,0.5518394649,4.6343333333,-4.7854850746,0.9684145413,114,2026-04-27T15:45:00+00:00,2026-05-12T21:30:00+00:00,99.275,2026-04-14T07:00:00+00:00,2026-05-22T18:00:00+00:00,38.4583333333,7.7746478873,2562,8.5685618729,1.2431125661,-51.775,2026-04-27 14:45:00+00:00,2026-04-29 15:45:00+00:00,-77.7,2026-04-27 14:45:00+00:00,2026-05-01 15:40:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,hard_veto,295,174.805,757.14,582.335,1.30017945,0.592559322,0.5525423729,4.6450306748,-4.4116287879,1.0529060576,89,2026-04-27T15:45:00+00:00,2026-05-08T13:55:00+00:00,67.075,2026-04-14T07:00:00+00:00,2026-05-22T18:00:00+00:00,38.4583333333,7.6706392199,2414,8.1830508475,2.6061125606,-51.775,2026-04-27 14:45:00+00:00,2026-04-29 15:45:00+00:00,-38.5,2026-04-16 09:05:00+00:00,2026-04-22 12:55:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,soft_veto,299,123.41,764.665,641.255,1.1924507411,0.4127424749,0.5518394649,4.6343333333,-4.7854850746,0.9684145413,114,2026-04-27T15:45:00+00:00,2026-05-12T21:30:00+00:00,99.275,2026-04-14T07:00:00+00:00,2026-05-22T18:00:00+00:00,38.4583333333,7.7746478873,2562,8.5685618729,1.2431125661,-51.775,2026-04-27 14:45:00+00:00,2026-04-29 15:45:00+00:00,-77.7,2026-04-27 14:45:00+00:00,2026-05-01 15:40:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,negative_control,299,121.945,763.2,641.255,1.1901661585,0.4078428094,0.5518394649,4.6254545455,-4.7854850746,0.9665591833,114,2026-04-27T15:45:00+00:00,2026-05-12T21:30:00+00:00,99.275,2026-04-14T07:00:00+00:00,2026-05-22T18:05:00+00:00,38.4618055556,7.7739460143,2535,8.4782608696,1.2283555779,-51.775,2026-04-27 14:45:00+00:00,2026-04-29 15:45:00+00:00,-77.7,2026-04-27 14:45:00+00:00,2026-05-01 15:40:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,control_no_veto,299,123.41,764.665,641.255,1.1924507411,0.4127424749,0.5518394649,4.6343333333,-4.7854850746,0.9684145413,114,2026-04-27T15:45:00+00:00,2026-05-12T21:30:00+00:00,99.275,2026-04-14T07:00:00+00:00,2026-05-22T18:00:00+00:00,38.4583333333,7.7746478873,2562,8.5685618729,1.2431125661,-51.775,2026-04-27 14:45:00+00:00,2026-04-29 15:45:00+00:00,-77.7,2026-04-27 14:45:00+00:00,2026-05-01 15:40:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_breadth_reintroduction_control__hard_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,hard_veto,59,144.575,270.715,126.14,2.1461471381,2.4504237288,0.6779661017,6.767875,-6.6389473684,1.0194198906,24,2026-04-20T18:00:00+00:00,2026-05-11T19:15:00+00:00,36.725,2026-04-14T16:55:00+00:00,2026-05-22T17:50:00+00:00,38.0381944444,1.5510725696,313,5.3050847458,3.936691627,-13.81,2026-04-20 17:00:00+00:00,2026-05-06 18:45:00+00:00,87.825,2026-04-21 22:45:00+00:00,2026-05-18 23:50:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_breadth_reintroduction_control__soft_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,soft_veto,73,233.875,383.475,149.6,2.5633355615,3.2037671233,0.6301369863,8.3364130435,-5.5407407407,1.5045665252,8,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,31.325,2026-04-14T16:55:00+00:00,2026-05-22T17:40:00+00:00,38.03125,1.9194741167,473,6.4794520548,7.4660814046,11.24,2026-04-14 16:55:00+00:00,2026-04-29 17:35:00+00:00,121.11,2026-04-14 16:55:00+00:00,2026-05-12 21:30:00+00:00,0.1,12,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
