queue_id,thesis_id,source_artifact,scoring_mode,fixed_lot,net_profit_at_fixed_lot,equity_dd_amount_at_fixed_lot,net_profit_per_1lot_linear,equity_dd_amount_per_1lot_linear,expectancy_per_1lot_linear,normalization_boundary
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,0.1,208.66,39.085,2086.6,390.85,27.4552631579,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,0.1,195.72,39.085,1957.2,390.85,26.8109589041,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,0.1,208.66,39.085,2086.6,390.85,27.4552631579,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,0.1,208.66,39.085,2086.6,390.85,27.4552631579,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,c56_plain,control_no_veto,0.1,208.66,39.085,2086.6,390.85,27.4552631579,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,c56_plain,hard_veto,0.1,202.4,39.085,2024.0,390.85,28.5070422535,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,c56_plain,soft_veto,0.1,208.66,39.085,2086.6,390.85,27.4552631579,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,c56_plain,negative_control,0.1,236.085,28.775,2360.85,287.75,31.478,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,m48_plain,control_no_veto,0.1,123.41,99.275,1234.1,992.75,4.1274247492,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,m48_plain,hard_veto,0.1,174.805,67.075,1748.05,670.75,5.9255932203,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,m48_plain,soft_veto,0.1,123.41,99.275,1234.1,992.75,4.1274247492,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,m48_plain,negative_control,0.1,121.945,99.275,1219.45,992.75,4.0784280936,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,m48_plain,control_no_veto,0.1,123.41,99.275,1234.1,992.75,4.1274247492,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
pv_m48_breadth_reintroduction_control__hard_veto,pv_m48_breadth_reintroduction_control,m48_plain,hard_veto,0.1,144.575,36.725,1445.75,367.25,24.5042372881,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
pv_m48_breadth_reintroduction_control__soft_veto,pv_m48_breadth_reintroduction_control,m48_plain,soft_veto,0.1,233.875,31.325,2338.75,313.25,32.0376712329,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
