queue_id,thesis_id,source_artifact,scoring_mode,trade_count,net_profit,profit_factor,max_drawdown,cost2_pf,rolling20_min_net,rolling40_min_net,screen_decision,next_use,claim_boundary
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,76,208.66,2.2885416988,39.085,1.254909459,-25.5,88.045,baseline_reference_not_candidate,comparison_baseline_only,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,73,195.72,2.2222569163,39.085,1.2332027861,-13.695,89.1,screen_failed_proxy_cost_curve_guard,failure_memory_no_candidate_language,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,76,208.66,2.2885416988,39.085,1.254909459,-25.5,88.045,screen_failed_proxy_cost_curve_guard,failure_memory_no_candidate_language,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,76,208.66,2.2885416988,39.085,1.254909459,-25.5,88.045,screen_failed_proxy_cost_curve_guard,failure_memory_no_candidate_language,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,c56_plain,control_no_veto,76,208.66,2.2885416988,39.085,1.254909459,-25.5,88.045,baseline_reference_not_candidate,comparison_baseline_only,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,c56_plain,hard_veto,71,202.4,2.3688624374,39.085,1.2961364974,-4.41,98.035,screen_failed_proxy_cost_curve_guard,failure_memory_no_candidate_language,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,c56_plain,soft_veto,76,208.66,2.2885416988,39.085,1.254909459,-25.5,88.045,screen_failed_proxy_cost_curve_guard,failure_memory_no_candidate_language,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,c56_plain,negative_control,75,236.085,2.7875070982,28.775,1.4574123273,-21.2,83.27,screen_failed_proxy_cost_curve_guard,failure_memory_no_candidate_language,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,m48_plain,control_no_veto,299,123.41,1.1924507411,99.275,0.5079546927,-51.775,-77.7,baseline_reference_not_candidate,comparison_baseline_only,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,m48_plain,hard_veto,295,174.805,1.30017945,67.075,0.5413248933,-51.775,-38.5,screen_failed_proxy_cost_curve_guard,failure_memory_no_candidate_language,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
