queue_id,thesis_id,source_artifact,scoring_mode,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,max_underwater_trade_count,max_underwater_start,max_underwater_end,max_drawdown,axis,bucket,claim_boundary
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,76,208.66,370.595,161.935,2.2885416988,2.7455263158,0.6315789474,7.7207291667,-5.7833928571,1.3349826577,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,73,195.72,355.85,160.13,2.2222569163,2.6810958904,0.6575342466,7.4135416667,-6.4052,1.1574254772,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,76,208.66,370.595,161.935,2.2885416988,2.7455263158,0.6315789474,7.7207291667,-5.7833928571,1.3349826577,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,76,208.66,370.595,161.935,2.2885416988,2.7455263158,0.6315789474,7.7207291667,-5.7833928571,1.3349826577,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,c56_plain,control_no_veto,76,208.66,370.595,161.935,2.2885416988,2.7455263158,0.6315789474,7.7207291667,-5.7833928571,1.3349826577,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,c56_plain,hard_veto,71,202.4,350.26,147.86,2.3688624374,2.8507042254,0.6338028169,7.7835555556,-5.6869230769,1.368676075,11,2026-05-15T17:35:00+00:00,2026-05-19T17:35:00+00:00,39.085,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,c56_plain,soft_veto,76,208.66,370.595,161.935,2.2885416988,2.7455263158,0.6315789474,7.7207291667,-5.7833928571,1.3349826577,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,c56_plain,negative_control,75,236.085,368.16,132.075,2.7875070982,3.1478,0.6666666667,7.3632,-5.283,1.3937535491,8,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,28.775,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,m48_plain,control_no_veto,238,26.985,477.79,450.805,1.0598595845,0.1133823529,0.5420168067,3.7037984496,-4.1358256881,0.8955402691,168,2026-04-24T15:45:00+00:00,2026-05-22T16:55:00+00:00,78.0,session,outside_cash,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,m48_plain,control_no_veto,61,96.425,286.875,190.45,1.5063008664,1.5807377049,0.5901639344,7.96875,-7.618,1.0460422683,11,2026-05-18T18:20:00+00:00,2026-05-20T17:50:00+00:00,51.425,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
