attempt_name,queue_id,candidate_id,candidate_alias,candidate_role,variant_id,profile_label,tier,split,attempt_role,record_view_prefix,set_path,ini_path,common_telemetry_path,common_summary_path,execution_status,runtime_status,report_status
run267bs_01_s264_aih_dir_asym_ta24,run267bs_q01_pool_wide_directional_asymmetry,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_01_s264_aih_dir_asym,directional_asymmetry,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_run267bs_01_s264_aih_dir_asym,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_01_s264_aih_dir_asym_ta24.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_01_s264_aih_dir_asym_ta24.ini,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_01_s264_aih_dir_asym_ta24_telemetry.csv,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_01_s264_aih_dir_asym_ta24_summary.csv,completed,completed,completed
run267bs_02_s264_lc_dir_asym_ta24,run267bs_q01_pool_wide_directional_asymmetry,s264_lowrank_control,s264_lc,defensive_control,run267bs_02_s264_lc_dir_asym,directional_asymmetry,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_run267bs_02_s264_lc_dir_asym,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_02_s264_lc_dir_asym_ta24.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_02_s264_lc_dir_asym_ta24.ini,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_02_s264_lc_dir_asym_ta24_telemetry.csv,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_02_s264_lc_dir_asym_ta24_summary.csv,completed,completed,completed
run267bs_03_s262_lih_dir_asym_ta24,run267bs_q01_pool_wide_directional_asymmetry,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267bs_03_s262_lih_dir_asym,directional_asymmetry,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_run267bs_03_s262_lih_dir_asym,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_03_s262_lih_dir_asym_ta24.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_03_s262_lih_dir_asym_ta24.ini,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_03_s262_lih_dir_asym_ta24_telemetry.csv,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_03_s262_lih_dir_asym_ta24_summary.csv,completed,completed,completed
run267bs_04_s264_aia_dir_asym_ta24,run267bs_q01_pool_wide_directional_asymmetry,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267bs_04_s264_aia_dir_asym,directional_asymmetry,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_run267bs_04_s264_aia_dir_asym,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_04_s264_aia_dir_asym_ta24.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_04_s264_aia_dir_asym_ta24.ini,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_04_s264_aia_dir_asym_ta24_telemetry.csv,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_04_s264_aia_dir_asym_ta24_summary.csv,completed,completed,completed
run267bs_05_s258_stc_dir_asym_ta24,run267bs_q01_pool_wide_directional_asymmetry,s258_short_tight_control,s258_stc,stress_challenger,run267bs_05_s258_stc_dir_asym,directional_asymmetry,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_run267bs_05_s258_stc_dir_asym,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_05_s258_stc_dir_asym_ta24.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_05_s258_stc_dir_asym_ta24.ini,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_05_s258_stc_dir_asym_ta24_telemetry.csv,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_05_s258_stc_dir_asym_ta24_summary.csv,completed,completed,completed
run267bs_06_s264_aih_impulse_repl_ta24,run267bs_q02_aggressive_impulse_replacement,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bs_06_s264_aih_impulse_repl,aggressive_impulse_replacement,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_run267bs_06_s264_aih_impulse_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_06_s264_aih_impulse_repl_ta24.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_06_s264_aih_impulse_repl_ta24.ini,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_06_s264_aih_impulse_repl_ta24_telemetry.csv,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_06_s264_aih_impulse_repl_ta24_summary.csv,completed,completed,completed
run267bs_07_s264_lc_impulse_repl_ta24,run267bs_q02_aggressive_impulse_replacement,s264_lowrank_control,s264_lc,defensive_control,run267bs_07_s264_lc_impulse_repl,aggressive_impulse_replacement,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_run267bs_07_s264_lc_impulse_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_07_s264_lc_impulse_repl_ta24.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_07_s264_lc_impulse_repl_ta24.ini,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_07_s264_lc_impulse_repl_ta24_telemetry.csv,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_07_s264_lc_impulse_repl_ta24_summary.csv,completed,completed,completed
run267bs_08_s262_lih_impulse_repl_ta24,run267bs_q02_aggressive_impulse_replacement,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267bs_08_s262_lih_impulse_repl,aggressive_impulse_replacement,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_run267bs_08_s262_lih_impulse_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_08_s262_lih_impulse_repl_ta24.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_08_s262_lih_impulse_repl_ta24.ini,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_08_s262_lih_impulse_repl_ta24_telemetry.csv,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_08_s262_lih_impulse_repl_ta24_summary.csv,completed,completed,completed
run267bs_09_s264_aia_impulse_repl_ta24,run267bs_q02_aggressive_impulse_replacement,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267bs_09_s264_aia_impulse_repl,aggressive_impulse_replacement,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_run267bs_09_s264_aia_impulse_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_09_s264_aia_impulse_repl_ta24.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_09_s264_aia_impulse_repl_ta24.ini,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_09_s264_aia_impulse_repl_ta24_telemetry.csv,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_09_s264_aia_impulse_repl_ta24_summary.csv,completed,completed,completed
run267bs_10_s258_stc_impulse_repl_ta24,run267bs_q02_aggressive_impulse_replacement,s258_short_tight_control,s258_stc,stress_challenger,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_run267bs_10_s258_stc_impulse_repl,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_10_s258_stc_impulse_repl_ta24.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BT/pool_wide_directional_impulse_followup_mt5_execution/mt5/run267bs_10_s258_stc_impulse_repl_ta24.ini,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_10_s258_stc_impulse_repl_ta24_telemetry.csv,OPV2/s267bt/run267BT_directional_impulse_followup/telemetry/run267bs_10_s258_stc_impulse_repl_ta24_summary.csv,completed,completed,completed
