run_id,source_run_id,adapter_id,split,month,trade_count,net_profit,net_share_of_split,profit_factor,winner_count,loser_count,source_quality_flag,audit_flag
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,validation_is,2025.01,30,12.58,0.010481,1.123225,15,15,pf_below_34d,pf_below_34d
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,validation_is,2025.02,36,210.19,0.175119,2.559042,24,12,acceptable_measurement_only,acceptable_measurement_only
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,validation_is,2025.03,31,88.74,0.073933,1.495118,14,17,pf_below_34d,pf_below_34d
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,validation_is,2025.04,53,298.06,0.248327,1.899505,33,20,acceptable_measurement_only,acceptable_measurement_only
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,validation_is,2025.05,28,21.13,0.017604,1.108032,13,15,pf_below_34d,pf_below_34d
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,validation_is,2025.06,22,137.39,0.114466,2.142346,15,7,acceptable_measurement_only,acceptable_measurement_only
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,validation_is,2025.07,20,186.75,0.15559,2.287753,11,9,acceptable_measurement_only,acceptable_measurement_only
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,validation_is,2025.08,25,73.39,0.061145,1.235685,11,14,pf_below_34d,pf_below_34d
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,validation_is,2025.09,23,172.04,0.143334,1.89932,14,9,acceptable_measurement_only,acceptable_measurement_only
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,oos,2025.10,21,21.36,0.02988,1.307559,13,8,pf_below_34d,pf_below_34d
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,oos,2025.11,33,205.21,0.287063,3.153983,21,12,acceptable_measurement_only,acceptable_measurement_only
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,oos,2025.12,20,-32.36,-0.045268,0.752902,10,10,negative_month,negative_month;pf_below_34d
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,oos,2026.01,31,120.57,0.168662,1.981281,18,13,acceptable_measurement_only,acceptable_measurement_only
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,oos,2026.02,38,105.77,0.147959,1.523225,20,18,pf_below_34d,pf_below_34d
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,oos,2026.03,40,301.89,0.422306,2.120477,21,19,acceptable_measurement_only,month_concentration_watch
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,oos,2026.04,12,-7.58,-0.010603,0.898677,7,5,negative_month,negative_month;pf_below_34d
