run_id,source_run_id,adapter_id,split,net_profit,profit_factor,max_drawdown_percent,legacy_34d_dd_percent,dd_margin_vs_34d,late_net_share,top1_winner,top1_winner_share_of_net,top3_winner_share_of_net,top5_winner_share_of_net,last_quarter_net,last_quarter_net_share,worst_loss,recovered,recovery_trades,max_underwater_trades,final_balance_is_new_high,audit_flag
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,validation_is,1200.27,1.701473,12.6726,12.909136,0.236536,0.4439,91.27,0.076,0.2173,0.3437,447.83,0.3731,-55.44,True,31,44,False,thin_validation_dd_margin;final_balance_not_new_high
run212A_stage212_stage210_candidate_segment_equity_audit_v1,run210A_stage210_oos_net_recovery_preserve_stage208_validation_gate_v1,s210_ls_r0315,oos,714.86,1.740834,9.2909,12.909136,3.618236,0.4223,74.16,0.1037,0.2643,0.4088,295.15,0.4129,-31.28,True,4,32,False,top5_concentration_watch;late_quarter_concentration_watch;final_balance_not_new_high
