run_id,source_bad_month,month_of_year_guard,quarter_guard,session_guard,exact_date_filter_status,net_profit,profit_factor,trade_count,short_trade_count,claim_boundary
run364CL_materialize_h17_bad_month_source_balance_repair_inputs_without_db_v1,2025-08,month_of_year=08,quarter=Q3,open_hour=17 pressure class(17시 진입 압박 클래스),forbidden(금지),-1.43,0.98857093,47,4,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CL_materialize_h17_bad_month_source_balance_repair_inputs_without_db_v1,2025-12,month_of_year=12,quarter=Q4,open_hour=17 pressure class(17시 진입 압박 클래스),forbidden(금지),-0.62,0.9961409187,59,6,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
