run_id,grid_id,short_probability_threshold,long_block_min,max_hold_m5,restore_policy,restore_policy_value,use_case(사용처),claim_boundary(주장 경계)
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_45__restore_march_non_hour16_margin__0_08,0.45,40.0,8,restore_march_non_hour16_margin,0.08,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_45__restore_march_non_hour16_margin__0_10,0.45,40.0,8,restore_march_non_hour16_margin,0.10,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_45__restore_march_short_p__0_475,0.45,40.0,8,restore_march_short_p,0.475,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_455__restore_march_non_hour16_margin__0_08,0.455,40.0,8,restore_march_non_hour16_margin,0.08,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_455__restore_march_non_hour16_margin__0_10,0.455,40.0,8,restore_march_non_hour16_margin,0.10,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_455__restore_march_short_p__0_475,0.455,40.0,8,restore_march_short_p,0.475,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_46__restore_march_non_hour16_margin__0_08,0.46,40.0,8,restore_march_non_hour16_margin,0.08,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_46__restore_march_non_hour16_margin__0_10,0.46,40.0,8,restore_march_non_hour16_margin,0.10,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_46__restore_march_short_p__0_475,0.46,40.0,8,restore_march_short_p,0.475,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_465__restore_march_non_hour16_margin__0_08,0.465,40.0,8,restore_march_non_hour16_margin,0.08,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_465__restore_march_non_hour16_margin__0_10,0.465,40.0,8,restore_march_non_hour16_margin,0.10,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_465__restore_march_short_p__0_475,0.465,40.0,8,restore_march_short_p,0.475,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_475__restore_march_non_hour16_margin__0_08,0.475,40.0,8,restore_march_non_hour16_margin,0.08,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_475__restore_march_non_hour16_margin__0_10,0.475,40.0,8,restore_march_non_hour16_margin,0.10,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_475__restore_march_short_p__0_475,0.475,40.0,8,restore_march_short_p,0.475,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_49__restore_march_non_hour16_margin__0_08,0.49,40.0,8,restore_march_non_hour16_margin,0.08,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_49__restore_march_non_hour16_margin__0_10,0.49,40.0,8,restore_march_non_hour16_margin,0.10,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_49__restore_march_short_p__0_475,0.49,40.0,8,restore_march_short_p,0.475,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_5__restore_march_non_hour16_margin__0_08,0.5,40.0,8,restore_march_non_hour16_margin,0.08,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_5__restore_march_non_hour16_margin__0_10,0.5,40.0,8,restore_march_non_hour16_margin,0.10,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,ps0_5__restore_march_short_p__0_475,0.5,40.0,8,restore_march_short_p,0.475,run364AG scout candidate pool(364AG 정찰 후보군),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
