feature_set_id,feature,missing_or_nonfinite_rows
core56_no_top3_weight_features,overnight_return,583
core56_no_top3_weight_features,vix_change_1,875
core56_no_top3_weight_features,vix_zscore_20,875
core56_no_top3_weight_features,us10yr_change_1,1665
core56_no_top3_weight_features,us10yr_zscore_20,1665
core56_no_top3_weight_features,usdx_change_1,726
core56_no_top3_weight_features,usdx_zscore_20,726
core56_no_top3_weight_features,nvda_xnas_log_return_1,5970
core56_no_top3_weight_features,aapl_xnas_log_return_1,5970
core56_no_top3_weight_features,msft_xnas_log_return_1,5970
core56_no_top3_weight_features,amzn_xnas_log_return_1,5970
core56_no_top3_weight_features,mega8_equal_return_1,5970
core56_no_top3_weight_features,mega8_dispersion_5,5970
core56_no_top3_weight_features,us100_minus_mega8_equal_return_1,5970
macro48_no_equity_breadth_or_top3,overnight_return,583
macro48_no_equity_breadth_or_top3,vix_change_1,875
macro48_no_equity_breadth_or_top3,vix_zscore_20,875
macro48_no_equity_breadth_or_top3,us10yr_change_1,1665
macro48_no_equity_breadth_or_top3,us10yr_zscore_20,1665
macro48_no_equity_breadth_or_top3,usdx_change_1,726
macro48_no_equity_breadth_or_top3,usdx_zscore_20,726
us100_technical42_no_external,overnight_return,583
