feature_set_id,timestamp,alignment_ready,finite_ready
core56_no_top3_weight_features,2026-04-14T01:05:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T01:10:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T01:15:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T01:20:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T01:25:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T01:30:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T01:35:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T01:40:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T01:45:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T01:50:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T01:55:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T02:00:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T02:05:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T02:10:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T02:15:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T02:20:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T02:25:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T02:30:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T02:35:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T02:40:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T02:45:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T02:50:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T02:55:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T03:00:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T03:05:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T03:10:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T03:15:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T03:20:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T03:25:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T03:30:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T03:35:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T03:40:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T03:45:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T03:50:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T03:55:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T04:00:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T04:05:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T04:10:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T04:15:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T04:20:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T04:25:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T04:30:00+00:00,False,False
core56_no_top3_weight_features,2026-04-14T04:35:00+00:00,False,False
