source_label,path,exists,required,availability,sha256,size_bytes,producer,consumer,claim_boundary
run355B final decision(355B 최종 결정),stages/355_density_recovery_model_family__new_label_source_probe/02_runs/run355B/final_decision.json,true,true,tracked_or_ignored_with_hash,d2c36ab1dcb8a872587c1edf21605765380e3cc66d4a4ac572333040d4e39740,2049,run355B_materialize_density_recovery_label_inputs_without_db_v1,run356A_branch_stage355_to_density_recovery_proxy_training_without_db_v1,state_sync_stage_branch_user_requested_proxy_training_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run355B training queue(355B 학습 대기열),stages/355_density_recovery_model_family__new_label_source_probe/02_runs/run355B/run355C_training_queue.csv,true,true,ignored_with_manifest,a7a31882464aca8a4e75fa1ae593f9ce828eaaefb25c20974adce40bc02a0d66,3526,run355B_materialize_density_recovery_label_inputs_without_db_v1,run356A_branch_stage355_to_density_recovery_proxy_training_without_db_v1,state_sync_stage_branch_user_requested_proxy_training_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run355B feature label table(355B 피처 라벨 표),stages/355_density_recovery_model_family__new_label_source_probe/02_runs/run355B/feature_label_table.csv,true,true,ignored_with_manifest,907969799b706c86c950ca3544801e1b7b1ffca88bea742818f3799e2ffc2170,145746915,run355B_materialize_density_recovery_label_inputs_without_db_v1,run356A_branch_stage355_to_density_recovery_proxy_training_without_db_v1,state_sync_stage_branch_user_requested_proxy_training_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run355B label variant manifest(355B 라벨 변형 목록),stages/355_density_recovery_model_family__new_label_source_probe/02_runs/run355B/label_variant_manifest.csv,true,true,ignored_with_manifest,e43a91a8a3abe45718d43bec890748d6a004946d57fffa9405697e2b62ca261e,2230,run355B_materialize_density_recovery_label_inputs_without_db_v1,run356A_branch_stage355_to_density_recovery_proxy_training_without_db_v1,state_sync_stage_branch_user_requested_proxy_training_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run355B label distribution(355B 라벨 분포),stages/355_density_recovery_model_family__new_label_source_probe/02_runs/run355B/label_distribution.csv,true,true,ignored_with_manifest,913348be1e961713988b86ea384148d617dff54872fae6b7d7f9b55bcb27aad2,4924,run355B_materialize_density_recovery_label_inputs_without_db_v1,run356A_branch_stage355_to_density_recovery_proxy_training_without_db_v1,state_sync_stage_branch_user_requested_proxy_training_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run355B materialization summary(355B 물질화 요약),stages/355_density_recovery_model_family__new_label_source_probe/02_runs/run355B/materialization_summary.csv,true,true,ignored_with_manifest,48992a843fe553bb3b19b10d2c7b60fef56887373737c2ab978f25e9f8eb6ac0,500,run355B_materialize_density_recovery_label_inputs_without_db_v1,run356A_branch_stage355_to_density_recovery_proxy_training_without_db_v1,state_sync_stage_branch_user_requested_proxy_training_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run355B gate audit(355B 게이트 감사),stages/355_density_recovery_model_family__new_label_source_probe/02_runs/run355B/required_gate_coverage_audit.csv,true,true,ignored_with_manifest,c194cbc794f5e3a1f9324a5ae77d5cff5c4f0859ebb34a514e2f8153a8ba6c8a,5030,run355B_materialize_density_recovery_label_inputs_without_db_v1,run356A_branch_stage355_to_density_recovery_proxy_training_without_db_v1,state_sync_stage_branch_user_requested_proxy_training_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run355B review report(355B 검토 보고서),stages/355_density_recovery_model_family__new_label_source_probe/03_reviews/run355B_density_recovery_label_materialization.md,true,true,tracked,51c5776c84d12731d6791f4c84bb2cc4c35d33ec69f3d1cec7b43746c1ff2b69,1941,run355B_materialize_density_recovery_label_inputs_without_db_v1,run356A_branch_stage355_to_density_recovery_proxy_training_without_db_v1,state_sync_stage_branch_user_requested_proxy_training_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
Stage355 ledger(355단계 장부),stages/355_density_recovery_model_family__new_label_source_probe/03_reviews/stage_run_ledger.csv,true,true,tracked,365d24d47071bb3405f1ecc364f153ad82f451a68087753d803ee2405e03aacd,14120,run355B_materialize_density_recovery_label_inputs_without_db_v1,run356A_branch_stage355_to_density_recovery_proxy_training_without_db_v1,state_sync_stage_branch_user_requested_proxy_training_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
Stage355 selection status(355단계 선택 상태),stages/355_density_recovery_model_family__new_label_source_probe/04_selected/selection_status.md,true,true,tracked,0d3c236bdd068b38ec3f63356b316bd2dbd0c7ddccbf169d2492c191afdae579,702,run355B_materialize_density_recovery_label_inputs_without_db_v1,run356A_branch_stage355_to_density_recovery_proxy_training_without_db_v1,state_sync_stage_branch_user_requested_proxy_training_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
Stage355 stage brief(355단계 개요),stages/355_density_recovery_model_family__new_label_source_probe/00_spec/stage_brief.md,true,true,tracked,68c9fddf1cd51534e9dc7d33588852e705f38feb74fa12589f9145f3e03e557a,1699,run355B_materialize_density_recovery_label_inputs_without_db_v1,run356A_branch_stage355_to_density_recovery_proxy_training_without_db_v1,state_sync_stage_branch_user_requested_proxy_training_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run355B producer script(355B 생산 스크립트),stage_pipelines/stage355/materialize_density_recovery_label_inputs_without_db.py,true,true,tracked,3d7edbb7b5f8f024a153bc55a94388ca7cf0136f730a10e751d7324d83982980,55258,run355B_materialize_density_recovery_label_inputs_without_db_v1,run356A_branch_stage355_to_density_recovery_proxy_training_without_db_v1,state_sync_stage_branch_user_requested_proxy_training_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
