row_index,timestamp_utc,split,selection_split_role,best_model_id,best_score,best_score_decile,score__sequence_context__good_shape_logreg_l2_balanced,score__sequence_plus_scalar_context__good_shape_logreg_l2_balanced,score__sequence_context__shape_score_extra_trees_depth5,score__sequence_plus_scalar_context__shape_score_extra_trees_depth5
29223,2025-01-02 16:40:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.44431913044469096,5,0.44431913044469096,0.426846664526124,0.002777679863616482,-0.02328337185781273
29225,2025-01-02 16:50:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.3911505492026133,5,0.3911505492026133,0.3648249059310122,0.06374914565471865,0.03780216296380392
29226,2025-01-02 16:55:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.31882611611008693,4,0.31882611611008693,0.27545038527131677,-0.1283374737891625,-0.13742131397605414
29227,2025-01-02 17:00:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.39253801232132013,5,0.39253801232132013,0.37583947860570344,-0.05475098777202991,-0.08443640287313205
29228,2025-01-02 17:05:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.41798776052555775,5,0.41798776052555775,0.4347978892936379,-0.2526184770205414,-0.26262768856926877
29229,2025-01-02 17:10:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.5076833261035189,7,0.5076833261035189,0.5036635861812333,0.01597411996311688,-0.016909843657011103
29230,2025-01-02 17:15:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.47968854183532794,6,0.47968854183532794,0.4749619321618296,-0.06758499383239412,-0.06331367186251993
29231,2025-01-02 17:20:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.5529437956239137,7,0.5529437956239137,0.5492192298581373,0.023573145438513857,0.03285583314721679
29232,2025-01-02 17:25:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.5057903398324551,7,0.5057903398324551,0.5213706100449863,0.16045763236866178,0.19405615051534927
29233,2025-01-02 17:30:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.5311660186483234,7,0.5311660186483234,0.5196990691102626,-0.2578357333754204,-0.28799691917749615
29234,2025-01-02 17:35:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.4967037550342052,6,0.4967037550342052,0.46758639621033465,0.06933294552471918,0.02979672741778222
29235,2025-01-02 17:40:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.42368975824958616,5,0.42368975824958616,0.39084222701001436,0.1185130784661674,0.05377543374322983
29236,2025-01-02 17:45:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.5037677040386583,6,0.5037677040386583,0.4645548370177107,0.07646170180067277,0.05365300962866066
29237,2025-01-02 17:55:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.4381003841326528,5,0.4381003841326528,0.3968485251728345,-0.26881547660898825,-0.276457266658582
29238,2025-01-02 18:00:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.7037966347949061,9,0.7037966347949061,0.6883501199756998,0.023934962831754128,0.05601834176977463
29239,2025-01-02 18:05:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.5999276668582623,8,0.5999276668582623,0.6116244436609726,0.17460577917666398,0.15045975143067444
29240,2025-01-02 18:10:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.5233237017971392,7,0.5233237017971392,0.4939027248414055,-0.2642965196219083,-0.24935083108249165
29241,2025-01-02 18:15:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.5831036977158013,8,0.5831036977158013,0.5508638307718106,-0.2338078335544147,-0.26198233172706337
29242,2025-01-02 18:20:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.5998792549901023,8,0.5998792549901023,0.5678023994068228,-0.16641467739927218,-0.19568109352118898
29243,2025-01-02 18:25:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.602609607224824,8,0.602609607224824,0.5769981683443622,-0.23099481016934773,-0.2259856337678807
29244,2025-01-02 18:30:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.5100956620634425,7,0.5100956620634425,0.45372603659987715,-0.030740427810903807,-0.03676346248016352
29245,2025-01-02 18:35:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.7143599077418898,9,0.7143599077418898,0.6785194934103971,0.07534839376958485,0.04699492615091917
29246,2025-01-02 18:40:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.5899631505392621,8,0.5899631505392621,0.5395438516867593,-0.030801111212687176,-0.001450125482231862
29247,2025-01-02 18:45:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.5863289866955266,8,0.5863289866955266,0.5447188432641221,0.029366254606940916,0.09989539935975641
29248,2025-01-02 18:50:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.6623259008630259,9,0.6623259008630259,0.5984694212192341,0.12442312595223469,0.027633524091811808
29256,2025-01-02 19:30:00+00:00,validation,inner_fit,sequence_context__good_shape_logreg_l2_balanced,0.7489674257033145,10,0.7489674257033145,0.7401150361691632,0.0045561270569299496,0.0679561786182859
