candidate_id,selection_role,top_pct,rows,trades_per_day_proxy,good_shape_rate,bad_risk_rate,mean_shape_score_r,shape_score_lift_vs_role,mean_mae_r,mean_mfe_r,tp_first_rate,selection_uses_oos,runtime_claim
sequence_context__good_shape_logreg_l2_balanced__top_10pct,inner_validation,0.1,70,0.4268292682926829,0.24285714285714285,0.7714285714285715,-0.1624897959183653,-0.07852540787088344,2.1732040816326283,1.5671020408163434,0.24285714285714285,False,not_claimed
sequence_context__good_shape_logreg_l2_balanced__top_10pct,locked_oos_readout,0.1,181,0.9378238341968912,0.17679558011049723,0.8397790055248618,-0.03867403314917127,-0.07503319869212367,3.8298184688239885,3.169834254143664,0.32044198895027626,False,not_claimed
sequence_context__good_shape_logreg_l2_balanced__top_20pct,inner_validation,0.2,140,0.8536585365853658,0.2571428571428571,0.75,-0.0887653061224469,-0.004800918074965049,2.1404285714285702,1.8166836734693865,0.2785714285714286,False,not_claimed
sequence_context__good_shape_logreg_l2_balanced__top_20pct,locked_oos_readout,0.2,361,1.8704663212435233,0.14958448753462603,0.8614958448753463,-0.06925207756232687,-0.10561124310527928,4.077289275821126,3.933292441630398,0.31024930747922436,False,not_claimed
sequence_context__good_shape_logreg_l2_balanced__top_30pct,inner_validation,0.3,210,1.2804878048780488,0.26666666666666666,0.7428571428571429,-0.03536734693877413,0.048597041108707724,2.2410272108843494,1.9997619047619082,0.3047619047619048,False,not_claimed
sequence_context__good_shape_logreg_l2_balanced__top_30pct,locked_oos_readout,0.3,541,2.8031088082901556,0.18299445471349354,0.8280961182994455,0.051425930815949296,0.015066765272996892,3.951653023501447,3.874137839978877,0.34935304990757854,False,not_claimed
sequence_context__good_shape_logreg_l2_balanced__top_40pct,inner_validation,0.4,280,1.7073170731707317,0.28214285714285714,0.7285714285714285,0.00663775510204185,0.09060214314952371,2.3118826530612173,2.2275816326530635,0.32142857142857145,False,not_claimed
sequence_context__good_shape_logreg_l2_balanced__top_40pct,locked_oos_readout,0.4,721,3.7357512953367875,0.20388349514563106,0.8058252427184466,0.060877749157915585,0.02451858361496318,3.7591896175946116,3.770517138894393,0.3522884882108183,False,not_claimed
sequence_context__good_shape_logreg_l2_balanced__top_50pct,inner_validation,0.5,349,2.1280487804878048,0.2722063037249284,0.7363896848137536,-0.05331559557920441,0.030648792468277446,2.431715104379858,2.3659230454359426,0.3008595988538682,False,not_claimed
sequence_context__good_shape_logreg_l2_balanced__top_50pct,locked_oos_readout,0.5,901,4.668393782383419,0.20532741398446172,0.806881243063263,0.03440621531631521,-0.001952950226637197,3.6888948787062,3.6018265419375313,0.34295227524972255,False,not_claimed
