attempt_name,candidate_id,candidate_alias,candidate_role,profile_label,attempt_role,queue_id,tier,split,execution_status,runtime_status,runtime_wait_status,runtime_deinit_reason,report_status,report_trade_count,report_net_profit,report_profit_factor,report_equity_dd_percent,attempt_read,claim_boundary
run267ec_01_s258_stc_2025h1_period_survival_gate_2025h1,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2025h1_period_survival_gate,period_survival_gate_2025h1,q01_s258_2025h1_period_survival_gate,Tier A,adjacent_2025_h1_validation_post_2024,completed,completed,completed,remove,completed,357,301.88,1.18,14.65,usable_runtime_trade_evidence(사용 가능한 런타임 거래 근거),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_02_s258_stc_2025h2_period_survival_gate_2025h2,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2025h2_period_survival_gate,period_survival_gate_2025h2,q02_s258_2025h2_period_survival_gate,Tier A,adjacent_2025_h2_oos_followthrough,completed,completed,completed,remove,completed,257,164.54,1.13,20.51,usable_runtime_trade_evidence(사용 가능한 런타임 거래 근거),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_03_s258_stc_2023h2_explosive_impulse_supply_2023h2,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2023h2_explosive_impulse_supply,explosive_impulse_supply_2023h2,q03_s258_explosive_impulse_supply_probe,Tier A,adjacent_2023_h2_train_pre_2024,blocked,blocked,timeout,init_failed,completed,0,0.0,0.0,0.0,init_failure_blocks_candidate_evidence(초기화 실패로 후보 근거 차단),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_04_s258_stc_2025h1_explosive_impulse_supply_2025h1,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2025h1_explosive_impulse_supply,explosive_impulse_supply_2025h1,q03_s258_explosive_impulse_supply_probe,Tier A,adjacent_2025_h1_validation_post_2024,blocked,blocked,timeout,init_failed,completed,0,0.0,0.0,0.0,init_failure_blocks_candidate_evidence(초기화 실패로 후보 근거 차단),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_05_s258_stc_2025h2_explosive_impulse_supply_2025h2,s258_short_tight_control,s258_stc,stress_challenger,s258_stc_2025h2_explosive_impulse_supply,explosive_impulse_supply_2025h2,q03_s258_explosive_impulse_supply_probe,Tier A,adjacent_2025_h2_oos_followthrough,blocked,blocked,timeout,init_failed,completed,0,0.0,0.0,0.0,init_failure_blocks_candidate_evidence(초기화 실패로 후보 근거 차단),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_06_s264_aih_validation_anchor_integrity_validation_is,s264_allow_inner_high_quarter,s264_aih,challenger_core,s264_aih_validation_anchor_integrity,validation_anchor_integrity,q04_s264_aih_validation_anchor_integrity_check,Tier A,validation_is,completed,completed,completed,remove,completed,467,518.62,1.22,11.71,usable_runtime_trade_evidence(사용 가능한 런타임 거래 근거),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_07_s264_aih_202604_counter_shock_rebuild_202604,s264_allow_inner_high_quarter,s264_aih,challenger_core,s264_aih_202604_counter_shock_rebuild,final_month_counter_shock_rebuild,q05_s264_aih_202604_counter_shock_rebuild,Tier A,oos_final_month_2026_04,completed,completed,completed,remove,completed,17,-30.46,0.43,8.58,usable_runtime_trade_evidence(사용 가능한 런타임 거래 근거),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_08_s264_lc_202604_counter_shock_control_202604,s264_lowrank_control,s264_lc,defensive_control,s264_lc_202604_counter_shock_control,paired_final_month_control,q05_s264_aih_202604_counter_shock_rebuild,Tier A,oos_final_month_2026_04,completed,completed,completed,remove,completed,17,-39.29,0.4,10.36,usable_runtime_trade_evidence(사용 가능한 런타임 거래 근거),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_09_s264_aih_validation_explosive_counter_impulse_validation_is,s264_allow_inner_high_quarter,s264_aih,challenger_core,s264_aih_validation_explosive_counter_impulse,validation_explosive_counter_impulse,q06_s264_aih_explosive_counter_impulse_probe,Tier A,validation_is,blocked,blocked,timeout,init_failed,completed,0,0.0,0.0,0.0,init_failure_blocks_candidate_evidence(초기화 실패로 후보 근거 차단),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_10_s264_aih_202604_explosive_counter_impulse_202604,s264_allow_inner_high_quarter,s264_aih,challenger_core,s264_aih_202604_explosive_counter_impulse,final_month_explosive_counter_impulse,q06_s264_aih_explosive_counter_impulse_probe,Tier A,oos_final_month_2026_04,blocked,blocked,timeout,init_failed,completed,0,0.0,0.0,0.0,init_failure_blocks_candidate_evidence(초기화 실패로 후보 근거 차단),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_11_s262_lih_validation_coverage_rejoin_validation_is,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,s262_lih_validation_coverage_rejoin,coverage_rejoin_validation,q07_s262_s264_aia_pool_coverage_rejoin,Tier A,validation_is,completed,completed,completed,remove,completed,458,574.21,1.21,13.39,usable_runtime_trade_evidence(사용 가능한 런타임 거래 근거),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_12_s262_lih_202604_coverage_rejoin_202604,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,s262_lih_202604_coverage_rejoin,coverage_rejoin_final_month,q07_s262_s264_aia_pool_coverage_rejoin,Tier A,oos_final_month_2026_04,completed,completed,completed,remove,completed,17,-39.29,0.4,10.36,usable_runtime_trade_evidence(사용 가능한 런타임 거래 근거),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_13_s264_aia_validation_coverage_rejoin_validation_is,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,s264_aia_validation_coverage_rejoin,coverage_rejoin_validation,q07_s262_s264_aia_pool_coverage_rejoin,Tier A,validation_is,completed,completed,completed,remove,completed,458,574.21,1.21,13.39,usable_runtime_trade_evidence(사용 가능한 런타임 거래 근거),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_14_s264_aia_202604_coverage_rejoin_202604,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,s264_aia_202604_coverage_rejoin,coverage_rejoin_final_month,q07_s262_s264_aia_pool_coverage_rejoin,Tier A,oos_final_month_2026_04,completed,completed,completed,remove,completed,17,-39.29,0.4,10.36,usable_runtime_trade_evidence(사용 가능한 런타임 거래 근거),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
