record_view,tier_scope,candidate_id,candidate_alias,candidate_role,source_test_id,followup_profile,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s264_aia_rep_trend_strength_adx_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,month,2024-01,15,67.07,87.65,-20.58,4.258989,4.471333,0.666667,8.765,-4.116,2.129495,19.62,3.665371,4,0.4,3,3.418451,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,month,2024-02,15,189.63,214.54,-24.91,8.612605,12.642,0.8,17.878333,-8.303333,2.153151,20.24,2.851226,2,0.2,2,9.369071,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,month,2024-03,14,71.31,99.39,-28.08,3.53953,5.093571,0.571429,12.42375,-4.68,2.654647,11.85,2.104534,2,0.428571,2,6.017722,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,month,2024-04,30,106.52,285.17,-178.65,1.59625,3.550667,0.533333,17.823125,-12.760714,1.396718,49.24,8.246939,13,0.733333,4,2.163282,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,month,2024-05,11,87.27,129.09,-41.82,3.086801,7.933636,0.818182,14.343333,-20.91,0.685956,30.75,5.605381,4,0.545455,1,2.838049,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,month,2024-06,10,-32.08,98.95,-131.03,0.755171,-3.208,0.3,32.983333,-18.718571,1.762065,61.55,11.624832,5,0.8,3,-0.521202,minor_negative_slice
mt5_ta_s264_aia_rep_trend_strength_adx_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,month,2024-07,39,-28.01,205.02,-233.03,0.879801,-0.718205,0.564103,9.319091,-13.707647,0.679846,95.73,19.146,39,1.0,5,-0.292594,minor_negative_slice
mt5_ta_s264_aia_rep_trend_strength_adx_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,month,2024-08,46,125.14,379.39,-254.25,1.492193,2.720435,0.565217,14.591923,-12.7125,1.147841,44.15,7.968292,10,0.717391,3,2.834428,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,month,2024-09,38,155.61,349.51,-193.9,1.802527,4.095,0.631579,14.562917,-13.85,1.051474,75.82,13.205838,17,0.684211,5,2.052361,measured_slice
mt5_ta_s264_aia_rep_trend_strength_adx_followup_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,aia_dual_replacement_pressure_v2,noncalendar_state_guard_followup_pressure_not_retrained,tier_only_total,month,2024-10,29,269.21,422.21,-153.0,2.759542,9.283103,0.551724,26.388125,-11.769231,2.242128,59.6,8.327279,9,0.655172,5,4.516946,measured_slice
