candidate_id,candidate_alias,candidate_role,tier_a_test_count,constructive_curve_count,deep_hole_flag_count,net_profit_mean,net_profit_min,net_profit_max,equity_drawdown_percent_worst,worst_month_net_min,summary_read
s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,2,2,0,1107.225,1080.68,1133.77,14.73,-157.55,constructive_watch_not_selection
s264_allow_inner_high_quarter,s264_aih,challenger_core,1,0,1,826.62,826.62,826.62,18.28,-194.95,fragile_or_prune_pressure
