variant_id,candidate_alias,rows,first_bar_time_server,last_bar_time_server,duplicate_bar_time_rows,runtime_missing_feature_cells,status,claim_boundary
run267dl_01_s264_aia_similar_dual_session_month_survivor,s264_aia,11651,2024.01.02 16:40:00,2024.12.31 22:00:00,0,0,pass,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_02_s264_aia_ablation_dual_session_month_survivor,s264_aia,11651,2024.01.02 16:40:00,2024.12.31 22:00:00,0,0,pass,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_03_s258_stc_2023h2_supply_threshold_release,s258_stc,6090,2023.07.05 16:40:00,2023.12.29 22:00:00,0,0,pass,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_04_s258_stc_2023h2_supply_sidefilter_open,s258_stc,6090,2023.07.05 16:40:00,2023.12.29 22:00:00,0,0,pass,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_05_s258_stc_2025h1_supply_threshold_release,s258_stc,6867,2025.01.02 16:35:00,2025.06.30 22:00:00,0,0,pass,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_06_s258_stc_2025h1_supply_sidefilter_open,s258_stc,6867,2025.01.02 16:35:00,2025.06.30 22:00:00,0,0,pass,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_07_s258_stc_2025h2_supply_threshold_release,s258_stc,6486,2025.07.01 16:35:00,2025.12.31 22:00:00,0,0,pass,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_08_s258_stc_2025h2_supply_sidefilter_open,s258_stc,6486,2025.07.01 16:35:00,2025.12.31 22:00:00,0,0,pass,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_09_s262_lih_validation_guardrail_crosscheck,s262_lih,11651,2024.01.02 16:40:00,2024.12.31 22:00:00,0,0,pass,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_10_s264_lc_one_stage_dd_demote_audit,s264_lc,11651,2024.01.02 16:40:00,2024.12.31 22:00:00,0,0,pass,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
