variant_id,queue_id,candidate_alias,source_run_id,source_variant_id,source_feature_file,source_feature_sha256,runtime_feature_file,runtime_feature_sha256,common_feature_path,common_feature_sha256,feature_count,feature_order_hash,rows,first_bar_time_server,last_bar_time_server,duplicate_bar_time_rows,runtime_missing_feature_cells,feature_frame_status,claim_boundary
run267dl_01_s264_aia_similar_dual_session_month_survivor,dk_q01_s264_aia_dual_survivor_ablation_replacement,s264_aia,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_01_s264_aia_similar_survivor_gate,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s264_aia/run267dh_01_s264_aia_similar_survivor_gate/run267dh_01_s264_aia_similar_survivor_gate_features.csv,6d49f2b4efeaf3ee9d4affa4e5d1536d56e00e7c8d30dc52f45bcb09dd25ed87,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s264_aia/run267dl_01_s264_aia_similar_dual_session_month_survivor/run267dl_01_s264_aia_similar_dual_session_month_survivor_features.csv,178a8f5ffd6d92dd9bb71a99e4beb85ee583dccedf87da5695ce6e31da6de045,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_aia/run267dl_01_s264_aia_similar_dual_session_month_survivor/features/run267dl_01_s264_aia_similar_dual_session_month_survivor_features.csv,178a8f5ffd6d92dd9bb71a99e4beb85ee583dccedf87da5695ce6e31da6de045,39,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,11651,2024.01.02 16:40:00,2024.12.31 22:00:00,0,0,copied_and_hash_checked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_02_s264_aia_ablation_dual_session_month_survivor,dk_q01_s264_aia_dual_survivor_ablation_replacement,s264_aia,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_02_s264_aia_ablation_survivor_gate,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s264_aia/run267dh_02_s264_aia_ablation_survivor_gate/run267dh_02_s264_aia_ablation_survivor_gate_features.csv,685f4c105bbfb858170a440a922ea299250797f14f0b70e6f4c2c9f36774d656,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s264_aia/run267dl_02_s264_aia_ablation_dual_session_month_survivor/run267dl_02_s264_aia_ablation_dual_session_month_survivor_features.csv,685f4c105bbfb858170a440a922ea299250797f14f0b70e6f4c2c9f36774d656,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_aia/run267dl_02_s264_aia_ablation_dual_session_month_survivor/features/run267dl_02_s264_aia_ablation_dual_session_month_survivor_features.csv,685f4c105bbfb858170a440a922ea299250797f14f0b70e6f4c2c9f36774d656,39,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,11651,2024.01.02 16:40:00,2024.12.31 22:00:00,0,0,copied_and_hash_checked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_03_s258_stc_2023h2_supply_threshold_release,dk_q02_s258_explosive_supply_expansion_stress,s258_stc,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_04_s258_stc_2023h2_thin_supply_impulse,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dh_04_s258_stc_2023h2_thin_supply_impulse/run267dh_04_s258_stc_2023h2_thin_supply_impulse_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s258_stc/run267dl_03_s258_stc_2023h2_supply_threshold_release/run267dl_03_s258_stc_2023h2_supply_threshold_release_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_03_s258_stc_2023h2_supply_threshold_release/features/run267dl_03_s258_stc_2023h2_supply_threshold_release_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,4,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,6090,2023.07.05 16:40:00,2023.12.29 22:00:00,0,0,copied_and_hash_checked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_04_s258_stc_2023h2_supply_sidefilter_open,dk_q02_s258_explosive_supply_expansion_stress,s258_stc,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_04_s258_stc_2023h2_thin_supply_impulse,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dh_04_s258_stc_2023h2_thin_supply_impulse/run267dh_04_s258_stc_2023h2_thin_supply_impulse_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s258_stc/run267dl_04_s258_stc_2023h2_supply_sidefilter_open/run267dl_04_s258_stc_2023h2_supply_sidefilter_open_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_04_s258_stc_2023h2_supply_sidefilter_open/features/run267dl_04_s258_stc_2023h2_supply_sidefilter_open_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,4,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,6090,2023.07.05 16:40:00,2023.12.29 22:00:00,0,0,copied_and_hash_checked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_05_s258_stc_2025h1_supply_threshold_release,dk_q02_s258_explosive_supply_expansion_stress,s258_stc,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_05_s258_stc_2025h1_thin_supply_impulse,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dh_05_s258_stc_2025h1_thin_supply_impulse/run267dh_05_s258_stc_2025h1_thin_supply_impulse_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s258_stc/run267dl_05_s258_stc_2025h1_supply_threshold_release/run267dl_05_s258_stc_2025h1_supply_threshold_release_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_05_s258_stc_2025h1_supply_threshold_release/features/run267dl_05_s258_stc_2025h1_supply_threshold_release_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,4,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,6867,2025.01.02 16:35:00,2025.06.30 22:00:00,0,0,copied_and_hash_checked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_06_s258_stc_2025h1_supply_sidefilter_open,dk_q02_s258_explosive_supply_expansion_stress,s258_stc,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_05_s258_stc_2025h1_thin_supply_impulse,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dh_05_s258_stc_2025h1_thin_supply_impulse/run267dh_05_s258_stc_2025h1_thin_supply_impulse_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s258_stc/run267dl_06_s258_stc_2025h1_supply_sidefilter_open/run267dl_06_s258_stc_2025h1_supply_sidefilter_open_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_06_s258_stc_2025h1_supply_sidefilter_open/features/run267dl_06_s258_stc_2025h1_supply_sidefilter_open_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,4,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,6867,2025.01.02 16:35:00,2025.06.30 22:00:00,0,0,copied_and_hash_checked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_07_s258_stc_2025h2_supply_threshold_release,dk_q02_s258_explosive_supply_expansion_stress,s258_stc,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_06_s258_stc_2025h2_thin_supply_impulse,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dh_06_s258_stc_2025h2_thin_supply_impulse/run267dh_06_s258_stc_2025h2_thin_supply_impulse_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s258_stc/run267dl_07_s258_stc_2025h2_supply_threshold_release/run267dl_07_s258_stc_2025h2_supply_threshold_release_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_07_s258_stc_2025h2_supply_threshold_release/features/run267dl_07_s258_stc_2025h2_supply_threshold_release_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,4,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,6486,2025.07.01 16:35:00,2025.12.31 22:00:00,0,0,copied_and_hash_checked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_08_s258_stc_2025h2_supply_sidefilter_open,dk_q02_s258_explosive_supply_expansion_stress,s258_stc,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_06_s258_stc_2025h2_thin_supply_impulse,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dh_06_s258_stc_2025h2_thin_supply_impulse/run267dh_06_s258_stc_2025h2_thin_supply_impulse_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s258_stc/run267dl_08_s258_stc_2025h2_supply_sidefilter_open/run267dl_08_s258_stc_2025h2_supply_sidefilter_open_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_08_s258_stc_2025h2_supply_sidefilter_open/features/run267dl_08_s258_stc_2025h2_supply_sidefilter_open_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,4,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,6486,2025.07.01 16:35:00,2025.12.31 22:00:00,0,0,copied_and_hash_checked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_09_s262_lih_validation_guardrail_crosscheck,dk_q03_s262_lih_validation_guardrail_crosscheck,s262_lih,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_03_s262_lih_validation_control_crosscheck,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s262_lih/run267dh_03_s262_lih_validation_control_crosscheck/run267dh_03_s262_lih_validation_control_crosscheck_features.csv,18320b5cd0f6a21c345626f46b202e048cefcc9681f9056ec66656bf15941218,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s262_lih/run267dl_09_s262_lih_validation_guardrail_crosscheck/run267dl_09_s262_lih_validation_guardrail_crosscheck_features.csv,18320b5cd0f6a21c345626f46b202e048cefcc9681f9056ec66656bf15941218,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s262_lih/run267dl_09_s262_lih_validation_guardrail_crosscheck/features/run267dl_09_s262_lih_validation_guardrail_crosscheck_features.csv,18320b5cd0f6a21c345626f46b202e048cefcc9681f9056ec66656bf15941218,37,c4888e6881df4313ec47f6021274acb1e5833074a8f947122ce2ce453f2c014c,11651,2024.01.02 16:40:00,2024.12.31 22:00:00,0,0,copied_and_hash_checked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_10_s264_lc_one_stage_dd_demote_audit,dk_q04_s264_lc_one_stage_dd_demote_audit,s264_lc,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_07_s264_lc_weekday_dd_deescalation,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s264_lc/run267dh_07_s264_lc_weekday_dd_deescalation/run267dh_07_s264_lc_weekday_dd_deescalation_features.csv,75e992f3ce8f2a6ae22d357ecb86a15304b9aebc5bd176490b8329b1fc8d261a,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/features/s264_lc/run267dl_10_s264_lc_one_stage_dd_demote_audit/run267dl_10_s264_lc_one_stage_dd_demote_audit_features.csv,75e992f3ce8f2a6ae22d357ecb86a15304b9aebc5bd176490b8329b1fc8d261a,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_lc/run267dl_10_s264_lc_one_stage_dd_demote_audit/features/run267dl_10_s264_lc_one_stage_dd_demote_audit_features.csv,75e992f3ce8f2a6ae22d357ecb86a15304b9aebc5bd176490b8329b1fc8d261a,37,49d5799544950b0a59ed0df05f2362b142a554e690aa63f7b0ab148332178232,11651,2024.01.02 16:40:00,2024.12.31 22:00:00,0,0,copied_and_hash_checked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
