variant_id,queue_id,candidate_alias,source_run_id,source_variant_id,source_model_file,source_model_sha256,runtime_model_file,runtime_model_sha256,common_model_path,common_model_sha256,model_materialization_type,model_backend,claim_boundary
run267dl_01_s264_aia_similar_dual_session_month_survivor,dk_q01_s264_aia_dual_survivor_ablation_replacement,s264_aia,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_01_s264_aia_similar_survivor_gate,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s264_aia/run267dh_01_s264_aia_similar_survivor_gate/models/run267dh_01_s264_aia_similar_survivor_gate_model.csv,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s264_aia/run267dl_01_s264_aia_similar_dual_session_month_survivor/models/run267dl_01_s264_aia_similar_dual_session_month_survivor_model.csv,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_aia/run267dl_01_s264_aia_similar_dual_session_month_survivor/models/run267dl_01_s264_aia_similar_dual_session_month_survivor_model.csv,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,source_replay_dual_survivor_gate_no_signal_mutation,ebm_table,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_02_s264_aia_ablation_dual_session_month_survivor,dk_q01_s264_aia_dual_survivor_ablation_replacement,s264_aia,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_02_s264_aia_ablation_survivor_gate,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s264_aia/run267dh_02_s264_aia_ablation_survivor_gate/models/run267dh_02_s264_aia_ablation_survivor_gate_model.csv,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s264_aia/run267dl_02_s264_aia_ablation_dual_session_month_survivor/models/run267dl_02_s264_aia_ablation_dual_session_month_survivor_model.csv,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_aia/run267dl_02_s264_aia_ablation_dual_session_month_survivor/models/run267dl_02_s264_aia_ablation_dual_session_month_survivor_model.csv,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,source_replay_dual_ablation_survivor_gate_no_signal_mutation,ebm_table,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_03_s258_stc_2023h2_supply_threshold_release,dk_q02_s258_explosive_supply_expansion_stress,s258_stc,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_04_s258_stc_2023h2_thin_supply_impulse,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s258_stc/run267dh_04_s258_stc_2023h2_thin_supply_impulse/models/run267dh_04_s258_stc_2023h2_thin_supply_impulse_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s258_stc/run267dl_03_s258_stc_2023h2_supply_threshold_release/models/run267dl_03_s258_stc_2023h2_supply_threshold_release_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_03_s258_stc_2023h2_supply_threshold_release/models/run267dl_03_s258_stc_2023h2_supply_threshold_release_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,execution_supply_expansion_threshold_release,ebm_table,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_04_s258_stc_2023h2_supply_sidefilter_open,dk_q02_s258_explosive_supply_expansion_stress,s258_stc,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_04_s258_stc_2023h2_thin_supply_impulse,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s258_stc/run267dh_04_s258_stc_2023h2_thin_supply_impulse/models/run267dh_04_s258_stc_2023h2_thin_supply_impulse_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s258_stc/run267dl_04_s258_stc_2023h2_supply_sidefilter_open/models/run267dl_04_s258_stc_2023h2_supply_sidefilter_open_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_04_s258_stc_2023h2_supply_sidefilter_open/models/run267dl_04_s258_stc_2023h2_supply_sidefilter_open_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,execution_supply_expansion_sidefilter_open,ebm_table,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_05_s258_stc_2025h1_supply_threshold_release,dk_q02_s258_explosive_supply_expansion_stress,s258_stc,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_05_s258_stc_2025h1_thin_supply_impulse,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s258_stc/run267dh_05_s258_stc_2025h1_thin_supply_impulse/models/run267dh_05_s258_stc_2025h1_thin_supply_impulse_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s258_stc/run267dl_05_s258_stc_2025h1_supply_threshold_release/models/run267dl_05_s258_stc_2025h1_supply_threshold_release_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_05_s258_stc_2025h1_supply_threshold_release/models/run267dl_05_s258_stc_2025h1_supply_threshold_release_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,execution_supply_expansion_threshold_release,ebm_table,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_06_s258_stc_2025h1_supply_sidefilter_open,dk_q02_s258_explosive_supply_expansion_stress,s258_stc,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_05_s258_stc_2025h1_thin_supply_impulse,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s258_stc/run267dh_05_s258_stc_2025h1_thin_supply_impulse/models/run267dh_05_s258_stc_2025h1_thin_supply_impulse_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s258_stc/run267dl_06_s258_stc_2025h1_supply_sidefilter_open/models/run267dl_06_s258_stc_2025h1_supply_sidefilter_open_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_06_s258_stc_2025h1_supply_sidefilter_open/models/run267dl_06_s258_stc_2025h1_supply_sidefilter_open_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,execution_supply_expansion_sidefilter_open,ebm_table,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_07_s258_stc_2025h2_supply_threshold_release,dk_q02_s258_explosive_supply_expansion_stress,s258_stc,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_06_s258_stc_2025h2_thin_supply_impulse,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s258_stc/run267dh_06_s258_stc_2025h2_thin_supply_impulse/models/run267dh_06_s258_stc_2025h2_thin_supply_impulse_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s258_stc/run267dl_07_s258_stc_2025h2_supply_threshold_release/models/run267dl_07_s258_stc_2025h2_supply_threshold_release_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_07_s258_stc_2025h2_supply_threshold_release/models/run267dl_07_s258_stc_2025h2_supply_threshold_release_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,execution_supply_expansion_threshold_release,ebm_table,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_08_s258_stc_2025h2_supply_sidefilter_open,dk_q02_s258_explosive_supply_expansion_stress,s258_stc,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_06_s258_stc_2025h2_thin_supply_impulse,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s258_stc/run267dh_06_s258_stc_2025h2_thin_supply_impulse/models/run267dh_06_s258_stc_2025h2_thin_supply_impulse_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s258_stc/run267dl_08_s258_stc_2025h2_supply_sidefilter_open/models/run267dl_08_s258_stc_2025h2_supply_sidefilter_open_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s258_stc/run267dl_08_s258_stc_2025h2_supply_sidefilter_open/models/run267dl_08_s258_stc_2025h2_supply_sidefilter_open_model.csv,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,execution_supply_expansion_sidefilter_open,ebm_table,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_09_s262_lih_validation_guardrail_crosscheck,dk_q03_s262_lih_validation_guardrail_crosscheck,s262_lih,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_03_s262_lih_validation_control_crosscheck,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s262_lih/run267dh_03_s262_lih_validation_control_crosscheck/models/run267dh_03_s262_lih_validation_control_crosscheck_model.csv,04f9c0abc688c30bd962ff8e22f1cbb9f996d0e0411a8a33870e582c82af8da8,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s262_lih/run267dl_09_s262_lih_validation_guardrail_crosscheck/models/run267dl_09_s262_lih_validation_guardrail_crosscheck_model.csv,04f9c0abc688c30bd962ff8e22f1cbb9f996d0e0411a8a33870e582c82af8da8,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s262_lih/run267dl_09_s262_lih_validation_guardrail_crosscheck/models/run267dl_09_s262_lih_validation_guardrail_crosscheck_model.csv,04f9c0abc688c30bd962ff8e22f1cbb9f996d0e0411a8a33870e582c82af8da8,source_replay_validation_guardrail_no_signal_mutation,ebm_table,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_10_s264_lc_one_stage_dd_demote_audit,dk_q04_s264_lc_one_stage_dd_demote_audit,s264_lc,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_07_s264_lc_weekday_dd_deescalation,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s264_lc/run267dh_07_s264_lc_weekday_dd_deescalation/models/run267dh_07_s264_lc_weekday_dd_deescalation_model.csv,72614e6cbb6ca93062386ae93c47311c34c3e22cf85e4c6f1b5ac612add250ba,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DL/shared_weakness_breakout_third_followup_or_prune_materialization/variants/s264_lc/run267dl_10_s264_lc_one_stage_dd_demote_audit/models/run267dl_10_s264_lc_one_stage_dd_demote_audit_model.csv,72614e6cbb6ca93062386ae93c47311c34c3e22cf85e4c6f1b5ac612add250ba,OPV2/s267dl/run267DL_shared_weakness_third_followup_or_prune/s264_lc/run267dl_10_s264_lc_one_stage_dd_demote_audit/models/run267dl_10_s264_lc_one_stage_dd_demote_audit_model.csv,72614e6cbb6ca93062386ae93c47311c34c3e22cf85e4c6f1b5ac612add250ba,source_replay_one_stage_dd_demote_audit_no_signal_mutation,ebm_table,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
