receipt_id,variant_id,attempt_name,candidate_alias,feature_order_hash,model_sha256,set_sha256,ini_sha256,handoff_status,runtime_claim,claim_boundary
run267dl_handoff_run267dl_01_s264_aia_similar_dual_session_month_survivor_ta_2024,run267dl_01_s264_aia_similar_dual_session_month_survivor,run267dl_01_s264_aia_similar_dual_session_month_survivor_ta_2024,s264_aia,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,a241fadfef07b62fe669fdce5b0b09409896cd6ecdd082d49a829b12fded8d7d,e6056ab359c2a034b99f2e857e3b49f9cb40593d553f607dd99cbbd57069c447,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_handoff_run267dl_01_s264_aia_similar_dual_session_month_survivor_rt_2024,run267dl_01_s264_aia_similar_dual_session_month_survivor,run267dl_01_s264_aia_similar_dual_session_month_survivor_rt_2024,s264_aia,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,fc03de1f4fc63ed9a8ccec8a2db2bd824c6638f72988ce060c18cca830b7b6f9,d30508dbf4a4d86b358d526f408e7632551bacf1e581eb15133eca57ad5e453a,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_handoff_run267dl_02_s264_aia_ablation_dual_session_month_survivor_ta_2024,run267dl_02_s264_aia_ablation_dual_session_month_survivor,run267dl_02_s264_aia_ablation_dual_session_month_survivor_ta_2024,s264_aia,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,3b35d317696c54b558238e28e9b9f1009c04286c22e8a705eb2743849b238af9,78f473f0476012809a969e0fcc86ed69ae9e6f40df5680044b8abd0b2cbf524f,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_handoff_run267dl_02_s264_aia_ablation_dual_session_month_survivor_rt_2024,run267dl_02_s264_aia_ablation_dual_session_month_survivor,run267dl_02_s264_aia_ablation_dual_session_month_survivor_rt_2024,s264_aia,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,0e00b391625e957d3cbba97fa6fc9620312194f89b555d915fb5b3839d0a3ba7,23c6596f1319ac995ef80cbcc83f8aa712bec17fc068be8f9fb01e8ef639290c,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_handoff_run267dl_03_s258_stc_2023h2_supply_threshold_release_ta_2023h2,run267dl_03_s258_stc_2023h2_supply_threshold_release,run267dl_03_s258_stc_2023h2_supply_threshold_release_ta_2023h2,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,5213fc0c52e8cde088105a71ebef4bda1f31eafc362a98950b5c288d81c1be47,ad03e1b62a1fb9ce37a8641c4b1bf445da9e675922f4aa5f347ef9707b5231c0,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_handoff_run267dl_04_s258_stc_2023h2_supply_sidefilter_open_ta_2023h2,run267dl_04_s258_stc_2023h2_supply_sidefilter_open,run267dl_04_s258_stc_2023h2_supply_sidefilter_open_ta_2023h2,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,8d3960f45336eb0262c4f72477964a6c174b999f9d4b9e4796aff1342a9a6922,ac73d2f91dac265a9ae9cf7fa0fe259794bbfb86a4c12ccd68578ac08f386400,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_handoff_run267dl_05_s258_stc_2025h1_supply_threshold_release_ta_2025h1,run267dl_05_s258_stc_2025h1_supply_threshold_release,run267dl_05_s258_stc_2025h1_supply_threshold_release_ta_2025h1,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,3ef2e9d0b576b522034444fbee9b0e2150f0513a280c923d3aa3999bca844f44,283512daab8f588de8db486acab03a02877f823e1b6a8eabde6ccd60bed4e6b0,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_handoff_run267dl_06_s258_stc_2025h1_supply_sidefilter_open_ta_2025h1,run267dl_06_s258_stc_2025h1_supply_sidefilter_open,run267dl_06_s258_stc_2025h1_supply_sidefilter_open_ta_2025h1,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,ad162028b5a80af3f8ab1ed47a1c7bb2ddf833be27b47a16881223eadbf723f1,ced86ddbe3c808046ffbe477d8e1c94abf34ae1765a6ac786f3edf5b7829a9ab,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_handoff_run267dl_07_s258_stc_2025h2_supply_threshold_release_ta_2025h2,run267dl_07_s258_stc_2025h2_supply_threshold_release,run267dl_07_s258_stc_2025h2_supply_threshold_release_ta_2025h2,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,b8298fd8a01263c3a6cbbd7177070d71bc585b8335c38bcb75b8b9380df2d825,a9a04eee862ee977f982c689571bd46db688cb9a809c49fa4b23095fc3c1ab50,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_handoff_run267dl_08_s258_stc_2025h2_supply_sidefilter_open_ta_2025h2,run267dl_08_s258_stc_2025h2_supply_sidefilter_open,run267dl_08_s258_stc_2025h2_supply_sidefilter_open_ta_2025h2,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,7d6ba7b54fc8bb2c5ba76b7028e8b290f6d4c8f3fd1bc2cca0c797d77ddb79d4,242bebfdc64a6c14d55c07344161b4798cc8dcfd2cd7a2d272683d49b287afd6,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
