attempt_name,record_view,report_path,expected_trade_count,parsed_trade_count,trade_count_delta,parser_status
run267dh_01_s264_aia_similar_survivor_gate_ta_2024,mt5_ta_s264_aia_aia_similar_replacement_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DI_run267dh_01_s264_aia_similar_survivor_gate_ta_2024.htm,527,527,0,matched
run267dh_01_s264_aia_similar_survivor_gate_rt_2024,mt5_rt_s264_aia_aia_similar_replacement_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DI_run267dh_01_s264_aia_similar_survivor_gate_rt_2024.htm,527,527,0,matched
run267dh_02_s264_aia_ablation_survivor_gate_ta_2024,mt5_ta_s264_aia_aia_ablation_neutral_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DI_run267dh_02_s264_aia_ablation_survivor_gate_ta_2024.htm,507,507,0,matched
run267dh_02_s264_aia_ablation_survivor_gate_rt_2024,mt5_rt_s264_aia_aia_ablation_neutral_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DI_run267dh_02_s264_aia_ablation_survivor_gate_rt_2024.htm,507,507,0,matched
run267dh_03_s262_lih_validation_control_crosscheck_ta_2024,mt5_ta_s262_lih_lih_weekday_dd_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DI_run267dh_03_s262_lih_validation_control_crosscheck_ta_2024.htm,462,462,0,matched
run267dh_03_s262_lih_validation_control_crosscheck_rt_2024,mt5_rt_s262_lih_lih_weekday_dd_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DI_run267dh_03_s262_lih_validation_control_crosscheck_rt_2024.htm,462,462,0,matched
run267dh_04_s258_stc_2023h2_thin_supply_impulse_ta_2023h2,mt5_ta_s258_stc_session_cross_2023h2_adjacent_2023_h2_train_pre_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DI_run267dh_04_s258_stc_2023h2_thin_supply_impulse_ta_2023h2.htm,178,178,0,matched
run267dh_05_s258_stc_2025h1_thin_supply_impulse_ta_2025h1,mt5_ta_s258_stc_session_cross_2025h1_adjacent_2025_h1_validation_post_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DI_run267dh_05_s258_stc_2025h1_thin_supply_impulse_ta_2025h1.htm,226,226,0,matched
run267dh_06_s258_stc_2025h2_thin_supply_impulse_ta_2025h2,mt5_ta_s258_stc_session_cross_2025h2_adjacent_2025_h2_oos_followthrough,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DI_run267dh_06_s258_stc_2025h2_thin_supply_impulse_ta_2025h2.htm,167,167,0,matched
run267dh_07_s264_lc_weekday_dd_deescalation_ta_2024,mt5_ta_s264_lc_lc_weekday_dd_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DI_run267dh_07_s264_lc_weekday_dd_deescalation_ta_2024.htm,473,473,0,matched
run267dh_07_s264_lc_weekday_dd_deescalation_rt_2024,mt5_rt_s264_lc_lc_weekday_dd_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DI/shared_weakness_breakout_second_followup_or_prune_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267DI_run267dh_07_s264_lc_weekday_dd_deescalation_rt_2024.htm,473,473,0,matched
