record_view,tier_scope,candidate_id,candidate_alias,candidate_role,source_test_id,state_profile,state_feature,materialization_boundary,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_read
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,317,1145.81,3099.24,-1953.43,1.586563,3.614543,0.564669,17.31419,-14.15529,1.22316,298.24,15.53738,91,0.77918,7,3.841906,17.23,15.54,3.41,0.75,3,2024-12,-245.88,2024-10,328.92,458.12,166.18,521.51,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aih_return_shock_absorption_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,317,1145.81,3099.24,-1953.43,1.586563,3.614543,0.564669,17.31419,-14.15529,1.22316,298.24,15.53738,91,0.77918,7,3.841906,17.23,15.54,3.41,0.75,3,2024-12,-245.88,2024-10,328.92,458.12,166.18,521.51,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aih_return_shock_absorption_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s264_aih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,309,1297.57,3373.96,-2076.39,1.624916,4.199256,0.569579,19.170227,-15.611955,1.22792,354.42,16.653823,48,0.737864,7,3.661108,18.54,16.65,3.23,0.833333,2,2024-12,-289.49,2024-10,363.8,471.19,268.61,557.77,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aih_volatility_regime_expansion_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s264_aih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,309,1297.57,3373.96,-2076.39,1.624916,4.199256,0.569579,19.170227,-15.611955,1.22792,354.42,16.653823,48,0.737864,7,3.661108,18.54,16.65,3.23,0.833333,2,2024-12,-289.49,2024-10,363.8,471.19,268.61,557.77,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aih_volatility_regime_expansion_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s264_aih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,312,1297.62,3333.24,-2035.62,1.637457,4.159038,0.576923,18.518,-15.421364,1.200802,332.01,15.81241,65,0.753205,7,3.908376,17.55,15.81,3.46,0.833333,2,2024-12,-270.78,2024-11,358.17,500.07,223.99,573.56,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aih_range_expansion_pressure_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s264_aih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,312,1297.62,3333.24,-2035.62,1.637457,4.159038,0.576923,18.518,-15.421364,1.200802,332.01,15.81241,65,0.753205,7,3.908376,17.55,15.81,3.46,0.833333,2,2024-12,-270.78,2024-11,358.17,500.07,223.99,573.56,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aih_range_expansion_pressure_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s264_aih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,280,844.71,2386.13,-1541.42,1.548008,3.016821,0.6,14.203155,-13.762679,1.032005,206.05,15.62127,108,0.771429,6,4.099539,15.09,13.84,3.72,0.75,3,2024-12,-98.72,2024-10,201.12,284.29,164.48,395.94,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aih_trend_strength_disagreement_ta_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_rt_s264_aih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,280,844.71,2386.13,-1541.42,1.548008,3.016821,0.6,14.203155,-13.762679,1.032005,206.05,15.62127,108,0.771429,6,4.099539,15.09,13.84,3.72,0.75,3,2024-12,-98.72,2024-10,201.12,284.29,164.48,395.94,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aih_trend_strength_disagreement_rt_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_ta_s264_lc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,314,1104.84,3057.33,-1952.49,1.565862,3.518599,0.576433,16.891326,-14.680376,1.150606,284.02,15.24784,51,0.773885,7,3.890008,16.89,15.25,3.46,0.833333,2,2024-12,-230.4,2024-11,305.73,436.2,212.63,456.01,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_return_shock_absorption_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s264_lc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A+B,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,314,1104.84,3057.33,-1952.49,1.565862,3.518599,0.576433,16.891326,-14.680376,1.150606,284.02,15.24784,51,0.773885,7,3.890008,16.89,15.25,3.46,0.833333,2,2024-12,-230.4,2024-11,305.73,436.2,212.63,456.01,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_return_shock_absorption_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
