record_view,tier_scope,candidate_id,candidate_alias,candidate_role,source_test_id,state_profile,state_feature,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-01,17,56.98,84.45,-27.47,3.074263,3.351765,0.588235,8.445,-3.924286,2.151984,20.72,3.850371,4,0.470588,3,2.75,measured_slice(측정 구간)
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-02,15,206.38,220.26,-13.88,15.868876,13.758667,0.8,18.355,-4.626667,3.967219,11.64,1.621125,2,0.2,2,17.730241,measured_slice(측정 구간)
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-03,13,64.67,93.82,-29.15,3.218525,4.974615,0.615385,11.7275,-5.83,2.011578,9.2,1.76421,2,0.461538,2,7.029348,measured_slice(측정 구간)
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-04,35,113.26,288.07,-174.81,1.647903,3.236,0.514286,16.003889,-10.282941,1.556353,50.94,8.582259,9,0.742857,4,2.2234,measured_slice(측정 구간)
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-05,13,93.38,142.04,-48.66,2.91903,7.183077,0.769231,14.204,-16.22,0.875709,28.27,5.277897,3,0.461538,1,3.303148,measured_slice(측정 구간)
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-06,12,-46.87,100.66,-147.53,0.682302,-3.905833,0.333333,25.165,-18.44125,1.364604,65.12,12.565364,5,0.833333,3,-0.719748,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-07,39,-11.97,222.9,-234.87,0.949036,-0.306923,0.564103,10.131818,-13.815882,0.733346,86.73,17.346,30,0.974359,5,-0.138015,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-08,50,50.27,336.59,-286.32,1.175573,1.0054,0.52,12.945769,-11.93,1.085144,67.66,12.330065,28,0.8,3,0.74298,measured_slice(측정 구간)
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-09,37,209.55,378.16,-168.61,2.242809,5.663514,0.648649,15.756667,-12.97,1.214855,58.34,9.296026,11,0.621622,4,3.591875,measured_slice(측정 구간)
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-10,27,328.92,455.76,-126.84,3.593188,12.182222,0.592593,28.485,-11.530909,2.470317,55.28,7.584135,8,0.703704,4,5.950072,measured_slice(측정 구간)
