record_view,tier_scope,candidate_id,candidate_alias,candidate_role,source_test_id,state_profile,state_feature,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s258_stc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,44,-394.14,321.21,-715.35,0.449025,-8.957727,0.386364,18.894706,-26.494444,0.713157,398.27,79.001448,43,0.977273,5,-0.98963,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aia_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,46,-330.16,238.68,-568.84,0.419591,-7.177391,0.391304,13.26,-20.315714,0.652697,333.95,66.28754,45,0.978261,5,-0.988651,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s258_stc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,42,-291.27,214.18,-505.45,0.423741,-6.935,0.404762,12.598824,-20.218,0.623149,295.4,58.595997,41,0.97619,4,-0.986019,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,27,-289.49,246.29,-535.78,0.459685,-10.721852,0.37037,24.629,-31.516471,0.781464,313.32,62.664,27,1.0,5,-0.923944,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s262_lih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,46,-283.73,298.61,-582.34,0.512776,-6.168043,0.434783,14.9305,-22.397692,0.666609,287.86,57.100351,45,0.978261,5,-0.985653,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s258_stc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,44,-283.01,210.32,-493.33,0.426327,-6.432045,0.409091,11.684444,-18.974231,0.615806,287.14,56.957531,43,0.977273,4,-0.985617,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_lc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,47,-281.82,251.06,-532.88,0.471138,-5.99617,0.446809,11.955238,-20.495385,0.583314,285.39,56.673352,46,0.978723,5,-0.987491,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_lc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,47,-281.69,253.8,-535.49,0.473958,-5.993404,0.446809,12.085714,-20.595769,0.586806,285.7,56.685383,46,0.978723,5,-0.985964,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_lc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,46,-280.51,271.57,-552.08,0.491903,-6.098043,0.456522,12.931905,-22.0832,0.585599,284.52,56.451261,45,0.978261,5,-0.985906,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aia_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,45,-279.0,265.14,-544.14,0.487264,-6.2,0.444444,13.257,-21.7656,0.60908,282.9,56.142092,44,0.977778,4,-0.986214,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
