candidate_alias,candidate_id,candidate_role,state_profile,source_test_id,record_view,net_profit,base_2024_net_profit,net_delta_vs_base_2024,profit_factor,base_2024_profit_factor,pf_delta_vs_base_2024,trade_count,base_2024_trade_count,trade_delta_vs_base_2024,report_equity_drawdown_percent,base_2024_max_drawdown_percent,dd_delta_vs_base_2024,recovery_factor,base_2024_recovery_factor,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,worst_slice_axis,worst_slice_bucket,worst_slice_net,worst_slice_trade_count,base_curve_grade,base_curve_read,source_chart_path,fragility_flags,curve_read,review_read,selection_boundary
s258_stc,s258_short_tight_control,stress_challenger,volatility_regime_expansion,abl_volatility_bandwidth,mt5_ta_s258_stc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,1450.57,102.89,1347.68,1.589948,1.05,0.539948,303,378,-75.0,18.01,40.43,-22.42,3.49,0.28,0.833333,2,2024-12,-241.73,2024-10,304.15,662.99,258.52,529.06,weekday,Monday,-394.14,44,D_fragile,rough_curve_high_dd_or_low_pf,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_volatility_regime_expansion_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
s258_stc,s258_short_tight_control,stress_challenger,trend_strength_disagreement,rep_trend_strength_adx,mt5_ta_s258_stc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,1385.53,102.89,1282.64,1.53551,1.05,0.48551,321,378,-57.0,18.75,40.43,-21.68,3.34,0.28,0.75,3,2024-12,-239.82,2024-11,351.17,641.31,236.85,507.37,month,2024-12,-239.82,27,D_fragile,rough_curve_high_dd_or_low_pf,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_trend_strength_disagreement_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
s264_aih,s264_allow_inner_high_quarter,challenger_core,range_expansion_pressure,rep_volatility_atr,mt5_ta_s264_aih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,1297.62,95.56,1202.06,1.637457,1.05,0.587457,312,353,-41.0,17.55,36.68,-19.13,3.46,0.31,0.833333,2,2024-12,-270.78,2024-11,358.17,500.07,223.99,573.56,month,2024-12,-270.78,27,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aih_range_expansion_pressure_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
s264_aih,s264_allow_inner_high_quarter,challenger_core,volatility_regime_expansion,rep_volatility_atr,mt5_ta_s264_aih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,1297.57,95.56,1202.01,1.624916,1.05,0.574916,309,353,-44.0,18.54,36.68,-18.14,3.23,0.31,0.833333,2,2024-12,-289.49,2024-10,363.8,471.19,268.61,557.77,month,2024-12,-289.49,27,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aih_volatility_regime_expansion_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,volatility_regime_expansion,rep_volatility_atr,mt5_ta_s262_lih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,1196.86,44.49,1152.37,1.594598,1.02,0.574598,298,352,-54.0,17.89,40.13,-22.24,3.34,0.13,0.75,3,2024-12,-227.68,2024-11,365.37,471.17,231.59,494.1,weekday,Monday,-283.73,46,D_fragile,rough_curve_high_dd_or_low_pf,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_volatility_regime_expansion_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,volatility_regime_expansion,rep_volatility_atr,mt5_ta_s264_aia_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,1167.06,87.07,1079.99,1.587203,1.05,0.537203,305,354,-49.0,17.48,36.9,-19.42,3.39,0.28,0.75,3,2024-12,-220.35,2024-11,284.04,550.32,149.88,466.86,weekday,Monday,-279.0,45,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_volatility_regime_expansion_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,range_expansion_pressure,rep_volatility_atr,mt5_ta_s264_aia_range_expansion_pressure_historical_2024_tier_a_train_era_stress,1151.94,87.07,1064.87,1.611336,1.05,0.561336,309,354,-45.0,15.07,36.9,-21.83,4.05,0.28,0.75,3,2024-12,-161.26,2024-11,297.88,476.88,166.01,509.05,weekday,Monday,-278.42,45,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_range_expansion_pressure_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)",constructive_but_slice_pressure_needed(건설적이나 구간 압박 필요),not_candidate_selection(후보 선택 아님)
s264_aih,s264_allow_inner_high_quarter,challenger_core,return_shock_absorption,rep_volatility_atr,mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,1145.81,95.56,1050.25,1.586563,1.05,0.536563,317,353,-36.0,17.23,36.68,-19.45,3.41,0.31,0.75,3,2024-12,-245.88,2024-10,328.92,458.12,166.18,521.51,weekday,Monday,-248.98,44,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aih_return_shock_absorption_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
s264_lc,s264_lowrank_control,defensive_control,volatility_regime_expansion,rep_volatility_atr,mt5_ta_s264_lc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,1145.2,71.34,1073.86,1.573552,1.04,0.533552,309,350,-41.0,18.4,37.52,-19.12,3.14,0.23,0.833333,2,2024-12,-258.48,2024-11,307.54,405.95,299.71,439.54,weekday,Monday,-280.51,46,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_volatility_regime_expansion_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,range_expansion_pressure,rep_volatility_atr,mt5_ta_s262_lih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,1136.4,44.49,1091.91,1.582874,1.02,0.562874,300,352,-52.0,17.92,40.13,-22.21,3.29,0.13,0.75,3,2024-12,-222.02,2024-11,366.96,482.11,199.69,454.6,weekday,Monday,-275.19,46,D_fragile,rough_curve_high_dd_or_low_pf,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_range_expansion_pressure_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
