bar_time_server,timestamp_utc,split,row_index,stage45_volatility_mechanism_signal,tier_label,routing_source,partial_context_subtype,candidate_id,entry_decision
2025.07.01 16:35:00,2025-07-01T16:35:00Z,validation,6867,0,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,flat
2025.07.01 16:40:00,2025-07-01T16:40:00Z,validation,6868,0,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,flat
2025.07.01 16:45:00,2025-07-01T16:45:00Z,validation,6869,0,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,flat
2025.07.01 16:50:00,2025-07-01T16:50:00Z,validation,6870,0,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,long
2025.07.01 16:55:00,2025-07-01T16:55:00Z,validation,6871,0,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,flat
2025.07.01 17:00:00,2025-07-01T17:00:00Z,validation,6872,0,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,flat
2025.07.01 17:05:00,2025-07-01T17:05:00Z,validation,6873,0,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,flat
2025.07.01 17:10:00,2025-07-01T17:10:00Z,validation,6874,0,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,flat
2025.07.01 17:15:00,2025-07-01T17:15:00Z,validation,6875,0,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,long
2025.07.01 17:20:00,2025-07-01T17:20:00Z,validation,6876,0,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,flat
2025.07.01 17:25:00,2025-07-01T17:25:00Z,validation,6877,0,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,flat
2025.07.01 17:30:00,2025-07-01T17:30:00Z,validation,6878,-1,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,short
2025.07.01 17:35:00,2025-07-01T17:35:00Z,validation,6879,-1,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,short
2025.07.01 17:40:00,2025-07-01T17:40:00Z,validation,6880,0,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,flat
2025.07.01 17:45:00,2025-07-01T17:45:00Z,validation,6881,0,Tier A,tier_a_primary,Tier_A_full_context,c08_extreme_compression_stress,flat
