contract_symbol,broker_symbol,required_by_feature_sets,selected_forward_source,selected_forward_path,combined_rows,combined_last_timestamp,latest_us100_close,coverage_status
US100,US100,core56_no_top3_weight_features;macro48_no_equity_breadth_or_top3;us100_technical42_no_external,run336K_fresh_raw,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/raw_refresh_probe/US100/bars_us100_m5_mt5api_raw.csv,10819,2026-05-26T17:15:00+00:00,2026-05-26T17:15:00+00:00,covers_latest_close
VIX,VIX,core56_no_top3_weight_features;macro48_no_equity_breadth_or_top3,run336K_fresh_raw,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/raw_refresh_probe/VIX/bars_vix_m5_mt5api_raw.csv,9689,2026-05-26T17:15:00+00:00,2026-05-26T17:15:00+00:00,covers_latest_close
US10YR,US10YR,core56_no_top3_weight_features;macro48_no_equity_breadth_or_top3,run336K_fresh_raw,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/raw_refresh_probe/US10YR/bars_us10yr_m5_mt5api_raw.csv,8716,2026-05-26T17:15:00+00:00,2026-05-26T17:15:00+00:00,covers_latest_close
USDX,USDX,core56_no_top3_weight_features;macro48_no_equity_breadth_or_top3,run336K_fresh_raw,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/raw_refresh_probe/USDX/bars_usdx_m5_mt5api_raw.csv,9786,2026-05-26T17:15:00+00:00,2026-05-26T17:15:00+00:00,covers_latest_close
NVDA,NVDA.xnas,core56_no_top3_weight_features,stage326_forward_raw_fallback,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/NVDA/bars_nvda_xnas_m5_mt5api_raw.csv,2886,2026-05-22T23:00:00+00:00,2026-05-26T17:15:00+00:00,stale_before_latest_close
AAPL,AAPL.xnas,core56_no_top3_weight_features,stage326_forward_raw_fallback,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AAPL/bars_aapl_xnas_m5_mt5api_raw.csv,2886,2026-05-22T23:00:00+00:00,2026-05-26T17:15:00+00:00,stale_before_latest_close
MSFT,MSFT.xnas,core56_no_top3_weight_features,stage326_forward_raw_fallback,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/MSFT/bars_msft_xnas_m5_mt5api_raw.csv,2886,2026-05-22T23:00:00+00:00,2026-05-26T17:15:00+00:00,stale_before_latest_close
AMZN,AMZN.xnas,core56_no_top3_weight_features,stage326_forward_raw_fallback,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AMZN/bars_amzn_xnas_m5_mt5api_raw.csv,2886,2026-05-22T23:00:00+00:00,2026-05-26T17:15:00+00:00,stale_before_latest_close
AMD,AMD.xnas,core56_no_top3_weight_features,stage326_forward_raw_fallback,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AMD/bars_amd_xnas_m5_mt5api_raw.csv,2886,2026-05-22T23:00:00+00:00,2026-05-26T17:15:00+00:00,stale_before_latest_close
GOOGL.xnas,GOOGL.xnas,core56_no_top3_weight_features,stage326_forward_raw_fallback,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/GOOGL.xnas/bars_googl_xnas_m5_mt5api_raw.csv,2886,2026-05-22T23:00:00+00:00,2026-05-26T17:15:00+00:00,stale_before_latest_close
META,META.xnas,core56_no_top3_weight_features,stage326_forward_raw_fallback,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/META/bars_meta_xnas_m5_mt5api_raw.csv,2886,2026-05-22T23:00:00+00:00,2026-05-26T17:15:00+00:00,stale_before_latest_close
TSLA,TSLA.xnas,core56_no_top3_weight_features,stage326_forward_raw_fallback,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/TSLA/bars_tsla_xnas_m5_mt5api_raw.csv,2886,2026-05-22T23:00:00+00:00,2026-05-26T17:15:00+00:00,stale_before_latest_close
