candidate_alias,candidate_role,source_axis,guard_variant,guard_family,attempt_name,tier,split,attempt_role,record_view_prefix,set_path,set_sha256,ini_path,ini_sha256,common_telemetry_path,common_summary_path,fallback_enabled,execution_status
s264_aih,challenger_core,atrcomp,adx2025,trend_strength_non_calendar,s264_aih_adx2025_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aih_adx2025,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aih_adx2025_ta_2024.set,85c2b1b2d3282bf4e528acf87f1074b64da240e6679a95c1f4adab3a729d7530,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aih_adx2025_ta_2024.ini,d1c8ee420174d22886f4a0a774f82ddfd24e729f2b056400c5e39cf1d523c43b,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_aih/telemetry/s264_aih_adx2025_ta_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_aih/telemetry/s264_aih_adx2025_ta_2024_summary.csv,false,not_executed
s264_aih,challenger_core,atrcomp,adx2025,trend_strength_non_calendar,s264_aih_adx2025_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_aih_adx2025,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aih_adx2025_rt_2024.set,825ee4ef17b49981a03eeaf886f21f40bd51297cc9fe6250e914878d3ba97598,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aih_adx2025_rt_2024.ini,fcb962a4cefd5f65952d340019f3b8714ce73b60e021f919e7387fa58753b339,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_aih/telemetry/s264_aih_adx2025_rt_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_aih/telemetry/s264_aih_adx2025_rt_2024_summary.csv,false,not_executed
s264_aia,oos_anchor,atrcomp,adx2025,trend_strength_non_calendar,s264_aia_adx2025_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aia_adx2025,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aia_adx2025_ta_2024.set,984332839208a7c250d8f0758220bab6f6d2736ce59beeb953a2f72f18038725,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aia_adx2025_ta_2024.ini,9c77986324d22fa3703bea49da73b1288e7b0e71b89f104e9d0cf2b843356cd3,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_aia/telemetry/s264_aia_adx2025_ta_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_aia/telemetry/s264_aia_adx2025_ta_2024_summary.csv,false,not_executed
s264_aia,oos_anchor,atrcomp,adx2025,trend_strength_non_calendar,s264_aia_adx2025_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_aia_adx2025,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aia_adx2025_rt_2024.set,07ab26b89f3d033db8a865a77c77612c17e7535de085619d402cf757f3f68f55,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aia_adx2025_rt_2024.ini,72b9c9dccd25aa17c4906dcee798cb742ef523ed29f7f720cc97e417659ca23f,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_aia/telemetry/s264_aia_adx2025_rt_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_aia/telemetry/s264_aia_adx2025_rt_2024_summary.csv,false,not_executed
s258_stc,stress_challenger,atrcomp,adx2025,trend_strength_non_calendar,s258_stc_adx2025_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s258_stc_adx2025,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s258_stc_adx2025_ta_2024.set,1b51d31123bb4da82d0316f23ccb296530b6ca641a04f06faea3c7cd3510a5db,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s258_stc_adx2025_ta_2024.ini,36ba010f5545f4c43523f57c592483a756d1d2dd8dd9190357fcb9ddbf7bcffa,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s258_stc/telemetry/s258_stc_adx2025_ta_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s258_stc/telemetry/s258_stc_adx2025_ta_2024_summary.csv,false,not_executed
s258_stc,stress_challenger,atrcomp,adx2025,trend_strength_non_calendar,s258_stc_adx2025_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s258_stc_adx2025,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s258_stc_adx2025_rt_2024.set,6474f490370bf333ca2c25976d9abfb871b1c7b8af01c25acb4712dde8cb21d1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s258_stc_adx2025_rt_2024.ini,ebf3f5b6cfa8fb7a0c0db64c99631b6d5d1326cd4acc624e57a151e3c39d1bf3,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s258_stc/telemetry/s258_stc_adx2025_rt_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s258_stc/telemetry/s258_stc_adx2025_rt_2024_summary.csv,false,not_executed
s264_lc,defensive_control,atrcomp,adx2025,trend_strength_non_calendar,s264_lc_adx2025_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_lc_adx2025,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_lc_adx2025_ta_2024.set,d31cc19b386f0782930925fba5cfb8688ad48140f8188774ef792651cf41d87b,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_lc_adx2025_ta_2024.ini,d6f8cdc54f489a77bc1d51e685dadb6dccac5b896fa208156b96abc29af7515e,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_lc/telemetry/s264_lc_adx2025_ta_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_lc/telemetry/s264_lc_adx2025_ta_2024_summary.csv,false,not_executed
s264_lc,defensive_control,atrcomp,adx2025,trend_strength_non_calendar,s264_lc_adx2025_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_lc_adx2025,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_lc_adx2025_rt_2024.set,6174e70f91d0f2b660c864bdae9acd2dd91e544abdfc6284dcdfc4808c1855f5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_lc_adx2025_rt_2024.ini,c5cc18a4fa45cdcc9785808475f8be2d1a2cf02dcd7456c4e4cb109d3c4c5f2e,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_lc/telemetry/s264_lc_adx2025_rt_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_lc/telemetry/s264_lc_adx2025_rt_2024_summary.csv,false,not_executed
s262_lih,validation_heavy,atrcomp,adx2025,trend_strength_non_calendar,s262_lih_adx2025_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s262_lih_adx2025,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s262_lih_adx2025_ta_2024.set,cfb8b619bc70b418e948f63e6b31f9131dc5b2d8c17a00b414d0c868cfb66ea5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s262_lih_adx2025_ta_2024.ini,456fc28cfbc75c5f968b9804d74e41e61a33245ed243c3cef97c448ec89313b1,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s262_lih/telemetry/s262_lih_adx2025_ta_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s262_lih/telemetry/s262_lih_adx2025_ta_2024_summary.csv,false,not_executed
s262_lih,validation_heavy,atrcomp,adx2025,trend_strength_non_calendar,s262_lih_adx2025_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s262_lih_adx2025,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s262_lih_adx2025_rt_2024.set,811548689c795670dc66cf1444ad42ed5510a544d70b983d8e66f7855134c0b2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s262_lih_adx2025_rt_2024.ini,69cb7eeb2a8ea7a8ef5e6d246174a0a4ca4e6482659be07bdc83fc717e89fc22,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s262_lih/telemetry/s262_lih_adx2025_rt_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s262_lih/telemetry/s262_lih_adx2025_rt_2024_summary.csv,false,not_executed
s264_aih,challenger_core,atrcomp,dilowq33,directional_imbalance_replacement,s264_aih_dilowq33_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aih_dilowq33,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aih_dilowq33_ta_2024.set,a5562b8650d8ce26912edd9870f54d4db8c199af23d80c346ab55540bd4c9443,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aih_dilowq33_ta_2024.ini,2426eeb7b938243ce46b081a1cad253f310d8ad8fd49637c105593907622959c,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_aih/telemetry/s264_aih_dilowq33_ta_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_aih/telemetry/s264_aih_dilowq33_ta_2024_summary.csv,false,not_executed
s264_aih,challenger_core,atrcomp,dilowq33,directional_imbalance_replacement,s264_aih_dilowq33_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_aih_dilowq33,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aih_dilowq33_rt_2024.set,e66b86199e96a035e8e95804577ed51f1c8522df80b78aff3cc682ce5aba105b,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aih_dilowq33_rt_2024.ini,d5d1dbc0d26b3975f304e0b9e854941bb940fdccfdf0f41011ab9061597b2b4c,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_aih/telemetry/s264_aih_dilowq33_rt_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_aih/telemetry/s264_aih_dilowq33_rt_2024_summary.csv,false,not_executed
s264_aia,oos_anchor,atrcomp,dilowq33,directional_imbalance_replacement,s264_aia_dilowq33_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_aia_dilowq33,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aia_dilowq33_ta_2024.set,efc5e6c1b778a0e69d385724f18a42bcd7dfb02e91d62cdcac354decd3dbe274,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aia_dilowq33_ta_2024.ini,3658ad20d5c151d553dda55ae7e2cb7c5f3bee099267f59ae194e4cf7618b685,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_aia/telemetry/s264_aia_dilowq33_ta_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_aia/telemetry/s264_aia_dilowq33_ta_2024_summary.csv,false,not_executed
s264_aia,oos_anchor,atrcomp,dilowq33,directional_imbalance_replacement,s264_aia_dilowq33_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s264_aia_dilowq33,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aia_dilowq33_rt_2024.set,9586f640d9339fba55d99653f26dfb0deda3b350dcf68caaba6c38ab504ef0e7,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_aia_dilowq33_rt_2024.ini,4faae91c9b70870e606f377072a6923773ef733cd5ce709d7d4435c5f44b9b48,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_aia/telemetry/s264_aia_dilowq33_rt_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_aia/telemetry/s264_aia_dilowq33_rt_2024_summary.csv,false,not_executed
s258_stc,stress_challenger,atrcomp,dilowq33,directional_imbalance_replacement,s258_stc_dilowq33_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s258_stc_dilowq33,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s258_stc_dilowq33_ta_2024.set,16bb0868430ca56f353995ca9f6a76bbeaecb626ecd30fe9397053c29f998a58,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s258_stc_dilowq33_ta_2024.ini,9cab01bb1c4e96698f2618cb273a55a3cf93a85b9c38f3dab5b95cce325909b4,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s258_stc/telemetry/s258_stc_dilowq33_ta_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s258_stc/telemetry/s258_stc_dilowq33_ta_2024_summary.csv,false,not_executed
s258_stc,stress_challenger,atrcomp,dilowq33,directional_imbalance_replacement,s258_stc_dilowq33_rt_2024,Tier A+B,historical_2024_tier_a_train_era_stress,routed_total,mt5_rt_s258_stc_dilowq33,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s258_stc_dilowq33_rt_2024.set,b0cad920a6c372b1ef6387b42d9f75760ec43f64c84564090640cc117e21699e,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s258_stc_dilowq33_rt_2024.ini,7aec24c3322bab722eb96c6ffacfb28a435da72562a0c17f2e55b2fa3dfd13c8,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s258_stc/telemetry/s258_stc_dilowq33_rt_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s258_stc/telemetry/s258_stc_dilowq33_rt_2024_summary.csv,false,not_executed
s264_lc,defensive_control,atrcomp,dilowq33,directional_imbalance_replacement,s264_lc_dilowq33_ta_2024,Tier A,historical_2024_tier_a_train_era_stress,tier_only_total,mt5_ta_s264_lc_dilowq33,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_lc_dilowq33_ta_2024.set,6cb299a1c5aa2bc5ab2bba05d8a457436e9ef9219a52a7abed4a6d7a1d61a164,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267F/atrcomp_guard_robustness/mt5/s264_lc_dilowq33_ta_2024.ini,b9e1869d1b48fdb9124fb4553a0c7ad8c463dbef9d5fe70ab02c20c87aacfaab,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_lc/telemetry/s264_lc_dilowq33_ta_2024_telemetry.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_lc/telemetry/s264_lc_dilowq33_ta_2024_summary.csv,false,not_executed
