record_view,candidate_alias,candidate_role,guard_variant,guard_family,route_role,axis,bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,chron_segment,chron_mid,90,-48.43,0.920142,-0.538111,0.477778,240.33,37.805569,75,6
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,chron_segment,chron_late,90,118.02,1.244763,1.311333,0.533333,119.69,20.345062,32,5
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,chron_segment,chron_early,90,252.62,1.576455,2.806889,0.555556,75.77,9.382933,26,4
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,12,3,-66.08,0.0,-22.026667,0.0,66.08,13.216,3,3
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,01,1,-27.54,0.0,-27.54,0.0,27.54,5.508,1,1
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,19,2,-27.32,0.0,-13.66,0.0,27.32,5.464,2,2
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,09,1,-23.0,0.0,-23.0,0.0,23.0,4.6,1,1
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,02,1,-20.53,0.0,-20.53,0.0,20.53,4.106,1,1
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,20,2,9.17,6.066298,4.585,0.5,1.81,0.362,1,1
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,21,2,11.78,inf,5.89,1.0,0.0,0.0,0,0
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,15,1,27.65,inf,27.65,1.0,0.0,0.0,0,0
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,22,4,57.7,2.381374,14.425,0.5,22.13,4.16267,1,1
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,16,83,60.64,1.081225,0.730602,0.457831,183.96,26.359455,45,5
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,17,94,143.45,1.405478,1.526064,0.531915,105.64,15.241448,56,5
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,18,76,176.29,1.806967,2.319605,0.618421,52.05,10.209486,25,4
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,direction,buy,102,3.86,1.009045,0.037843,0.490196,159.26,25.089007,67,5
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,direction,sell,168,318.35,1.289383,1.89494,0.541667,149.0,19.647661,60,4
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,month,2024-07,28,-98.91,0.521295,-3.5325,0.392857,157.69,31.055399,27,6
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,month,2024-06,13,-72.13,0.529147,-5.548462,0.307692,92.71,18.342797,8,5
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,month,2024-03,17,-59.86,0.518307,-3.521176,0.352941,71.11,13.909046,12,4
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,month,2024-09,28,-4.33,0.96314,-0.154643,0.571429,56.72,11.344,28,3
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,month,2024-08,29,11.72,1.081621,0.404138,0.551724,42.99,8.198651,9,3
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,month,2024-10,24,18.77,1.1512,0.782083,0.416667,74.17,12.654837,19,5
