record_view,candidate_alias,candidate_role,guard_variant,guard_family,route_role,axis,bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,weekday,Monday,52,-181.07,0.55695,-3.482115,0.480769,234.22,43.713257,46,6
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,chron_segment,chron_mid,75,-176.01,0.569289,-2.3468,0.453333,183.88,36.776,75,5
mt5_rt_s264_lc_adx2025_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,adx2025,trend_strength_non_calendar,routed_total,weekday,Monday,47,-161.21,0.523794,-3.43,0.468085,183.67,36.341512,43,6
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,weekday,Monday,47,-158.19,0.519749,-3.365745,0.468085,179.39,35.494658,43,6
mt5_rt_s264_aia_adx2025_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,adx2025,trend_strength_non_calendar,routed_total,weekday,Monday,48,-156.64,0.551149,-3.263333,0.479167,190.7,36.87946,43,6
mt5_rt_s264_aih_adx2025_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,adx2025,trend_strength_non_calendar,routed_total,weekday,Monday,48,-156.64,0.551149,-3.263333,0.479167,190.7,36.87946,43,6
mt5_rt_s264_lc_dilowq33_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,dilowq33,directional_imbalance_replacement,routed_total,chron_segment,chron_mid,74,-129.9,0.675169,-1.755405,0.459459,171.66,31.685617,73,5
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,weekday,Monday,49,-125.18,0.543522,-2.554694,0.469388,140.48,27.80736,45,4
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,chron_segment,chron_mid,84,-122.85,0.770447,-1.4625,0.452381,230.59,40.597546,75,6
mt5_rt_s264_aia_dilowq33_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,dilowq33,directional_imbalance_replacement,routed_total,chron_segment,chron_mid,75,-122.2,0.700071,-1.629333,0.466667,172.9,31.875081,74,5
mt5_rt_s264_aih_dilowq33_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,dilowq33,directional_imbalance_replacement,routed_total,chron_segment,chron_mid,75,-122.2,0.700071,-1.629333,0.466667,172.9,31.875081,74,5
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,chron_segment,chron_mid,80,-121.23,0.738023,-1.515375,0.45,195.38,34.029435,76,6
mt5_rt_s264_aia_adx2025_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,adx2025,trend_strength_non_calendar,routed_total,chron_segment,chron_mid,85,-112.71,0.793454,-1.326,0.458824,223.25,38.959566,75,5
mt5_rt_s264_aih_adx2025_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,adx2025,trend_strength_non_calendar,routed_total,chron_segment,chron_mid,85,-112.71,0.793454,-1.326,0.458824,223.25,38.959566,75,5
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,month,2024-07,27,-107.49,0.414383,-3.981111,0.37037,155.82,30.737365,26,6
mt5_rt_s264_lc_adx2025_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,adx2025,trend_strength_non_calendar,routed_total,chron_segment,chron_mid,84,-107.49,0.795541,-1.279643,0.452381,216.5,38.116868,75,5
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,month,2024-07,28,-98.91,0.521295,-3.5325,0.392857,157.69,31.055399,27,6
mt5_rt_s264_lc_dilowq33_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,dilowq33,directional_imbalance_replacement,routed_total,weekday,Monday,46,-97.29,0.59476,-2.115,0.478261,112.96,22.359904,42,4
mt5_rt_s264_aia_dilowq33_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,dilowq33,directional_imbalance_replacement,routed_total,weekday,Monday,46,-97.09,0.599282,-2.110652,0.478261,113.77,22.52024,42,4
mt5_rt_s264_aih_dilowq33_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,dilowq33,directional_imbalance_replacement,routed_total,weekday,Monday,46,-97.09,0.599282,-2.110652,0.478261,113.77,22.52024,42,4
mt5_rt_s264_aia_adx2025_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,adx2025,trend_strength_non_calendar,routed_total,month,2024-07,26,-96.82,0.45132,-3.723846,0.384615,147.09,28.999251,25,5
mt5_rt_s264_aih_adx2025_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,adx2025,trend_strength_non_calendar,routed_total,month,2024-07,26,-96.82,0.45132,-3.723846,0.384615,147.09,28.999251,25,5
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,weekday,Monday,46,-96.02,0.590271,-2.087391,0.478261,111.46,22.062986,42,4
mt5_rt_s264_lc_adx2025_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,adx2025,trend_strength_non_calendar,routed_total,month,2024-07,26,-93.54,0.450637,-3.597692,0.384615,141.73,27.957944,25,5
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,month,2024-06,11,-81.14,0.290548,-7.376364,0.181818,83.45,16.613247,10,6
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,month,2024-06,13,-72.13,0.529147,-5.548462,0.307692,92.71,18.342797,8,5
mt5_rt_s264_aia_dilowq33_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,dilowq33,directional_imbalance_replacement,routed_total,month,2024-06,9,-65.44,0.331972,-7.271111,0.222222,67.64,13.468738,8,5
mt5_rt_s264_aih_dilowq33_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,dilowq33,directional_imbalance_replacement,routed_total,month,2024-06,9,-65.44,0.331972,-7.271111,0.222222,67.64,13.468738,8,5
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,month,2024-06,9,-64.95,0.328682,-7.216667,0.222222,67.04,13.352188,8,5
mt5_rt_s264_lc_dilowq33_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,dilowq33,directional_imbalance_replacement,routed_total,month,2024-06,9,-64.95,0.328682,-7.216667,0.222222,67.04,13.352188,8,5
