record_view,candidate_alias,candidate_role,guard_variant,guard_family,route_role,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak,report_equity_drawdown_percent,report_net_profit,report_profit_factor,report_trade_count
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,270,322.21,1.211028,1.19337,0.522222,240.33,27.05444,165,6,27.97,322.21,1.21,270
mt5_rt_s264_aih_adx2025_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,adx2025,trend_strength_non_calendar,routed_total,253,304.93,1.229383,1.205257,0.525692,223.25,26.833255,158,5,27.89,304.93,1.23,253
mt5_rt_s264_aia_adx2025_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,adx2025,trend_strength_non_calendar,routed_total,253,304.93,1.229383,1.205257,0.525692,223.25,26.833255,158,5,27.89,304.93,1.23,253
mt5_rt_s264_lc_adx2025_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,adx2025,trend_strength_non_calendar,routed_total,250,285.74,1.221743,1.14296,0.52,216.5,26.877716,157,5,27.96,285.74,1.22,250
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,252,243.01,1.186839,0.964325,0.515873,230.59,28.62694,159,6,29.67,243.01,1.19,252
mt5_ta_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,tier_only_total,270,322.21,1.211028,1.19337,0.522222,240.33,27.05444,165,6,27.97,322.21,1.21,270
mt5_ta_s264_aih_adx2025_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,adx2025,trend_strength_non_calendar,tier_only_total,253,304.93,1.229383,1.205257,0.525692,223.25,26.833255,158,5,27.89,304.93,1.23,253
mt5_ta_s264_aia_adx2025_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,adx2025,trend_strength_non_calendar,tier_only_total,253,304.93,1.229383,1.205257,0.525692,223.25,26.833255,158,5,27.89,304.93,1.23,253
mt5_ta_s264_lc_adx2025_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,adx2025,trend_strength_non_calendar,tier_only_total,250,285.74,1.221743,1.14296,0.52,216.5,26.877716,157,5,27.96,285.74,1.22,250
mt5_ta_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,tier_only_total,252,243.01,1.186839,0.964325,0.515873,230.59,28.62694,159,6,29.67,243.01,1.19,252
mt5_rt_s264_aih_dilowq33_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,dilowq33,directional_imbalance_replacement,routed_total,223,50.71,1.04972,0.227399,0.497758,214.44,31.223973,172,6,31.6,50.71,1.05,223
mt5_rt_s264_aia_dilowq33_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,dilowq33,directional_imbalance_replacement,routed_total,223,50.71,1.04972,0.227399,0.497758,214.44,31.223973,172,6,31.6,50.71,1.05,223
mt5_rt_s264_lc_dilowq33_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,dilowq33,directional_imbalance_replacement,routed_total,221,42.22,1.04194,0.191041,0.493213,221.69,32.279624,170,6,32.65,42.22,1.04,221
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,240,27.44,1.024229,0.114333,0.491667,251.17,35.871692,188,6,36.22,27.44,1.02,240
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,223,12.83,1.012652,0.057534,0.488789,245.47,35.742159,172,6,36.09,12.83,1.01,223
mt5_ta_s264_aih_dilowq33_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,dilowq33,directional_imbalance_replacement,tier_only_total,223,50.71,1.04972,0.227399,0.497758,214.44,31.223973,172,6,31.6,50.71,1.05,223
mt5_ta_s264_aia_dilowq33_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,dilowq33,directional_imbalance_replacement,tier_only_total,223,50.71,1.04972,0.227399,0.497758,214.44,31.223973,172,6,31.6,50.71,1.05,223
mt5_ta_s264_lc_dilowq33_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,dilowq33,directional_imbalance_replacement,tier_only_total,221,42.22,1.04194,0.191041,0.493213,221.69,32.279624,170,6,32.65,42.22,1.04,221
mt5_ta_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,tier_only_total,240,27.44,1.024229,0.114333,0.491667,251.17,35.871692,188,6,36.22,27.44,1.02,240
mt5_ta_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,tier_only_total,223,12.83,1.012652,0.057534,0.488789,245.47,35.742159,172,6,36.09,12.83,1.01,223
