record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count
mt5_ta_s264_aih_adx2025_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,304.93,1.23,253,1.21,233.65,27.89,1.31,448,448,0,59283,11651,11651
mt5_rt_s264_aih_adx2025_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,304.93,1.23,253,1.21,233.65,27.89,1.31,448,448,0,59283,11651,11651
mt5_ta_s264_aia_adx2025_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,304.93,1.23,253,1.21,233.65,27.89,1.31,448,448,0,59283,11651,11651
mt5_rt_s264_aia_adx2025_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,304.93,1.23,253,1.21,233.65,27.89,1.31,448,448,0,59283,11651,11651
mt5_ta_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,322.21,1.21,270,1.19,249.47,27.97,1.29,477,477,0,59283,11651,11651
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,322.21,1.21,270,1.19,249.47,27.97,1.29,477,477,0,59283,11651,11651
mt5_ta_s264_lc_adx2025_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,285.74,1.22,250,1.14,226.77,27.96,1.26,442,442,0,59283,11651,11651
mt5_rt_s264_lc_adx2025_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,285.74,1.22,250,1.14,226.77,27.96,1.26,442,442,0,59283,11651,11651
mt5_ta_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,243.01,1.19,252,0.96,240.58,29.67,1.01,445,445,0,59283,11651,11651
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,243.01,1.19,252,0.96,240.58,29.67,1.01,445,445,0,59283,11651,11651
mt5_ta_s264_aih_dilowq33_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,50.71,1.05,223,0.23,217.35,31.6,0.23,392,392,0,59283,11651,11651
mt5_rt_s264_aih_dilowq33_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,50.71,1.05,223,0.23,217.35,31.6,0.23,392,392,0,59283,11651,11651
mt5_ta_s264_aia_dilowq33_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,50.71,1.05,223,0.23,217.35,31.6,0.23,392,392,0,59283,11651,11651
mt5_rt_s264_aia_dilowq33_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,50.71,1.05,223,0.23,217.35,31.6,0.23,392,392,0,59283,11651,11651
mt5_ta_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,27.44,1.02,240,0.11,254.02,36.22,0.11,420,420,0,59283,11651,11651
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,27.44,1.02,240,0.11,254.02,36.22,0.11,420,420,0,59283,11651,11651
mt5_ta_s264_lc_dilowq33_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,42.22,1.04,221,0.19,224.6,32.65,0.19,388,388,0,59283,11651,11651
mt5_rt_s264_lc_dilowq33_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,42.22,1.04,221,0.19,224.6,32.65,0.19,388,388,0,59283,11651,11651
mt5_ta_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,12.83,1.01,223,0.06,248.26,36.09,0.05,391,391,0,59283,11651,11651
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,12.83,1.01,223,0.06,248.26,36.09,0.05,391,391,0,59283,11651,11651
