candidate_alias,candidate_role,guard_variant,guard_family,record_view,run267f_net_profit,run267d_atrcomp_net_profit,net_delta_vs_run267d_atrcomp,run267e_atrmon_net_profit,net_delta_vs_run267e_atrmon,run267f_profit_factor,run267d_atrcomp_profit_factor,pf_delta_vs_run267d_atrcomp,run267e_atrmon_profit_factor,pf_delta_vs_run267e_atrmon,run267f_trade_count,run267d_atrcomp_trade_count,trade_delta_vs_run267d_atrcomp,run267e_atrmon_trade_count,trade_delta_vs_run267e_atrmon,run267f_equity_dd_percent,run267d_atrcomp_equity_dd_percent,dd_delta_vs_run267d_atrcomp,run267e_atrmon_equity_dd_percent,dd_delta_vs_run267e_atrmon,weakest_month,weakest_month_net,weakest_weekday,weakest_weekday_net,weakest_hour_utc,weakest_hour_net,weakest_chron_segment,weakest_chron_net,review_read
s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,322.21,260.91,61.3,425.57,-103.36,1.211028,1.138808,0.07222,1.28027,-0.069242,270,334,-64.0,274,-4.0,27.97,29.99,-2.02,24.59,3.38,2024-07,-98.91,Monday,-181.07,12,-66.08,chron_mid,-48.43,"partial_noncalendar_support_not_monday_equivalent(부분 비달력 지지, 월요일 방어와 동급 아님)"
s264_aih,challenger_core,adx2025,trend_strength_non_calendar,mt5_rt_s264_aih_adx2025_historical_2024_tier_a_train_era_stress,304.93,269.2,35.73,421.11,-116.18,1.229383,1.16028,0.069103,1.304352,-0.074969,253,314,-61.0,258,-5.0,27.89,28.73,-0.84,21.82,6.07,2024-07,-96.82,Monday,-156.64,12,-61.57,chron_mid,-112.71,"partial_noncalendar_support_not_monday_equivalent(부분 비달력 지지, 월요일 방어와 동급 아님)"
s264_aia,oos_anchor,adx2025,trend_strength_non_calendar,mt5_rt_s264_aia_adx2025_historical_2024_tier_a_train_era_stress,304.93,261.08,43.85,407.49,-102.56,1.229383,1.156383,0.073,1.296898,-0.067515,253,315,-62.0,259,-6.0,27.89,28.89,-1.0,21.94,5.95,2024-07,-96.82,Monday,-156.64,12,-61.57,chron_mid,-112.71,"partial_noncalendar_support_not_monday_equivalent(부분 비달력 지지, 월요일 방어와 동급 아님)"
s264_lc,defensive_control,adx2025,trend_strength_non_calendar,mt5_rt_s264_lc_adx2025_historical_2024_tier_a_train_era_stress,285.74,240.12,45.62,406.19,-120.45,1.221743,1.147474,0.074269,1.296808,-0.075065,250,311,-61.0,256,-6.0,27.96,28.78,-0.82,21.9,6.06,2024-07,-93.54,Monday,-161.21,12,-60.37,chron_mid,-107.49,"partial_noncalendar_support_not_monday_equivalent(부분 비달력 지지, 월요일 방어와 동급 아님)"
s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,243.01,201.92,41.09,362.33,-119.32,1.186839,1.124029,0.06281,1.262355,-0.075516,252,313,-61.0,258,-6.0,29.67,30.48,-0.81,23.57,6.1,2024-07,-107.49,Monday,-158.19,12,-59.74,chron_mid,-122.85,"partial_noncalendar_support_not_monday_equivalent(부분 비달력 지지, 월요일 방어와 동급 아님)"
s264_aih,challenger_core,dilowq33,directional_imbalance_replacement,mt5_rt_s264_aih_dilowq33_historical_2024_tier_a_train_era_stress,50.71,269.2,-218.49,421.11,-370.4,1.04972,1.16028,-0.11056,1.304352,-0.254632,223,314,-91.0,258,-35.0,31.6,28.73,2.87,21.82,9.78,2024-06,-65.44,Monday,-97.09,12,-49.83,chron_mid,-122.2,"similar_replacement_degraded_overpruned(유사 대체 악화, 과도 절단)"
s264_aia,oos_anchor,dilowq33,directional_imbalance_replacement,mt5_rt_s264_aia_dilowq33_historical_2024_tier_a_train_era_stress,50.71,261.08,-210.37,407.49,-356.78,1.04972,1.156383,-0.106663,1.296898,-0.247178,223,315,-92.0,259,-36.0,31.6,28.89,2.71,21.94,9.66,2024-06,-65.44,Monday,-97.09,12,-49.83,chron_mid,-122.2,"similar_replacement_degraded_overpruned(유사 대체 악화, 과도 절단)"
s264_lc,defensive_control,dilowq33,directional_imbalance_replacement,mt5_rt_s264_lc_dilowq33_historical_2024_tier_a_train_era_stress,42.22,240.12,-197.9,406.19,-363.97,1.04194,1.147474,-0.105534,1.296808,-0.254868,221,311,-90.0,256,-35.0,32.65,28.78,3.87,21.9,10.75,2024-06,-64.95,Monday,-97.29,12,-49.83,chron_mid,-129.9,"similar_replacement_degraded_overpruned(유사 대체 악화, 과도 절단)"
s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,27.44,260.91,-233.47,425.57,-398.13,1.024229,1.138808,-0.114579,1.28027,-0.256041,240,334,-94.0,274,-34.0,36.22,29.99,6.23,24.59,11.63,2024-06,-81.14,Monday,-125.18,16,-51.17,chron_mid,-121.23,"similar_replacement_degraded_overpruned(유사 대체 악화, 과도 절단)"
s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,12.83,201.92,-189.09,362.33,-349.5,1.012652,1.124029,-0.111377,1.262355,-0.249703,223,313,-90.0,258,-35.0,36.09,30.48,5.61,23.57,12.52,2024-06,-64.95,Monday,-96.02,12,-49.2,chron_mid,-176.01,"similar_replacement_degraded_overpruned(유사 대체 악화, 과도 절단)"
