adapter_id,split,atr_enabled,model_risk_enabled,max_model_risk_pct,risk_floor_applied_count,max_actual_risk_pct_after_floor,avg_executed_lot,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket
s260_highedge_control,validation_is,True,True,0.0305,0,0.0304678782,0.01264120276,3634.39774,7386.913407,16772.74557,mid
s260_highedge_control,oos,True,True,0.0305,0,0.0304706667,0.007526371308,3903.364499,7933.588343,18014.02716,mid
s260_lowrank_lowedge_filter,validation_is,True,True,0.0305,0,0.0303537017,0.01274177164,3634.39774,7386.913407,16772.74557,mid
s260_lowrank_lowedge_filter,oos,True,True,0.0305,0,0.0304149785,0.00708992616,3903.364499,7933.588343,18014.02716,mid
s260_midlow_lowedge_filter,validation_is,True,True,0.0305,0,0.0304859339,0.009917716375,3634.39774,7386.913407,16772.74557,mid
s260_midlow_lowedge_filter,oos,True,True,0.0305,0,0.0303072839,0.006565137131,3903.364499,7933.588343,18014.02716,mid
s260_vhigh_highedge_relax,validation_is,True,True,0.0305,0,0.0304678782,0.01264120276,3634.39774,7386.913407,16772.74557,mid
s260_vhigh_highedge_relax,oos,True,True,0.0305,0,0.0304706667,0.007526371308,3903.364499,7933.588343,18014.02716,mid
s260_lowrank_filter_vhigh_relax,validation_is,True,True,0.0305,0,0.0303537017,0.01274177164,3634.39774,7386.913407,16772.74557,mid
s260_lowrank_filter_vhigh_relax,oos,True,True,0.0305,0,0.0304149785,0.00708992616,3903.364499,7933.588343,18014.02716,mid
