adapter_id,split,block_mode,directional_threshold_pass_rows,side_filter_block_rows,order_attempted_rows,order_filled_rows,decision_counts
s260_highedge_control,validation_is,highedge_control,468,171,504,504,"{""flat"":9547,""long"":146,""short"":151}"
s260_highedge_control,oos,highedge_control,348,135,365,365,"{""flat"":7371,""long"":121,""short"":92}"
s260_lowrank_lowedge_filter,validation_is,lowrank_lowedge_filter,468,175,499,499,"{""flat"":9551,""long"":146,""short"":147}"
s260_lowrank_lowedge_filter,oos,lowrank_lowedge_filter,348,141,355,355,"{""flat"":7377,""long"":121,""short"":86}"
s260_midlow_lowedge_filter,validation_is,midlow_lowedge_filter,468,193,471,471,"{""flat"":9569,""long"":146,""short"":129}"
s260_midlow_lowedge_filter,oos,midlow_lowedge_filter,348,148,344,344,"{""flat"":7384,""long"":121,""short"":79}"
s260_vhigh_highedge_relax,validation_is,vhigh_highedge_relax,468,171,504,504,"{""flat"":9547,""long"":146,""short"":151}"
s260_vhigh_highedge_relax,oos,vhigh_highedge_relax,348,135,365,365,"{""flat"":7371,""long"":121,""short"":92}"
s260_lowrank_filter_vhigh_relax,validation_is,lowrank_filter_vhigh_relax,468,175,499,499,"{""flat"":9551,""long"":146,""short"":147}"
s260_lowrank_filter_vhigh_relax,oos,lowrank_filter_vhigh_relax,348,141,355,355,"{""flat"":7377,""long"":121,""short"":86}"
