record_view,matched_split,matched_tier_scope,trade_index,direction,open_time,close_time,net_profit,hold_bars,mae,mfe,realized_over_mfe,session_slice,volatility_regime,trend_regime,adx_bucket,markov_state,mk_state_score,mk_state_confidence,mk_state_entropy_inv,p_long,threshold,state_score_band,confidence_band,entropy_inv_band,p_long_band,hold_bucket,feature_match_status
mt5_tier_a_only_validation_is,validation,Tier A,1,buy,2025-01-03 19:45:00,2025-01-06 17:00:00,36.910000000000004,831.0,1.0830000000001747,40.425999999999846,0.9130262702221379,mid,vol_mid,range_or_weak_trend,adx_lt20,0,1.0,0.9731224775,0.8215175867,0.9414025735918689,0.9411238241607245,state_score_high_positive,confidence_ge_0.97,entropy_inv_ge_0.80,p_long_0.90_0.95,hold_gt_96,matched
mt5_tier_a_only_validation_is,validation,Tier A,2,buy,2025-01-15 17:30:00,2025-01-15 18:20:00,-4.65,10.0,7.420000000000073,0.6549999999999273,-7.099236641222163,early,vol_mid,downtrend,adx_gt25,0,1.0,0.9772926569,0.8436170816,0.9415014959250073,0.9411238241607245,state_score_high_positive,confidence_ge_0.97,entropy_inv_ge_0.80,p_long_0.90_0.95,hold_0_12,matched
mt5_tier_a_only_validation_is,validation,Tier A,3,buy,2025-01-22 21:35:00,2025-01-23 17:15:00,-11.23,236.0,15.670999999999914,2.5680000000000294,-4.373052959501508,late,vol_low,range_or_weak_trend,adx_lt20,0,1.0,0.9765051007,0.8393625617,0.9415235229117696,0.9411238241607245,state_score_high_positive,confidence_ge_0.97,entropy_inv_ge_0.80,p_long_0.90_0.95,hold_gt_96,matched
mt5_tier_a_only_validation_is,validation,Tier A,4,buy,2025-01-23 21:35:00,2025-01-24 17:00:00,10.69,233.0,0.7820000000003348,12.950000000000001,0.8254826254826254,late,vol_low,range_or_weak_trend,adx_lt20,0,1.0,0.9768205285,0.8410617113,0.9414396876980387,0.9411238241607245,state_score_high_positive,confidence_ge_0.97,entropy_inv_ge_0.80,p_long_0.90_0.95,hold_gt_96,matched
mt5_tier_a_only_validation_is,validation,Tier A,5,buy,2025-01-30 20:55:00,2025-01-31 18:25:00,33.51,258.0,7.308000000000175,36.902999999999885,0.9080562555889793,late,vol_low,range_or_weak_trend,adx_lt20,0,1.0,0.9788215756,0.8519929647,0.9420831961924926,0.9411238241607245,state_score_high_positive,confidence_ge_0.97,entropy_inv_ge_0.80,p_long_0.90_0.95,hold_gt_96,matched
mt5_tier_a_only_validation_is,validation,Tier A,6,buy,2025-01-31 19:55:00,2025-01-31 22:00:00,-26.41,25.0,34.056999999999974,0.10499999999992725,-251.5238095239838,mid,vol_low,range_or_weak_trend,adx_lt20,0,1.0,0.9804118872,0.8608784676,0.941873896817444,0.9411238241607245,state_score_high_positive,confidence_ge_0.97,entropy_inv_ge_0.80,p_long_0.90_0.95,hold_13_96,matched
mt5_tier_a_only_validation_is,validation,Tier A,7,buy,2025-02-04 19:35:00,2025-02-04 20:25:00,6.51,10.0,0.19500000000007278,6.804999999999928,0.9566495224100028,mid,vol_mid,downtrend,adx_gt25,0,1.0,0.9731003642,0.8214030266,0.9412622182810743,0.9411238241607245,state_score_high_positive,confidence_ge_0.97,entropy_inv_ge_0.80,p_long_0.90_0.95,hold_0_12,matched
mt5_tier_a_only_validation_is,validation,Tier A,8,buy,2025-02-05 20:15:00,2025-02-06 18:10:00,9.04,263.0,2.820000000000073,15.190999999999987,0.5950891975511821,late,vol_low,downtrend,adx_gt25,0,1.0,0.9804150462,0.8608961701,0.9420221689964934,0.9411238241607245,state_score_high_positive,confidence_ge_0.97,entropy_inv_ge_0.80,p_long_0.90_0.95,hold_gt_96,matched
mt5_tier_a_only_validation_is,validation,Tier A,9,buy,2025-02-10 17:35:00,2025-02-11 19:10:00,-13.370000000000001,307.0,19.720000000000073,2.3299999999999272,-5.738197424892883,early,vol_low,downtrend,adx_gt25,0,1.0,0.9736468792,0.8242405057,0.9411566628662292,0.9411238241607245,state_score_high_positive,confidence_ge_0.97,entropy_inv_ge_0.80,p_long_0.90_0.95,hold_gt_96,matched
mt5_tier_a_only_validation_is,validation,Tier A,10,buy,2025-02-11 20:05:00,2025-02-11 21:05:00,4.41,12.0,2.181999999999971,6.354999999999928,0.6939417781274666,mid,vol_low,downtrend,adx_gt25,0,1.0,0.9775137305,0.8448184133,0.9416063498014048,0.9411238241607245,state_score_high_positive,confidence_ge_0.97,entropy_inv_ge_0.80,p_long_0.90_0.95,hold_0_12,matched
